5 (4),Apr 26 (1),NYG,@,PHI,W,13-2,GF,9,2.0,0,1,0,1,0,P
9 (3),Apr 29,NYG,,BRO,L,15-19,GS,11,1.1,0,0,0,0,0,P
10,Apr 30,NYG,,BRO,L,4-9,GF,3,1.0,1,0,0,1,0,P
13 (2),May 4,NYG,@,CIN,L,4-8,GS,24,4.1,0,2,0,2,1,P
16 (2),May 7,NYG,@,PIT,L,8-16,,15,2.2,1,0,0,1,0,P
21 (4),May 12,NYG,@,CHC,W,14-12,GS,35,6.2,0,0,0,0,0,P
25 (3),May 17 (2),NYG,,BSN,L,3-4,GF,10,2.0,0,0,0,0,0,P
28 (2),May 20,NYG,,BSN,L,3-4,CG,40,10.0,0,1,0,1,0,P
33,May 25 (1),CIN,,PIT,L,5-6,GS,35,9.0,0,4,0,4,0,P
38 (4),May 30 (2),CIN,@,PIT,L,6-7,GS,14,2.0,1,0,0,1,0,P
40 (1),Jun 1 (1),CIN,,STL,W,5-4,GF,3,1.0,0,0,0,0,0,P
42 (1),Jun 3,CIN,@,NYG,L,1-9,GS,17,2.0,0,1,0,1,0,P
47 (4),Jun 8 (2),CIN,,PHI,L,2-9,,0,1.2,0,0,0,0,0,
49 (1),Jun 12,CIN,@,BRO,L,2-3,GF,4,1.0,0,0,0,0,0,P
51 (1),Jun 14,CIN,@,BSN,L,0-2,GS,34,7.0,1,0,0,1,0,P
57 (5),Jun 20,CIN,,BRO,W,2-1,CG,34,9.0,2,2,0,4,0,P
62 (4),Jun 24,CIN,,NYG,W,4-1,CG,36,9.0,0,1,0,1,0,P
64 (1),Jun 27,CIN,,BSN,W,7-6,GF,7,1.2,0,0,0,0,0,P
67 (2),Jun 29 (2),CIN,,BSN,L,3-10,,24,5.2,0,0,0,0,0,P
68,Jul 4 (1),CIN,@,STL,L,4-15,GS,0,3.0,1,0,0,1,0,
72 (3),Jul 6 (2),CIN,,CHC,W,8-7,,7,1.0,0,0,0,0,0,P
76 (3),Jul 12 (1),CIN,@,PHI,W,9-5,CG,0,9.0,2,1,0,3,0,
79 (2),Jul 15,CIN,@,NYG,W,14-8,GF,9,2.1,0,0,0,0,0,P
83 (3),Jul 19 (1),CIN,@,PHI,W,10-3,CG,0,9.0,0,0,0,0,0,
88 (4),Jul 23 (2),CIN,@,BSN,L,5-6,GS,0,6.0,0,1,0,1,0,
93 (4),Jul 27,CIN,,CHC,W,6-5,GS,23,5.0,0,0,0,0,0,P
98 (4),Aug 2,CIN,,STL,L,8-9,GS,36,9.0,0,0,0,0,0,P
101 (2),Aug 8,CIN,,PHI,L,5-8,GS,25,4.1,0,1,1,2,0,P
103 (1),Aug 10 (1),CIN,,PHI,L,0-18,,19,4.0,0,0,0,0,0,P
106 (2),Aug 13,CIN,,NYG,L,6-7,CG,42,10.0,0,1,0,1,0,P
110 (3),Aug 17 (1),CIN,,BSN,L,3-4,GS,27,5.1,0,0,0,0,0,P
111,Aug 17 (2),CIN,,BSN,L,8-9,GF,3,0.2,0,0,0,0,0,P
115 (3),Aug 22,CIN,,BRO,W,4-1,CG,34,9.0,0,0,0,0,0,P
120 (4),Aug 26,CIN,,STL,L,1-3,CG,36,9.0,2,1,0,3,0,P
125 (4),Aug 30 (2),CIN,@,PIT,L,2-3,CG,35,8.0,3,0,0,3,0,P
130 (4),Sep 4,CIN,@,STL,L,2-13,GS,30,5.2,0,1,0,1,0,P
133 (2),Sep 7 (2),CIN,@,STL,L,2-4,,0,1.0,0,0,0,0,0,
134,Sep 9,CIN,@,PHI,L,6-8,CG,0,8.0,0,1,0,1,1,
138 (3),Sep 13,CIN,@,BRO,L,3-4,GF,5,1.0,0,1,0,1,0,P
140 (1),Sep 15,CIN,@,BRO,L,5-13,,13,2.1,0,3,0,3,0,P
141,Sep 17 (1),CIN,@,BSN,L,3-6,,0,4.0,0,0,0,0,0,
144 (2),Sep 20 (1),CIN,@,NYG,L,1-10,GS,30,5.2,0,1,0,1,0,P
152 (7),Sep 26,CIN,@,CHC,L,5-7,GS,31,6.1,0,1,0,1,0,P
