11,2 (1),Apr 6,CIN,,SFG,L,6-7,GS-6,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,.42,0.047,1.14,P
12,6 (3),Apr 11,CIN,@,STL,W,4-2,GS-7,3,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.750,.800,.750,1.550,9,.93,0.069,0.68,P
13,10 (3),Apr 17,CIN,,PIT,L,6-7,GS-1,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.750,.800,.750,1.550,9,,,,P
14,15 (4),Apr 23,CIN,,HOU,W,7-5,GS-4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.600,.667,.600,1.267,9,.99,-0.026,-0.27,P
15,20 (4),Apr 29,CIN,@,PHI,W,7-3,GS-6,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.375,.444,.375,.819,9,.54,-0.040,-1.11,P
16,25 (4),May 4,CIN,,ARI,W,6-4,GS-5,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.300,.364,.300,.664,9,.93,-0.055,-0.61,P
17,29 (3),May 9,CIN,,CHC,W,8-5,GS-6,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.273,.333,.273,.606,9,.80,-0.030,-0.49,P
18,36 (6),May 18,CIN,@,COL,W,5-3,GS-2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.273,.333,.273,.606,9,1.90,-0.031,-0.37,P
19,45 (8),May 29,CIN,@,FLA,W,8-1,GS-6,3,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.286,.333,.286,.619,9,.55,-0.029,-0.42,P
20,60 (14),Jun 15,CIN,,NYM,L,3-11,7-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.286,.333,.286,.619,6,,,,P
21,137,Sep 7,MIL,,ARI,L,9-11,4-4,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.286,.333,.286,.619,9,,,,P
22,142 (4),Sep 12,MIL,@,COL,W,12-9,GS-6,3,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.353,.389,.353,.742,9,.68,0.034,0.83,P
23,147 (4),Sep 18,MIL,@,CHC,W,7-4,GS-6,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.368,.400,.368,.768,9,1.16,-0.066,-0.72,P
24,152 (4),Sep 23,MIL,,PHI,W,11-6,GS-5,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.350,.409,.350,.759,9,.81,0.022,-0.07,P
25,157 (4),Sep 29 (2),MIL,,PIT,W,5-2,GS-7,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.318,.400,.318,.718,9,.74,-0.009,-0.25,P
