793,1,Apr 8,NYY,,KCR,W,4-2,GS-8,3,3,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.333,.333,.333,.667,7,.74,0.046,0.49,3B
794,2,Apr 9,NYY,,KCR,L,4-7,GS-5,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250,.400,.250,.650,7,1.60,-0.007,-0.17,3B
795,3,Apr 10,NYY,,KCR,W,6-5,10-GF(10),1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.400,.500,.400,.900,9,5.60,0.166,1.00,PH
796,5 (1),Apr 12,NYY,,MIL,W,7-3,GS-7,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.375,.286,.661,7,1.63,-0.092,-0.83,3B
797,10 (4),Apr 19,NYY,@,MIL,L,3-4,GS-8,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.200,.333,.200,.533,7,.66,-0.039,-0.47,3B
798,15 (4),Apr 24,NYY,,CLE,W,2-1,GS-2,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.200,.333,.200,.533,7,,,,3B
799,21 (5),May 1,NYY,,MIN,L,4-7,CG,4,4,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.357,.438,.429,.866,7,.90,0.181,1.35,3B
800,24 (2),May 4,NYY,,TEX,L,3-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.278,.350,.333,.683,7,1.58,-0.174,-1.26,3B
801,27 (2),May 7,NYY,@,CHW,W,5-1,GS-5,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.316,.409,.368,.778,7,1.04,0.042,0.54,3B
802,29 (1),May 11 (1),NYY,@,TEX,L,3-6,GS-9,3,3,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,.364,.440,.455,.895,7,1.31,0.297,2.64,3B
803,30,May 11 (2),NYY,@,TEX,L,1-9,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.348,.423,.435,.858,8,.00,0.000,-0.33,PH
804,35 (4),May 16,NYY,,SEA,L,3-7,CG,4,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.346,.433,.462,.895,7,.49,-0.008,-0.06,3B
805,38 (2),May 20,NYY,,OAK,L,1-2,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.310,.394,.414,.808,6,1.19,-0.096,-0.72,DH
806,40 (1),May 22,NYY,,OAK,W,4-3,11-GF(11),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.310,.394,.414,.808,9,,,,SS
807,47 (6),May 30,NYY,@,OAK,L,3-6,GS-9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.281,.361,.375,.736,6,.91,-0.072,-0.69,DH
808,48,May 31,NYY,@,OAK,L,3-4,CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.278,.350,.361,.711,8,1.18,-0.051,-0.23,3B
809,53 (4),Jun 6,NYY,,BAL,L,2-5,GS-8,3,2,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.289,.372,.447,.819,5,.89,0.085,0.98,DH
810,58 (4),Jun 11,NYY,@,DET,L,3-9,CG,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.293,.383,.439,.822,6,.80,-0.040,-0.04,DH
811,62 (3),Jun 15,NYY,@,BAL,L,3-4,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.293,.383,.439,.822,7,,,,PR
812,63,Jun 16,NYY,,BOS,L,1-10,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.293,.383,.439,.822,9,,,,SS
813,64,Jun 17,NYY,,BOS,L,6-7,7-GF,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.302,.388,.442,.830,9,5.00,-0.294,-1.09,PH SS
814,66 (1),Jun 19,NYY,@,TOR,L,9-10,8-GF(10),1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.295,.380,.432,.812,9,1.37,-0.036,-0.11,SS
815,67,Jun 20,NYY,@,TOR,W,10-8,GS-8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.277,.358,.404,.763,9,1.19,-0.067,-0.58,SS
