1125,1,Apr 6,CAL,,KCR,W,3-2,CG,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,.000,.500,.000,.500,7,.54,0.010,0.47,CF
1126,2,Apr 7,CAL,,KCR,L,5-12,CG,4,4,1,2,0,0,0,3,0,0,1,0,0,0,1,0,0,0,.333,.500,.333,.833,7,.66,0.077,3.58,CF
1127,3,Apr 8,CAL,,KCR,L,5-6,CG,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.273,.385,.273,.657,7,2.29,-0.281,-2.13,CF
1128,4,Apr 10,CAL,,MIN,W,4-2,CG,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.375,.286,.661,7,.87,0.013,-0.05,CF
1129,5,Apr 11,CAL,,MIN,W,4-1,CG,3,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.353,.421,.353,.774,7,.31,0.032,0.72,CF
1130,6,Apr 13,CAL,@,TEX,L,2-4,CG,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,.350,.435,.350,.785,7,1.22,-0.129,-1.03,CF
1131,7,Apr 17,CAL,@,MIN,L,5-10,CG,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.375,.444,.417,.861,7,.41,0.023,0.01,CF
1132,8,Apr 18,CAL,@,MIN,W,3-2,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.321,.387,.357,.744,7,.87,-0.090,-0.73,CF
1133,9,Apr 20,CAL,@,OAK,L,3-4,CG,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.323,.382,.355,.737,7,.85,-0.055,-0.50,CF
1134,10,Apr 21,CAL,@,OAK,W,4-2,CG,4,4,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,.314,.368,.371,.740,7,.71,-0.062,-1.08,CF
1135,11,Apr 22,CAL,@,OAK,L,2-3,CG(10),4,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,.297,.366,.351,.717,7,1.90,-0.091,-0.64,CF
1136,13 (1),Apr 24,CAL,,BAL,W,6-5,7-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.297,.366,.351,.717,9,,,,PR
1137,16 (2),Apr 28,CAL,,CLE,W,5-0,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.297,.366,.351,.717,4,,,,CF
1138,17,Apr 29,CAL,,CLE,L,2-3,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.297,.366,.351,.717,1,,,,CF
1139,18,May 1,CAL,@,DET,W,6-2,CG,5,5,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.310,.370,.357,.727,3,.52,-0.022,-0.68,CF
1140,19,May 2,CAL,@,DET,W,5-3,CG(12),5,5,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.298,.353,.362,.715,3,1.62,-0.053,0.00,CF
1141,20,May 4,CAL,@,BAL,W,1-0,CG,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.314,.364,.373,.736,3,.72,0.000,0.25,CF
