1,Apr 14,CHC,@,PIT,W,8-4,CG,42,10.0,7,1,0,8,0,C
2,Apr 15,CHC,@,PIT,L,4-5,GS,50,11.0,11,1,0,12,1,C
3,Apr 17,CHC,,PHI,L,8-10,CG,45,9.0,7,1,0,8,0,C
5 (1),Apr 19,CHC,,PHI,L,1-8,CG,43,9.0,5,0,0,5,0,C
7 (1),Apr 23,CHC,@,NYM,W,5-1,CG,36,9.0,6,0,0,6,0,C
8,Apr 24,CHC,@,PHI,L,0-10,GS,23,4.0,3,3,0,6,0,C
9,Apr 25,CHC,@,PHI,W,4-1,CG,35,9.0,5,0,0,5,0,C
11 (1),Apr 29,CHC,,SFG,L,0-4,CG,40,9.0,7,1,0,8,0,C
12,May 1,CHC,@,HOU,W,11-3,CG,35,9.0,5,0,0,5,0,C
13,May 2,CHC,@,HOU,W,9-0,CG,30,9.0,4,0,0,4,0,C
14,May 3,CHC,@,HOU,L,3-5,CG,33,8.0,1,4,0,5,0,C
15,May 4,CHC,@,LAD,L,1-2,CG,37,9.0,9,0,0,9,0,C
16,May 6,CHC,@,SFG,W,4-2,CG,34,9.0,11,0,0,11,0,C
17,May 7,CHC,@,SFG,L,6-7,CG,43,8.0,2,0,0,2,0,C
18,May 9,CHC,,HOU,W,9-1,CG,33,9.0,5,0,0,5,0,C
19,May 10 (1),CHC,,HOU,W,4-3,CG,33,9.0,3,1,0,4,0,C
21 (1),May 12,CHC,,LAD,W,3-2,CG,35,9.0,6,1,0,7,0,C
22,May 14 (1),CHC,,LAD,L,4-6,CG,42,10.0,4,0,0,4,0,C
24 (1),May 15,CHC,,CIN,L,5-10,CG,44,9.0,7,1,0,8,0,C
25,May 16,CHC,,CIN,L,2-5,CG,38,9.0,3,1,0,4,0,C
26,May 17 (1),CHC,,CIN,W,5-4,CG,38,9.0,4,1,1,6,0,C
28 (1),May 19,CHC,@,STL,W,7-4,CG,41,9.0,7,1,0,8,0,C
29,May 20,CHC,@,STL,L,0-1,CG,36,8.0,4,0,0,4,0,C
30,May 21,CHC,@,STL,L,3-10,CG,38,8.0,3,0,0,3,0,C
32 (1),May 23,CHC,@,CIN,W,5-3,GF,32,7.0,6,0,0,6,0,PH C
33,May 24 (1),CHC,@,CIN,L,5-6,CG,37,8.0,5,0,0,5,0,C
36 (2),May 27,CHC,,NYM,W,7-1,CG,35,9.0,3,0,0,3,0,C
37,May 28,CHC,,NYM,W,2-0,CG,31,9.0,5,2,0,7,0,C
38,May 29,CHC,,MLN,L,5-6,CG,40,9.0,4,0,0,4,0,C
39,May 30 (1),CHC,,MLN,W,4-2,CG,32,9.0,6,2,0,8,0,C
41 (1),May 31,CHC,,MLN,W,4-3,GS,14,4.0,2,0,0,2,0,C
44 (2),Jun 4,CHC,,STL,W,2-1,CG,35,9.0,3,0,0,3,0,C
48 (3),Jun 9 (1),CHC,@,NYM,L,5-6,CG,53,11.1,2,0,0,2,0,C
51 (2),Jun 11,CHC,@,NYM,W,6-3,CG,38,9.0,5,0,0,5,0,C
52,Jun 12,CHC,,PIT,W,7-1,CG,33,9.0,2,0,0,2,0,C
54 (1),Jun 14,CHC,,PIT,W,5-2,CG,33,9.0,4,2,0,6,0,C
55,Jun 16,CHC,,PHI,L,2-4,GS,32,8.0,5,0,0,5,0,C
56,Jun 17,CHC,,PHI,W,9-5,CG,41,9.0,8,0,0,8,0,C
57,Jun 18,CHC,,PHI,L,3-6,CG,37,9.0,7,2,0,9,0,C
60 (2),Jun 21 (2),CHC,@,PIT,W,7-2,CG,33,9.0,4,0,0,4,0,C
61,Jun 23 (1),CHC,@,PHI,W,2-0,CG,33,9.0,6,0,0,6,0,C
64 (2),Jun 26,CHC,,HOU,W,7-6,CG,45,10.0,4,0,0,4,0,C
65,Jun 27,CHC,,HOU,W,2-1,CG,34,9.0,9,0,1,10,0,C
66,Jun 28 (1),CHC,,HOU,W,10-2,CG,32,9.0,6,0,0,6,0,C
67,Jun 28 (2),CHC,,HOU,L,1-4,GS,33,8.0,2,1,0,3,0,C
68,Jun 29,CHC,,CIN,L,1-6,CG,42,9.0,5,0,0,5,0,C
69,Jun 30,CHC,,CIN,W,1-0,CG,28,9.0,5,0,0,5,0,C
70,Jul 1,CHC,@,CIN,L,5-6,CG,46,9.2,7,0,0,7,0,C
71,Jul 2,CHC,@,CIN,L,0-7,CG,35,8.0,6,2,0,8,1,C
72,Jul 3,CHC,@,MLN,L,2-8,CG,36,8.0,6,4,0,10,1,C
73,Jul 4,CHC,@,MLN,W,4-3,CG,39,9.0,7,2,0,9,0,C
74,Jul 5,CHC,@,MLN,L,1-7,CG,40,8.0,4,0,1,5,0,C
75,Jul 8 (1),CHC,,SFG,W,2-0,CG,33,9.0,5,0,0,5,0,C
77 (1),Jul 9,CHC,,SFG,L,4-9,CG,45,9.0,7,1,1,9,0,C
78,Jul 10,CHC,,SFG,L,3-10,CG,53,9.0,7,0,0,7,0,C
79,Jul 11,CHC,,SFG,L,0-7,CG,43,9.0,2,0,0,2,0,C
80,Jul 12 (1),CHC,,LAD,W,6-3,CG,35,9.0,1,2,0,3,0,C
81,Jul 12 (2),CHC,,LAD,L,2-6,CG,39,9.0,7,2,0,9,0,C
82,Jul 13,CHC,,LAD,W,10-4,CG,37,9.0,4,0,0,4,0,C
83,Jul 14,CHC,,NYM,W,4-2,CG,35,9.0,6,2,2,10,0,C
84,Jul 15,CHC,,NYM,W,3-2,CG,36,9.0,3,0,0,3,0,C
85,Jul 16,CHC,,NYM,W,11-1,CG,38,9.0,3,1,0,4,0,C
86,Jul 17,CHC,@,LAD,L,2-3,CG,34,8.0,2,0,0,2,0,C
87,Jul 18,CHC,@,LAD,L,1-3,CG,30,8.0,5,0,0,5,0,C
88,Jul 19 (1),CHC,@,LAD,W,8-2,CG,32,9.0,6,0,0,6,0,C
