1,Apr 1,COL,,ARI,L,6-7,,3,1.0,0,0,0,0,0,P
2,Apr 2,COL,,ARI,W,3-1,,4,1.0,0,0,0,0,0,P
3,Apr 5,COL,,LAD,W,3-0,,3,1.0,0,0,0,0,0,P
6 (2),Apr 8,COL,@,PIT,L,3-4,,3,1.0,0,0,0,0,0,P
7,Apr 9,COL,@,PIT,W,6-4,,5,1.0,0,0,0,0,0,P
9 (1),Apr 11,COL,@,NYM,W,7-6,,6,1.0,0,0,0,0,0,P
12 (2),Apr 14 (2),COL,@,NYM,W,9-4,,2,0.2,0,0,0,0,0,P
15 (2),Apr 17,COL,,CHC,W,9-5,,2,0.2,0,0,0,0,0,P
18 (2),Apr 20,COL,,SFG,W,10-2,,4,1.0,0,0,0,0,0,P
20 (1),Apr 23,COL,@,FLA,W,3-1,,3,1.0,0,0,0,0,0,P
22 (1),Apr 25,COL,@,CHC,W,5-3,,4,1.0,0,0,0,0,0,P
23,Apr 26,COL,@,CHC,W,4-3,,3,1.0,0,0,0,0,0,P
25 (1),Apr 30,COL,,PIT,W,4-1,,3,1.0,0,0,0,0,0,P
29 (3),May 5,COL,@,ARI,L,2-3,,4,1.0,0,0,0,0,0,P
30,May 6,COL,@,SFG,L,3-4,,6,1.0,0,0,0,0,0,P
33 (2),May 9,COL,,NYM,W,2-1,,3,1.0,0,0,0,0,0,P
36 (2),May 13,COL,,SDP,W,12-7,,4,1.0,0,0,0,0,0,P
37,May 14,COL,,SDP,L,7-9,,6,1.0,0,0,0,0,0,P
39 (1),May 16,COL,,SFG,W,7-4,,4,0.2,0,0,0,0,0,P
43 (3),May 20,COL,@,MIL,L,6-7,,5,1.0,0,0,0,0,0,P
46 (2),May 24 (1),COL,,ARI,W,12-4,,3,1.0,0,0,0,0,0,P
48 (1),May 25,COL,,ARI,L,1-2,GF,4,1.0,0,0,0,0,0,P
52 (3),May 29,COL,,STL,L,3-4,GF,3,1.0,0,0,0,0,0,P
57 (4),Jun 4,COL,@,SFG,W,2-1,,3,1.0,1,0,0,1,0,P
59 (1),Jun 6,COL,@,SDP,W,3-0,,4,0.2,0,0,0,0,0,P
62 (2),Jun 9,COL,,LAD,W,9-7,,3,1.0,0,0,0,0,0,P
65 (2),Jun 12,COL,,LAD,L,8-10,,4,1.0,0,0,0,0,0,P
66,Jun 13,COL,,SDP,L,1-3,GF,5,1.0,0,0,0,0,0,P
68 (1),Jun 15,COL,,SDP,W,6-3,GF,5,1.0,0,0,0,0,0,P
70 (1),Jun 18,COL,,DET,W,5-4,,3,1.0,0,0,0,0,0,P
72 (1),Jun 20,COL,@,CLE,W,8-7,,2,0.2,0,0,0,0,0,P
73,Jun 21,COL,@,CLE,W,4-3,,3,0.0,0,0,0,0,0,P
