604,2,Apr 2,COL,@,MIL,W,8-4,9-GF,S(1),99,0.1,0,0,0,0,0,0,0,0.00,1,3,2,1,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.52,0.013,0.47, 9b 1-3 2 out a4, 9b end a 4
605,3,Apr 3,COL,@,MIL,W,7-3,9-GF,,0,1.0,0,0,0,0,0,0,0,0.00,3,8,5,1,0,1,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.21,0.015,0.46, 9b --- 0 out a4, 9b end a 4
606,4,Apr 5,COL,,SDP,W,5-2,9-GF,S(2),1,1.0,1,0,0,0,2,0,0,0.00,4,14,11,4,3,2,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.45,0.035,0.52, 9t --- 0 out a3, 9t end a 3
607,5,Apr 6,COL,,SDP,W,6-3,9-GF,S(3),0,1.0,1,0,0,0,0,0,0,0.00,4,13,10,4,0,1,3,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.45,0.035,0.52, 9t --- 0 out a3, 9t end a 3
608,10,Apr 12,COL,@,SDP,W,7-5,9-GF,S(4),5,1.0,0,0,0,0,1,0,0,0.00,3,9,8,3,2,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.98,0.070,0.40, 9b --- 0 out a2, 9b end a 2
609,12,Apr 14,COL,@,SDP,W,2-1,9-GF,S(5),1,1.0,0,1,1,2,1,0,0,1.69,5,20,10,5,1,1,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,1,0,3.91,0.070,-0.60, 9b --- 0 out a2, 9b end a 1
610,13,Apr 16(1),COL,,NYM,W,8-4,9-GF,,1,1.0,0,0,0,0,0,0,0,1.42,3,14,8,3,0,1,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.20,0.016,0.52, 9t --- 0 out a4, 9t end a 4
611,14,Apr 16(2),COL,,NYM,W,9-8,10-GF(10),W(1-0),-1,1.0,0,0,0,2,1,0,0,1.23,5,26,14,3,2,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.82,0.142,0.52,10t --- 0 out tie,10t end tie
612,16,Apr 19,COL,,ARI,W,3-1,9-GF,S(6),2,1.0,1,1,0,0,1,0,0,1.08,5,19,14,4,3,1,3,2,1,0,,0,0,0,0,0,5,0,0,0,0,0,1,.91,0.035,-0.48, 9t --- 0 out a3, 9t end a 2
613,17,Apr 20,COL,,ARI,W,4-3,9-GF,S(7),0,1.0,2,1,1,1,0,0,0,1.93,6,22,14,3,1,2,3,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,3.92,0.077,-0.48, 9t --- 0 out a2, 9t end a 1
