228,2 (1),Apr 18,BSN,@,BRO,W,3-2,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,P
229,5 (2),Apr 21,BSN,@,NYG,L,0-2,GS-8,2,2,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,.000,.000,.000,.000,9,.96,-0.049,-0.35,P
230,7 (1),Apr 24,BSN,,BRO,W,5-3,6-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,.000,.000,.000,.000,9,.42,-0.012,-0.49,P
231,11 (3),Apr 29,BSN,,NYG,W,6-4,CG,4,4,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,.000,.000,.000,.000,9,,,,P
232,16 (4),May 5,BSN,@,CHC,W,5-4,GS-8,3,3,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,1,.200,.200,.200,.400,9,1.62,0.003,0.03,P
233,22 (5),May 11,BSN,@,CIN,W,8-5,CG,5,4,1,2,0,0,0,1,1,0,0,0,0,,0,0,0,0,.286,.333,.286,.619,9,.66,0.050,0.62,P
234,25 (2),May 17,BSN,,STL,L,3-5,GS-8,3,3,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,.235,.278,.235,.513,9,.92,-0.068,-0.92,P
235,29 (3),May 22,BSN,,CIN,L,4-10,GS-4,1,1,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,.222,.263,.222,.485,9,.66,-0.017,-0.16,P
236,33 (3),May 27,BSN,,CHC,W,5-0,CG,4,3,1,1,0,0,0,0,0,,1,0,1,,,0,0,0,.238,.273,.238,.511,9,,,,P
237,38 (4),Jun 1,BSN,,BRO,W,8-7,9-GF(16),3,2,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,.217,.250,.217,.467,9,2.01,-0.104,-0.45,P
238,40 (1),Jun 3,BSN,,BRO,L,1-5,0-0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,.217,.250,.217,.467,9,,,,P
239,42 (1),Jun 6,BSN,@,NYG,L,2-6,GS-1,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.217,.250,.217,.467,9,,,,P
240,46 (3),Jun 9 (2),BSN,@,BRO,L,3-8,GS-3,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.208,.240,.208,.448,9,1.11,-0.027,-0.29,P
241,48 (1),Jun 12,BSN,@,STL,L,3-7,GS-0,3,1,0,0,0,0,0,0,1,,1,0,1,,,0,0,0,.200,.259,.200,.459,9,,,,P
242,52 (3),Jun 16,BSN,@,CHC,W,7-6,GS-3,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.192,.250,.192,.442,9,1.10,-0.027,-0.30,P
243,54 (1),Jun 17 (2),BSN,@,CHC,L,2-3,0-GF(11),1,1,0,1,0,0,0,0,0,,0,0,0,,,0,0,0,.222,.276,.222,.498,9,,,,P
244,59 (4),Jun 22,BSN,@,PIT,L,6-7,GS-0,3,2,0,0,0,0,0,0,0,,0,0,1,,,0,0,0,.207,.258,.207,.465,9,,,,P
245,62 (2),Jun 24 (2),BSN,@,CIN,L,7-10,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.207,.258,.207,.465,9,,,,P
246,70 (7),Jul 3,BSN,,NYG,W,5-2,GS-7,3,2,1,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,.194,.265,.194,.458,9,1.01,-0.029,-0.35,P
247,74 (3),Jul 6,BSN,@,PHI,W,16-13,0-GF,2,2,0,1,0,0,0,0,0,,0,0,0,,,0,0,0,.212,.278,.212,.490,9,,,,P
248,76 (1),Jul 7 (2),BSN,@,PHI,L,10-11,0-0,1,1,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,.206,.270,.206,.476,9,,,,P
249,78 (1),Jul 11 (1),BSN,,CHC,L,1-3,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.206,.270,.206,.476,9,,,,P
250,81 (2),Jul 13,BSN,,CHC,W,7-6,GS-5,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.200,.263,.200,.463,9,.98,-0.027,-0.36,P
251,86 (4),Jul 18 (2),BSN,,PIT,W,7-5,GS-7,3,2,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,.189,.250,.189,.439,9,.55,-0.029,-0.51,P
252,90 (3),Jul 22 (1),BSN,,STL,L,4-5,0-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,.189,.250,.189,.439,9,,,,P
253,92 (1),Jul 23,BSN,,CIN,L,2-4,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.189,.250,.189,.439,9,,,,P
254,94 (1),Jul 25 (1),BSN,,CIN,W,2-1,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.175,.233,.175,.408,9,.77,-0.058,-0.56,P
255,99 (4),Jul 31,BSN,,NYG,W,4-1,CG,3,3,0,1,0,0,0,0,0,0,1,0,0,,0,0,0,0,.186,.239,.186,.425,9,.65,-0.043,-0.34,P
256,105 (5),Aug 5 (2),BSN,@,BRO,L,3-5,GS-9,3,3,0,1,0,0,0,0,0,0,0,0,0,,0,1,0,0,.196,.245,.196,.441,9,.67,-0.030,-0.48,P
257,108 (2),Aug 10,BSN,@,NYG,L,3-6,GS-6,2,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.188,.235,.188,.423,9,1.54,-0.114,-0.91,P
258,113 (4),Aug 17,BSN,@,CHC,W,5-2,GS-0,2,2,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,.180,.226,.180,.406,9,,,,P
259,115 (1),Aug 19 (1),BSN,@,STL,W,10-9,0-GF,1,1,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,.176,.222,.176,.399,9,,,,P
260,119 (3),Aug 24 (2),BSN,@,CIN,W,10-9,6-GF,2,2,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,.189,.232,.208,.440,9,.55,0.038,0.31,P
261,124 (4),Aug 29 (1),BSN,@,PIT,W,11-0,CG,5,5,0,1,0,0,0,0,0,,1,0,0,,,0,0,0,.190,.230,.207,.436,9,,,,P
262,129 (4),Sep 3 (2),BSN,,BRO,W,4-2,CG,3,3,0,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,.197,.234,.213,.447,9,.82,0.040,0.40,P
263,134 (4),Sep 9 (2),BSN,,CHC,W,11-1,CG,4,3,0,0,0,0,0,0,0,,0,0,1,,,0,0,0,.188,.224,.203,.427,9,,,,P
264,138 (3),Sep 15,BSN,,CIN,W,2-1,CG,3,2,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,.182,.229,.197,.426,9,1.11,-0.030,-0.08,P
265,143 (4),Sep 21,BSN,,NYG,L,1-8,GS-3,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.182,.229,.197,.426,9,,,,P
266,146 (2),Sep 23 (2),BSN,,NYG,W,4-3,GS-0,2,1,0,0,0,0,0,0,1,,0,0,0,,,0,0,0,.179,.236,.194,.430,9,,,,P
