94 (93),Jul 25,TEX,@,CLE,W,6-4,GF,5,1.0,0,0,0,0,0,PH LF
95,Jul 26,TEX,@,TOR,W,14-0,GF,24,6.0,0,0,0,0,0,PR 3B
96,Jul 28,TEX,@,TOR,W,3-0,GS,31,8.0,0,0,0,0,0,LF
98 (1),Jul 30,TEX,,DET,W,6-5,GF,9,3.0,0,0,0,0,0,PH RF
103 (4),Aug 4,TEX,@,CHW,L,4-5,GF,9,2.0,2,0,0,2,0,PH RF
104,Aug 5 (1),TEX,@,DET,W,4-3,GS,42,11.0,9,0,0,9,0,3B 1B
108 (3),Aug 8 (1),TEX,,OAK,W,5-2,GF,21,6.0,0,0,0,0,0,PR 3B
113 (4),Aug 13,TEX,,CHW,L,5-6,GF,18,4.0,4,0,0,4,0,PH 1B
114,Aug 14,TEX,,CHW,W,12-9,GF,16,3.0,2,0,0,2,0,PH RF
115,Aug 15,TEX,@,MIL,L,5-6,GS,26,6.0,2,0,0,2,0,RF
116,Aug 16,TEX,@,MIL,W,11-3,GF,24,6.0,1,0,0,1,0,3B
117,Aug 17,TEX,,TOR,W,6-5,GF,5,1.0,0,0,0,0,0,PH LF
118,Aug 18,TEX,,TOR,W,8-0,GF,7,2.0,4,0,0,4,0,1B
121 (2),Aug 21,TEX,,NYY,L,1-2,CG,34,9.0,1,0,0,1,0,LF
124 (2),Aug 24 (1),TEX,@,BOS,W,3-0,CG,31,9.0,0,3,0,3,1,3B
126 (1),Aug 25,TEX,@,BOS,L,6-9,GF,4,1.0,0,1,0,1,0,PH 3B
134 (7),Sep 4,TEX,,BOS,L,4-8,GF,9,2.0,0,1,0,1,0,PH 2B
135,Sep 5,TEX,@,MIN,L,4-5,CG,35,8.0,1,3,1,5,0,2B
136,Sep 6,TEX,@,MIN,L,4-7,CG,38,8.0,1,4,0,5,0,2B
137,Sep 7,TEX,@,MIN,W,4-3,CG,36,9.0,0,8,0,8,0,2B
138,Sep 9,TEX,@,SEA,L,3-8,GS,37,8.0,0,1,0,1,0,RF 3B
140 (1),Sep 10 (2),TEX,@,SEA,W,7-1,GS,36,9.0,1,2,0,3,0,LF 3B
141,Sep 11,TEX,@,SEA,L,4-6,GS,31,7.0,1,0,0,1,0,LF
143 (1),Sep 13,TEX,,CAL,L,7-12,GS,24,6.0,0,0,0,0,0,RF
144,Sep 14,TEX,,CAL,W,2-1,GS,28,8.0,1,0,0,1,0,RF
147 (2),Sep 17,TEX,,MIN,W,5-4,,16,5.0,0,0,0,0,0,PH RF
157 (9),Sep 25 (2),TEX,@,OAK,W,8-6,CG,40,9.0,2,1,0,3,0,3B
160 (2),Sep 30,TEX,,OAK,W,4-1,GS,25,7.0,8,1,0,9,1,1B
161,Oct 1,TEX,,OAK,W,6-5,GS,45,9.0,2,3,0,5,0,3B 1B 2B
162,Oct 2,TEX,,OAK,W,8-7,CG,39,9.0,0,3,0,3,2,3B
