1,Apr 6,HOU,,CHC,W,4-2,CG,35,9.0,3,4,0,7,2,2B
2,Apr 7,HOU,,CHC,L,2-9,CG,49,9.0,2,2,0,4,0,2B
3,Apr 8,HOU,,CHC,L,1-2,CG,36,9.0,0,0,0,0,0,2B
4,Apr 9,HOU,,MIL,W,3-2,CG,33,9.0,2,4,0,6,2,2B
5,Apr 10,HOU,,MIL,L,2-8,CG,43,9.0,3,2,0,5,1,2B
6,Apr 11,HOU,,MIL,W,5-2,CG,37,9.0,3,3,0,6,1,2B
7,Apr 13,HOU,@,SFG,W,7-3,CG,34,9.0,3,4,0,7,2,2B
8,Apr 14,HOU,@,SFG,W,6-3,CG,38,9.0,0,1,0,1,0,2B
9,Apr 15,HOU,@,SFG,L,2-5,CG,35,8.0,2,4,0,6,2,2B
10,Apr 16,HOU,,STL,L,3-5,CG,39,9.0,4,3,0,7,2,2B
11,Apr 17,HOU,,STL,L,5-8,CG,39,9.0,2,2,0,4,1,2B
12,Apr 18,HOU,,STL,W,8-4,CG,38,9.0,4,1,0,5,1,2B
13,Apr 20,HOU,@,CHC,W,10-4,CG,41,9.0,0,2,1,3,0,2B
14,Apr 21,HOU,@,CHC,W,10-3,GF,12,3.0,1,0,0,1,0,PH 2B
15,Apr 23,HOU,@,CIN,L,5-7,CG,35,8.0,2,3,0,5,0,2B
16,Apr 24,HOU,@,CIN,W,4-3,CG,37,9.0,0,3,0,3,1,2B
17,Apr 25,HOU,@,CIN,L,6-7,CG,41,8.0,2,1,0,3,0,2B
18,Apr 26,HOU,,ARI,W,5-2,CG,36,9.0,1,5,0,6,0,2B
19,Apr 27,HOU,,ARI,W,11-0,CG,35,9.0,3,3,0,6,0,2B
20,Apr 28,HOU,,ARI,L,6-10,CG,46,9.0,2,4,0,6,1,2B
21,Apr 29,HOU,,ARI,W,5-2,CG,31,9.0,2,3,0,5,1,2B
22,Apr 30,HOU,@,FLA,W,8-1,GS,26,7.0,1,2,0,3,1,2B
23,May 1,HOU,@,FLA,W,6-4,CG,39,9.0,1,5,0,6,1,2B
24,May 2,HOU,@,FLA,W,3-2,CG,35,9.0,1,4,0,5,1,2B
25,May 3,HOU,@,NYM,L,3-5,CG,37,8.0,1,3,0,4,1,2B
26,May 4,HOU,@,NYM,W,6-1,CG,33,9.0,2,4,0,6,0,2B
27,May 5,HOU,@,NYM,W,5-4,CG,37,9.0,5,6,0,11,3,2B
28,May 7,HOU,,MON,W,5-2,CG,33,9.0,3,4,0,7,1,2B
29,May 8,HOU,,MON,L,5-6,CG,39,9.0,6,3,0,9,1,2B
30,May 9,HOU,,MON,L,2-4,CG,41,9.0,3,3,0,6,0,2B
31,May 10,HOU,,PIT,W,6-0,CG,30,9.0,3,4,0,7,2,2B
32,May 11,HOU,,PIT,W,19-8,GS,23,5.0,1,2,0,3,1,2B
33,May 12,HOU,,PIT,W,6-2,CG,39,9.0,4,1,0,5,0,2B
34,May 14,HOU,,SFG,W,7-4,CG,38,9.0,2,4,0,6,1,2B
35,May 15,HOU,,SFG,W,10-5,CG,37,9.0,0,1,0,1,1,2B
36,May 16,HOU,,SFG,L,4-5,CG,46,11.0,1,5,0,6,0,2B
37,May 18,HOU,@,LAD,W,11-3,CG,35,9.0,5,2,0,7,1,2B
38,May 19,HOU,@,LAD,L,2-5,CG,34,8.0,3,0,0,3,0,2B
39,May 20,HOU,@,LAD,W,4-3,CG,41,10.0,5,4,0,9,3,2B
40,May 21,HOU,@,SFG,L,3-4,CG,34,8.0,3,2,0,5,3,2B
41,May 22,HOU,@,SFG,L,1-3,CG,36,8.0,2,5,0,7,1,2B
42,May 23,HOU,@,SFG,W,4-1,CG,31,9.0,1,6,0,7,0,2B
43,May 24,HOU,,COL,W,5-2,CG,34,9.0,3,7,0,10,3,2B
44,May 25,HOU,,COL,W,2-1,CG,41,12.0,3,4,0,7,2,2B
45,May 26,HOU,,COL,W,3-2,CG,34,9.0,0,5,0,5,1,2B
46,May 27,HOU,,COL,L,3-4,CG,38,9.0,2,3,1,6,1,2B
47,May 28,HOU,@,PIT,L,5-6,CG,35,8.0,1,2,0,3,0,2B
48,May 29,HOU,@,PIT,L,1-5,CG,34,8.0,0,1,0,1,0,2B
49,May 30,HOU,@,PIT,L,3-7,CG,37,8.0,2,3,0,5,1,2B
50,Jun 1,HOU,@,MIL,W,3-0,CG,28,7.0,2,1,0,3,1,2B
51,Jun 2,HOU,@,MIL,W,9-1,CG,31,9.0,0,2,0,2,0,2B
52,Jun 3,HOU,@,MIL,L,1-4,CG,34,8.0,2,2,0,4,1,2B
54 (1),Jun 5,HOU,@,MIN,W,6-5,CG,40,9.0,2,3,0,5,1,2B
56 (1),Jun 7,HOU,@,CHW,W,8-2,CG,35,9.0,2,1,0,3,1,2B
57,Jun 8,HOU,@,CHW,L,3-4,CG,31,8.0,2,4,0,6,1,2B
58,Jun 9,HOU,@,CHW,W,13-4,GS,35,8.0,2,0,0,2,0,2B
59,Jun 11,HOU,,SDP,W,2-1,CG,32,9.0,1,2,0,3,0,2B
60,Jun 12,HOU,,SDP,W,3-2,CG,38,9.0,3,2,0,5,0,2B
61,Jun 13 susp,HOU,,SDP,W,4-3,CG,36,9.0,2,5,0,7,1,2B
