69,1,Apr 15,TEX,@,CAL,L,0-1,CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,.000,.000,.000,6,.64,-0.044,-0.26,RF LF
70,2,Apr 16,TEX,@,CAL,W,5-1,4-GF,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,.000,.000,.000,.000,7,.23,-0.012,-0.06,RF
71,4 (1),Apr 19,TEX,@,CHW,L,1-2,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.111,.111,.111,.222,6,1.27,-0.091,-0.44,RF
72,5,Apr 21,TEX,,CAL,W,7-6,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.111,.111,.111,.222,3,,,,1B
73,6,Apr 22,TEX,,CAL,W,5-0,CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,.167,.231,.167,.397,6,.41,-0.026,-0.51,RF LF
74,7,Apr 23,TEX,,CAL,W,5-2,GS-7,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,.214,.267,.214,.481,6,.68,-0.009,-0.30,RF
75,8,Apr 24,TEX,,CAL,W,6-4,CG,4,3,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,.235,.278,.235,.513,6,3.19,0.400,1.44,LF
76,9,Apr 25,TEX,,DET,L,1-4,7-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.263,.222,.485,9,1.90,-0.042,-0.24,PH
77,10,Apr 26,TEX,,DET,L,1-8,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.182,.217,.182,.399,3,.53,-0.049,-0.70,RF
78,11,Apr 28,TEX,,BOS,W,9-6,GS-6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.200,.167,.367,6,1.54,-0.075,-0.69,RF
79,12,Apr 29,TEX,,BOS,W,7-6,GS-8,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.192,.250,.192,.442,6,.88,0.049,0.28,RF
80,13,Apr 30,TEX,,BOS,L,0-3,GS-10,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.172,.226,.172,.398,6,1.29,-0.091,-0.59,RF
81,14,May 2,TEX,,CLE,L,2-4,GS-8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.156,.206,.156,.362,6,1.68,-0.073,-0.66,RF
82,15,May 3,TEX,,CLE,L,1-2,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.152,.200,.152,.352,9,2.35,-0.055,-0.18,RF
83,16,May 5,TEX,@,DET,W,2-1,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.152,.200,.152,.352,3,,,,LF
84,17,May 6,TEX,@,DET,L,1-4,6-6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.147,.194,.147,.342,9,.81,-0.019,-0.19,PH
85,20 (2),May 11,TEX,@,BAL,W,3-1,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.147,.194,.147,.342,3,,,,LF 1B
86,21,May 12,TEX,@,CLE,W,3-1,7-7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.147,.216,.147,.363,9,1.84,0.019,0.27,PH
87,22,May 13,TEX,@,CLE,L,3-7,8-GF,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.231,.167,.397,9,.09,-0.001,0.23,PH 1B
88,23,May 14,TEX,@,CLE,L,3-4,7-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.162,.225,.162,.387,9,2.27,-0.051,-0.29,PH
89,24,May 15,TEX,@,KCR,L,4-5,2-8,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.205,.262,.231,.493,6,.85,0.059,0.58,RF
90,26 (1),May 17,TEX,@,KCR,W,4-3,CG(18),8,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.191,.240,.213,.453,5,1.59,0.027,0.03,LF 1B
91,31 (4),May 22,TEX,,CHW,L,6-7,7-8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.191,.255,.213,.468,9,.84,0.043,0.35,PH
92,32,May 23,TEX,,CHW,L,1-2,9-GF,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.208,.269,.229,.498,7,4.70,-0.121,-0.27,PH
93,33,May 24,TEX,,CHW,L,1-5,6-GF,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.259,.220,.479,2,.28,-0.013,-0.42,PH 1B
94,34,May 25,TEX,@,MIN,L,5-6,7-7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.216,.273,.235,.508,9,1.25,0.059,0.36,PH
95,35,May 26,TEX,@,MIN,L,0-7,5-5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.212,.268,.231,.499,2,1.12,-0.015,-0.16,PH
96,36,May 27,TEX,@,MIN,W,16-2,6-GF,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.212,.281,.231,.511,2,.00,0.000,0.23,RF
97,38 (1),May 29 (1),TEX,,OAK,L,1-4,7-GF,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.226,.293,.245,.538,9,.51,0.026,0.22,PH RF
98,39,May 29 (2),TEX,,OAK,L,1-7,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.288,.241,.529,8,.04,-0.001,-0.18,PH
99,40,May 30,TEX,,OAK,W,3-2,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.222,.288,.241,.529,5,,,,1B
100,41,May 31,TEX,,OAK,L,1-5,CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.224,.286,.259,.544,7,2.05,-0.013,-0.16,RF
101,42,Jun 2,TEX,@,MIL,L,5-7,GS-5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,.217,.277,.250,.527,6,.61,-0.047,-1.07,RF
102,44 (1),Jun 4,TEX,@,MIL,W,10-0,CG,5,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.231,.286,.262,.547,6,.28,0.055,1.83,RF
103,45,Jun 6,TEX,,NYY,W,6-3,7-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.231,.286,.262,.547,3,,,,PR 1B
