1,Apr 16,CHC,,PIT,L,3-4,,3,1.0,0,1,0,1,0,P
3 (1),Apr 18,CHC,,PIT,W,11-1,CG,36,9.0,0,4,0,4,0,P
6 (2),Apr 23,CHC,,STL,L,6-9,GS,33,7.1,0,3,0,3,0,P
9 (2),Apr 27,CHC,@,PIT,W,8-7,GF,4,1.0,0,0,0,0,0,P
12 (2),Apr 30,CHC,@,CIN,L,4-5,CG,38,8.1,0,1,0,1,0,P
16 (3),May 6,CHC,@,PHI,L,1-2,CG,32,8.1,0,0,1,1,0,P
21 (4),May 11,CHC,@,NYG,L,0-6,GS,27,7.0,1,1,0,2,0,P
26 (4),May 17,CHC,,CIN,W,9-3,CG,33,9.0,0,1,0,1,0,P
31 (4),May 23,CHC,@,STL,L,3-6,GS,33,7.0,0,1,0,1,0,P
35 (3),May 27,CHC,@,CIN,L,5-8,GS,0,7.0,0,2,0,2,0,
40 (4),Jun 2,CHC,,NYG,L,1-4,GS,28,7.0,0,1,0,1,0,P
46 (5),Jun 8,CHC,,BSN,L,4-5,GS,0,6.2,0,2,0,2,0,
51 (4),Jun 15,CHC,,PHI,W,8-7,,0,0.1,0,0,0,0,0,
54 (2),Jun 18,CHC,,STL,W,13-6,GS,32,6.1,0,1,0,1,0,P
59 (4),Jun 22,CHC,,PIT,L,4-7,GS,0,5.2,0,0,0,0,0,
64 (4),Jun 29,CHC,@,STL,W,10-7,GS,31,6.0,0,1,0,1,0,P
70 (5),Jul 4 (2),CHC,,CIN,W,10-5,CG,0,9.0,1,1,0,2,1,
77 (6),Jul 11 (2),CHC,@,NYG,L,12-16,GS,0,0.2,0,0,0,0,0,
81 (3),Jul 15 (2),CHC,@,PHI,W,7-6,GS,0,7.2,1,0,0,1,0,
86 (4),Jul 20 (2),CHC,@,BRO,W,4-1,CG,38,9.0,0,4,0,4,0,P
90 (3),Jul 25,CHC,,NYG,W,8-5,GS,29,7.0,0,2,0,2,0,P
96 (5),Jul 30,CHC,,BSN,W,4-0,CG,0,9.0,1,0,0,1,0,
101 (4),Aug 4,CHC,,BRO,W,6-4,CG,0,9.0,1,4,0,5,0,
105 (3),Aug 10,CHC,@,BSN,W,4-1,GS,26,7.0,0,1,0,1,0,P
110 (4),Aug 15 (2),CHC,@,BRO,L,4-5,CG,0,8.0,0,0,0,0,0,
117 (6),Aug 22,CHC,@,PHI,W,16-7,GS,22,3.2,0,0,0,0,0,P
120 (2),Aug 25 (1),CHC,@,CIN,L,3-6,GF,3,1.0,0,0,0,0,0,P
123 (2),Aug 27,CHC,,CIN,W,4-1,CG,32,9.0,0,2,0,2,0,P
129 (5),Sep 1,CHC,,STL,W,10-3,CG,37,9.0,0,1,0,1,0,P
134 (4),Sep 7 (1),CHC,,BSN,W,13-6,CG,43,9.0,0,1,0,1,0,P
140 (5),Sep 13,CHC,,PHI,L,6-7,GS,35,7.0,0,4,0,4,0,P
143 (2),Sep 17 (1),CHC,,BRO,L,7-8,GF,3,0.1,0,0,0,0,0,P
145 (1),Sep 18,CHC,,NYG,L,3-7,GS,0,4.0,1,0,0,1,0,
152 (6),Oct 2,CHC,@,CIN,W,7-4,CG,37,9.0,1,1,1,3,0,P
156 (3),Oct 6,CHC,,PIT,L,3-8,,0,3.0,0,0,0,0,0,
