797,1,Apr 4,SFG,@,MIL,W,12-3,8-GF,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,8,.06,0.005,0.03,,,PH CF
798,2,Apr 5,SFG,@,MIL,W,2-1,9-9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.333,.333,.333,.667,8,.99,-0.028,-0.32,,,PH
799,3,Apr 6,SFG,@,MIL,L,3-4,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.167,.167,.333,9,1.00,-0.074,-0.51,,,CF
800,4,Apr 7,SFG,,LAD,W,12-6,8-GF,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.286,.286,.571,8,.51,0.019,0.38,,,PH LF
801,5,Apr 8,SFG,,LAD,W,3-2,6-7,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.250,.250,.500,9,1.36,-0.034,-0.23,,,PH
802,6,Apr 9,SFG,,LAD,L,2-3,7-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.222,.222,.444,8,.37,-0.009,-0.10,,,PH
803,9 (2),Apr 13,SFG,@,COL,L,6-10,5-5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,.400,9,1.38,-0.026,-0.21,,,PH
804,11 (1),Apr 15,SFG,@,LAD,L,3-7,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.154,.154,.154,.308,9,.57,0.036,0.18,,,CF
805,14 (2),Apr 18,SFG,,ARI,L,7-9,7-8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.143,.143,.143,.286,8,.70,-0.029,-0.57,,,PH
806,16 (1),Apr 20,SFG,,ARI,L,1-2,CG,4,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.222,.222,.333,.556,7,2.02,-0.029,0.31,,,RF
807,17,Apr 21,SFG,,ARI,L,2-6,7-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.211,.211,.316,.526,9,1.39,-0.034,-0.15,,,PH
808,19 (1),Apr 23,SFG,,MIA,W,7-2,CG,4,3,2,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,.273,.304,.545,.850,8,.58,0.045,1.60,,,LF
809,20,Apr 24,SFG,,MIA,L,4-5,CG,4,3,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.320,.370,.560,.930,8,1.97,0.368,2.04,,,CF LF
810,21,Apr 25,SFG,,SDP,W,5-4,7-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.308,.357,.538,.896,8,.38,-0.010,-0.42,,,PH
811,23 (1),Apr 27,SFG,,SDP,W,13-9,6-GF,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.333,.400,.556,.956,9,.05,0.004,1.57,,,PH LF
812,24,Apr 29,SFG,@,NYM,L,1-13,8-GF,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.357,.419,.607,1.026,7,.00,0.000,0.37,,,PH LF
813,25,Apr 30,SFG,@,NYM,L,5-6,8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.345,.406,.586,.992,9,4.12,-0.104,-0.42,,,PH
814,26,May 1,SFG,@,NYM,W,6-1,7-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.333,.394,.567,.961,9,.02,0.000,-0.10,,,LF
815,27,May 2,SFG,@,CIN,W,9-6,7-GF,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.344,.400,.563,.963,6,1.65,0.138,0.34,,,PH LF
816,28,May 3,SFG,@,CIN,W,3-1,CG,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.333,.385,.528,.912,8,1.43,0.016,0.17,,,LF
817,29,May 4,SFG,@,CIN,L,4-7,GS-7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.308,.357,.487,.844,2,.52,-0.041,-0.55,,,LF
818,30,May 5,SFG,,COL,L,7-17,CG,4,4,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,.326,.370,.488,.858,8,.71,0.013,1.37,,,RF
819,31,May 6,SFG,,COL,W,6-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.298,.340,.447,.787,8,.82,-0.079,-0.81,,,LF
820,32,May 7,SFG,,COL,W,2-1,CG(13),5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.269,.309,.404,.713,8,1.86,-0.278,-1.38,,,LF
821,33,May 8,SFG,,COL,L,0-2,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,.268,.305,.393,.698,1,1.08,-0.061,-0.42,,,CF
822,34,May 9,SFG,,TOR,L,1-3,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.286,.367,.652,7,1.53,-0.154,-1.03,,,LF
823,36 (1),May 11,SFG,,TOR,W,5-4,CG(13),6,6,0,1,1,0,0,1,0,0,2,0,0,0,1,1,0,0,.242,.275,.364,.639,8,1.92,0.071,0.73,,,LF
824,37,May 12,SFG,@,ARI,W,4-2,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.246,.288,.362,.650,8,.67,0.049,0.17,,,LF
825,40 (2),May 15,SFG,@,ARI,W,2-1,8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.243,.284,.357,.641,9,1.86,-0.048,-0.25,,,PH
826,44 (3),May 20,SFG,,CHC,L,1-8,6-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.239,.280,.352,.632,3,.70,-0.018,-0.23,,,PH
827,45,May 21,SFG,,CHC,W,5-3,CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.230,.278,.338,.616,8,.35,0.006,-0.59,,,RF
828,46,May 22,SFG,,CHC,W,1-0,CG,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.224,.280,.329,.609,7,1.12,-0.009,-0.20,,,RF
829,47,May 23,SFG,,SDP,W,1-0,CG,4,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,.221,.302,.325,.627,8,1.75,0.014,0.46,,,RF
830,48,May 24,SFG,,SDP,W,8-2,CG,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.235,.311,.333,.644,8,.55,0.034,0.30,,,RF
831,49,May 25,SFG,,SDP,W,4-3,CG(10),5,5,1,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,.244,.316,.360,.676,1,1.52,-0.037,0.37,,,CF RF
832,50,May 27,SFG,@,COL,L,2-5,CG,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.244,.313,.356,.669,6,.53,-0.043,0.43,,,LF
833,51,May 28,SFG,@,COL,W,10-5,CG,5,5,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,1,.253,.317,.358,.675,1,.50,-0.009,0.83,,,CF
834,52,May 29,SFG,@,COL,W,8-3,CG,5,3,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,.276,.343,.388,.730,8,.44,0.066,1.89,,,LF
835,53,May 30,SFG,@,ATL,L,3-5,6-6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.273,.339,.384,.723,9,.62,-0.016,-0.23,,,PH
836,54,May 31,SFG,@,ATL,W,4-0,CG,3,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.275,.339,.392,.731,7,1.23,0.038,0.64,,,LF
837,55,Jun 1,SFG,@,ATL,L,4-5,CG(11),5,5,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.280,.342,.393,.734,7,1.11,-0.053,-0.03,,,LF RF
838,56,Jun 2,SFG,@,ATL,W,6-0,CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.273,.339,.382,.721,8,.68,0.005,-0.56,,,LF
839,57,Jun 3,SFG,@,STL,W,5-1,CG,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.265,.336,.372,.708,7,1.21,-0.045,-0.17,,,LF
840,58,Jun 4,SFG,@,STL,L,4-7,CG,4,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.259,.326,.362,.688,7,.84,-0.035,-0.44,,,LF
841,59,Jun 5,SFG,@,STL,L,3-6,CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.252,.323,.353,.676,6,.82,-0.053,-0.57,,,LF RF
842,60,Jun 7,SFG,,BOS,L,3-5,CG(10),4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.244,.314,.341,.655,6,1.41,-0.151,-1.38,,,RF
843,61,Jun 8,SFG,,BOS,W,2-1,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.242,.312,.339,.650,9,.51,-0.013,-0.23,,,RF
844,62,Jun 10,SFG,,LAD,L,2-3,9-GF,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.242,.317,.339,.655,6,4.97,0.027,0.11,,,PH
845,63,Jun 11,SFG,,LAD,W,5-4,CG(10),4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.236,.315,.331,.645,8,1.42,-0.098,-0.29,,,RF
846,64,Jun 12,SFG,,LAD,W,2-1,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.231,.308,.323,.631,8,1.42,-0.137,-1.31,,,RF
847,65,Jun 13,SFG,,MIL,W,11-5,CG,4,3,0,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,.233,.313,.323,.637,8,1.09,-0.025,1.06,,,RF
848,66,Jun 14,SFG,,MIL,W,3-2,CG,4,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.241,.318,.336,.654,8,1.27,-0.005,-0.31,,,RF
849,67,Jun 15,SFG,,MIL,W,10-1,CG,6,6,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.252,.325,.350,.675,1,.36,0.036,0.65,,,CF
850,68,Jun 17,SFG,@,TBR,W,5-1,CG,4,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,.252,.323,.347,.670,9,.78,0.058,0.54,,,RF
851,69,Jun 18,SFG,@,TBR,W,6-4,CG,4,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.260,.329,.353,.683,9,2.26,0.163,0.63,,,RF
852,70,Jun 19,SFG,@,TBR,W,5-1,CG,4,3,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.261,.333,.353,.686,9,1.17,-0.052,-0.32,,,RF
853,71,Jun 20,SFG,@,PIT,L,0-1,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.256,.328,.346,.674,9,1.34,-0.101,-0.62,,,CF
854,72,Jun 21,SFG,@,PIT,W,15-4,CG,6,4,3,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,.269,.344,.369,.713,7,.21,0.085,1.53,,,RF CF
855,73,Jun 22,SFG,@,PIT,W,7-6,4-4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.267,.343,.366,.709,9,1.18,-0.030,-0.43,,,PH
856,74,Jun 23,SFG,@,PIT,W,5-3,7-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.265,.341,.364,.705,9,.59,-0.015,-0.23,,,PH
857,75,Jun 24,SFG,,PHI,W,5-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.259,.333,.355,.689,6,1.23,-0.104,-1.24,,,RF
858,76,Jun 25,SFG,,PHI,L,2-3,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.254,.328,.349,.677,9,1.73,0.053,0.57,,,RF
859,77,Jun 26,SFG,,PHI,W,8-7,7-8,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.254,.332,.349,.681,9,1.14,0.040,0.25,,,PH
860,78,Jun 27,SFG,,OAK,L,3-8,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.250,.330,.343,.673,6,.34,-0.001,-1.28,,,RF CF
861,79,Jun 28,SFG,,OAK,L,11-13,6-7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250,.333,.343,.676,6,.49,0.003,0.13,,,PH
862,80,Jun 29,SFG,@,OAK,L,1-7,7-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.250,.333,.343,.676,1,,,,,,CF
863,82 (1),Jul 1,SFG,@,ARI,W,6-4,CG,5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.254,.335,.345,.680,1,.81,-0.019,-0.37,,,CF
864,83,Jul 2,SFG,@,ARI,L,5-6,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.249,.328,.337,.665,1,.61,-0.065,-0.85,,,CF
865,86 (2),Jul 5,SFG,,COL,L,3-7,8-9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.247,.327,.335,.662,9,.90,-0.023,-0.42,,,PH
866,88 (1),Jul 8,SFG,,ARI,W,6-2,8-9,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.251,.330,.355,.685,9,.10,0.014,1.00,,,PH
867,89,Jul 9,SFG,,ARI,W,4-2,6-GF,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250,.332,.353,.685,6,.49,0.027,0.23,,,PH RF
868,90,Jul 10,SFG,,ARI,W,4-0,CG,4,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,.253,.340,.360,.700,7,.32,0.059,1.65,,,RF
869,91,Jul 15,SFG,@,SDP,L,1-4,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.249,.335,.354,.689,7,.99,-0.071,-0.67,,,RF
870,92,Jul 16,SFG,@,SDP,L,6-7,10-GF(10),1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.253,.338,.358,.696,7,.46,0.017,0.21,,,PH RF
871,93,Jul 17,SFG,@,SDP,L,3-5,CG,4,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,.249,.336,.352,.689,6,.77,0.049,0.76,,,RF
872,94,Jul 19,SFG,@,BOS,L,0-4,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.247,.335,.351,.685,8,.53,-0.014,-0.25,,,PH RF
873,95,Jul 20,SFG,@,BOS,L,7-11,6-GF,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.245,.332,.347,.679,6,1.68,-0.245,-1.87,,,PH RF
874,96,Jul 22,SFG,@,NYY,L,2-3,CG,4,4,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,.245,.330,.350,.680,9,2.28,0.104,-0.08,,,RF
