54,1,Apr 7,ATL,@,HOU,L,2-6,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,8,1.10,-0.079,-0.99,SS
55,2,Apr 8,ATL,@,HOU,W,2-0,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,8,1.11,-0.108,-1.08,SS
56,3,Apr 9,ATL,@,HOU,L,2-14,CG,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.182,.182,.182,.364,8,.30,0.004,0.35,SS
57,4,Apr 11,ATL,@,SFG,W,4-2,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,.400,8,.74,-0.032,-0.47,SS
58,5,Apr 12,ATL,@,SFG,W,7-4,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.167,.211,.167,.377,8,.56,-0.028,-0.56,SS
59,6,Apr 13 (1),ATL,@,SFG,L,0-5,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.143,.182,.143,.325,8,1.05,-0.096,-0.88,SS
60,8 (1),Apr 15,ATL,,HOU,W,6-1,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.125,.160,.125,.285,8,.23,-0.018,-0.55,SS
61,9,Apr 16,ATL,,HOU,W,5-2,CG,3,3,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.222,.250,.222,.472,8,.90,0.118,1.59,SS
62,10,Apr 17,ATL,,HOU,W,2-1,CG(10),4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.200,.226,.200,.426,8,1.73,-0.137,-0.99,SS
63,11,Apr 18,ATL,,SDP,L,1-3,CG,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.182,.206,.182,.388,8,1.28,-0.093,-0.60,SS
64,12,Apr 19,ATL,,SDP,L,2-8,CG,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.167,.211,.167,.377,8,.64,0.009,-0.66,SS
65,13,Apr 20,ATL,,SDP,W,4-3,GS-8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.154,.195,.154,.349,8,2.13,-0.159,-1.20,SS
66,14,Apr 21,ATL,,LAD,L,1-2,CG,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.146,.205,.146,.351,8,1.62,0.020,0.16,SS
67,15,Apr 22,ATL,,LAD,W,3-2,GS-7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.140,.196,.140,.335,8,.93,-0.046,-0.38,SS
68,16,Apr 23,ATL,,CIN,W,5-4,CG(11),5,5,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.167,.216,.188,.403,8,1.11,0.425,0.94,SS
69,17,Apr 24,ATL,,CIN,L,3-11,CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.192,.236,.231,.467,8,.40,-0.015,0.41,SS
70,18,Apr 25,ATL,@,SDP,L,3-5,CG,4,4,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.214,.254,.250,.504,8,1.97,0.180,1.35,SS
71,19,Apr 26,ATL,@,SDP,W,6-4,CG,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.233,.270,.267,.537,8,.58,0.010,-0.05,SS
72,20,Apr 27 (1),ATL,@,SDP,W,12-8,CG,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.231,.265,.262,.526,8,.61,-0.073,-0.89,SS
73,22 (1),Apr 28,ATL,@,LAD,L,3-4,CG,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.224,.278,.254,.532,8,.99,0.046,0.14,SS
74,23,Apr 29,ATL,@,LAD,L,0-8,CG,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.229,.280,.271,.551,8,.89,-0.001,-0.15,SS
75,24,Apr 30,ATL,@,LAD,L,2-5,CG,4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.230,.278,.311,.589,8,1.09,0.081,0.96,SS
76,25,May 2,ATL,@,CIN,W,6-5,CG,4,4,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,.244,.289,.372,.661,8,1.49,0.343,0.74,SS
77,26,May 3,ATL,@,CIN,L,1-6,CG,4,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.259,.310,.383,.693,8,.56,0.088,0.66,SS
78,27,May 4,ATL,@,CIN,L,2-3,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.259,.308,.376,.684,8,2.01,-0.108,-0.45,SS
79,28,May 6,ATL,,SFG,L,1-7,CG,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.253,.309,.368,.676,8,.86,-0.022,-0.13,SS
80,29,May 7,ATL,,SFG,L,2-6,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.244,.299,.356,.655,7,.96,-0.084,-0.75,SS
81,30,May 8,ATL,,SFG,W,3-2,CG,3,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,.250,.310,.380,.690,7,.56,0.027,0.63,SS
82,31,May 9,ATL,,PHI,W,3-1,CG,3,3,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,.263,.320,.400,.720,7,.91,0.171,1.37,SS
83,32,May 10,ATL,,PHI,W,2-1,CG(11),4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.255,.318,.388,.706,7,1.88,-0.216,-1.18,SS
84,33,May 11,ATL,,PHI,W,7-3,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.255,.315,.382,.698,7,.37,0.042,0.02,SS
85,34,May 12,ATL,@,MON,L,1-11,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.248,.313,.371,.684,6,.18,0.024,-0.15,SS
86,35,May 13,ATL,@,MON,W,9-4,CG,5,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.248,.317,.367,.684,7,.39,0.060,0.77,SS
