1,Apr 18,CIN,,CHC,L,6-9,CG,43,9.0,2,1,0,3,0,2B
2,Apr 21,CIN,@,PIT,L,5-7,CG,40,8.0,1,2,0,3,0,2B
3,Apr 22,CIN,@,PIT,L,2-9,CG,42,8.0,2,2,0,4,0,2B
4,Apr 23,CIN,@,PIT,L,3-5,CG,36,8.0,2,0,0,2,0,2B
29,May 21 (1),PHI,,STL,L,5-6,GF,16,5.0,0,2,0,2,1,PH 2B
30,May 21 (2),PHI,,STL,W,4-2,CG,34,9.0,3,2,0,5,1,2B
31,May 23,PHI,,PIT,L,0-6,CG,40,9.0,2,3,0,5,1,2B
32,May 24,PHI,,PIT,W,6-3,CG,33,9.0,7,1,0,8,0,1B
33,May 25,PHI,,PIT,W,3-0,CG,38,9.0,8,0,0,8,0,1B
34,May 26,PHI,@,NYG,W,3-2,CG,36,9.0,6,0,0,6,1,1B
43 (8),Jun 5,PHI,@,STL,W,6-5,CG,44,9.0,5,2,0,7,0,2B
44,Jun 6,PHI,@,STL,L,4-5,CG,34,8.0,2,2,0,4,1,2B
45,Jun 7,PHI,@,CIN,W,4-0,CG,35,9.0,3,3,0,6,1,2B
46,Jun 8,PHI,@,CIN,L,4-8,CG,41,8.0,3,2,0,5,0,2B
47,Jun 11 (1),PHI,@,PIT,W,7-6,CG,37,9.0,6,1,0,7,0,2B
48,Jun 11 (2),PHI,@,PIT,L,4-5,CG,49,11.0,7,6,0,13,2,2B
49,Jun 13,PHI,,STL,L,3-6,CG,43,9.0,4,5,0,9,2,2B
51 (1),Jun 17,PHI,,CIN,W,5-2,GF,8,2.0,0,0,0,0,0,3B
61 (9),Jun 27,PHI,@,BSN,W,3-2,CG,35,9.0,0,4,0,4,1,2B
62,Jun 28,PHI,@,BSN,L,1-3,CG,33,8.0,2,1,0,3,1,2B
63,Jun 29,PHI,@,BSN,L,2-3,CG,31,8.0,1,3,0,4,0,2B
68 (4),Jul 3,PHI,,BSN,L,1-3,GF,5,1.0,0,0,0,0,0,2B
69,Jul 4 (1),PHI,,BSN,W,14-5,GF,25,5.0,0,1,0,1,0,1B
70,Jul 4 (2),PHI,,BSN,L,9-12,GS,36,6.0,3,0,0,3,0,1B
74 (3),Jul 8,PHI,@,BRO,W,4-1,GF,3,1.0,0,0,0,0,0,2B
75,Jul 9,PHI,@,BRO,L,3-7,GF,11,2.0,1,1,0,2,0,2B
76,Jul 13,PHI,@,STL,W,3-2,CG,0,9.0,2,3,0,5,1,
77,Jul 14,PHI,@,STL,L,2-4,CG,0,8.0,1,2,0,3,0,
79 (1),Jul 16 (1),PHI,@,CHC,L,0-8,GF,5,1.0,0,1,0,1,0,2B
80,Jul 16 (2),PHI,@,CHC,L,3-10,CG,39,8.0,3,2,0,5,0,2B
84 (3),Jul 19 (2),PHI,@,PIT,L,2-4,GF,6,1.0,0,0,0,0,0,2B
85,Jul 20,PHI,@,PIT,L,8-10,GF,8,2.0,0,0,0,0,0,2B
88 (2),Jul 22 (2),PHI,@,CIN,L,1-6,GF,4,1.0,0,1,0,1,0,2B
89,Jul 23 (1),PHI,@,CIN,W,12-4,GF,7,2.0,1,0,0,1,1,PH 1B
90,Jul 23 (2),PHI,@,CIN,W,7-4,GF,26,7.0,0,1,0,1,0,3B
98 (7),Jul 30 (1),PHI,,PIT,W,10-0,GF,10,3.0,2,1,0,3,0,1B
99,Jul 30 (2),PHI,,PIT,W,4-2,GF,16,4.0,0,0,0,0,0,2B
127 (27),Aug 29,PHI,@,STL,W,5-3,GF,17,4.0,0,0,0,0,0,2B
128,Aug 30,PHI,@,STL,W,9-8,GF,15,3.0,1,2,0,3,1,2B
130 (1),Sep 2,PHI,@,BSN,W,2-0,GF,4,1.0,0,0,0,0,0,2B
132 (1),Sep 4 (2),PHI,,NYG,L,0-9,GF,3,1.0,0,0,0,0,0,PH 1B
