1023,1,Mar 31,HOU,@,SDP,L,0-4,7-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.85,-0.023,-0.30,PH
1024,3 (1),Apr 2,HOU,@,SDP,W,9-6,GS-8,4,4,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.400,.400,1.000,1.400,6,.97,0.104,1.14,2B
1025,4,Apr 3,HOU,@,SDP,L,2-3,7-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.833,1.167,9,2.21,-0.060,-0.33,PH
1026,6 (1),Apr 5,HOU,@,CHC,L,7-9,8-GF,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.429,.429,.857,1.286,6,2.04,0.082,0.59,PH 3B
1027,7,Apr 6,HOU,@,CHC,L,2-3,CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.300,.300,.600,.900,6,1.23,-0.100,-0.81,3B
1028,8,Apr 7,HOU,,STL,W,5-3,CG,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.308,.308,.538,.846,6,.96,-0.049,-0.26,3B
1029,9,Apr 8,HOU,,STL,L,3-5,CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.353,.353,.588,.941,6,.91,-0.019,-0.18,3B
1030,10,Apr 9,HOU,,STL,L,4-6,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.286,.476,.762,6,1.31,-0.124,-0.80,3B
1031,11,Apr 11,HOU,,FLA,L,6-10,CG,4,4,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,.320,.320,.600,.920,6,1.07,0.164,2.48,3B
1032,12,Apr 12,HOU,,FLA,W,5-0,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.276,.276,.517,.793,6,.50,-0.058,-1.91,3B
1033,13,Apr 13,HOU,,FLA,W,5-1,CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.273,.515,.788,6,.57,-0.027,-1.31,3B
1034,14,Apr 15,HOU,@,PHI,L,3-4,CG,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.270,.270,.486,.757,6,1.32,0.014,-0.05,3B
1035,15,Apr 16,HOU,@,PHI,W,2-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.244,.244,.439,.683,6,.77,-0.079,-0.77,3B
1036,16,Apr 17,HOU,@,PHI,L,2-10,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.222,.222,.400,.622,6,.67,-0.071,-1.37,3B
1037,17,Apr 18,HOU,,COL,L,5-11,8-9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.222,.239,.400,.639,9,.09,0.003,0.11,PH
1038,18,Apr 19,HOU,,COL,L,2-3,GS-8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.208,.224,.375,.599,6,1.12,-0.084,-0.55,3B
1039,19,Apr 20,HOU,,COL,W,6-4,CG,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.212,.226,.365,.592,6,1.71,-0.006,0.05,3B
1040,20,Apr 21,HOU,,SDP,W,10-3,CG,4,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.218,.228,.364,.592,6,.16,0.033,0.46,3B 1B
1041,21,Apr 22,HOU,,SDP,W,11-7,CG,5,5,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.233,.242,.417,.659,6,.52,0.098,0.14,3B
1042,22,Apr 23,HOU,@,CIN,W,9-3,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.233,.242,.417,.659,3,,,,3B
1043,23,Apr 24,HOU,@,CIN,W,5-3,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.219,.227,.391,.618,5,.84,-0.115,-1.57,3B
1044,24,Apr 25,HOU,@,STL,W,3-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.206,.214,.368,.582,6,.81,-0.081,-0.66,3B
1045,28 (3),Apr 29,HOU,@,ARI,W,6-4,CG,4,4,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,.208,.216,.375,.591,6,.97,0.160,1.62,3B
1046,29,Apr 30,HOU,@,ARI,L,7-8,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.205,.213,.370,.583,9,2.89,-0.071,-0.32,PH 3B
1047,32 (2),May 4,HOU,,MIL,W,8-6,9-10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.216,.224,.378,.602,9,2.57,0.092,0.39,PH
1048,36 (3),May 9,HOU,@,LAD,W,7-1,CG,5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.218,.235,.372,.606,6,.33,0.051,0.02,3B
1049,38 (1),May 11,HOU,@,LAD,W,8-5,7-7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.218,.244,.372,.616,8,3.11,0.025,0.17,PH
1050,40 (1),May 13,HOU,@,SFG,L,2-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.207,.233,.354,.586,6,1.11,-0.132,-1.27,3B
