1,Apr 6,PIT,,MON,L,2-3,GS,28,7.0,2,0,0,2,0,P
5 (3),Apr 11,PIT,@,PHI,L,4-5,CG,36,8.0,0,0,0,0,0,P
10 (4),Apr 17,PIT,,PHI,L,2-13,GS,19,2.2,0,0,0,0,0,P
13 (2),Apr 21,PIT,@,HOU,L,4-5,GS,30,5.2,0,0,0,0,0,P
16 (2),Apr 25,PIT,@,CIN,W,3-2,GS,27,6.2,0,0,0,0,0,P
19 (2),May 1,PIT,,ATL,L,2-5,GS,28,8.0,1,0,0,1,0,P
22 (2),May 5,PIT,@,STL,W,6-5,GS,18,3.2,0,0,0,0,0,P
27 (4),May 11,PIT,,CIN,L,4-8,GS,24,6.0,0,0,0,0,0,P
31 (3),May 16,PIT,,NYM,W,4-3,GS,33,8.0,1,1,0,2,0,P
36 (4),May 21,PIT,@,MON,W,4-2,GS,31,8.1,0,1,0,1,0,P
40 (3),May 26,PIT,@,NYM,L,8-10,GS,15,2.2,0,1,0,1,0,P
45 (4),May 31,PIT,,CHC,W,4-3,GS,28,6.0,0,0,0,0,0,P
50 (4),Jun 5,PIT,,LAD,W,3-1,GS,34,7.1,1,0,0,1,0,P
54 (3),Jun 10,PIT,,SFG,L,4-7,GS,25,5.0,1,2,0,3,0,P
58 (3),Jun 15,PIT,@,LAD,W,6-2,GS,31,7.2,0,0,0,0,0,P
63 (4),Jun 22,PIT,,CHC,W,7-2,GS,29,6.2,1,0,0,1,0,P
68 (4),Jun 26,PIT,@,NYM,W,2-1,GS,28,8.0,1,0,0,1,0,P
72 (3),Jun 30,PIT,,MON,L,3-5,GS,27,6.0,0,1,0,1,0,P
75 (2),Jul 4,PIT,@,STL,W,6-4,GS,26,6.0,1,0,0,1,0,P
80 (4),Jul 8 (2),PIT,@,CIN,W,2-1,GS,26,7.0,1,0,0,1,0,P
83 (2),Jul 12,PIT,@,HOU,W,5-3,GS,28,6.1,1,0,0,1,0,P
87 (3),Jul 19 (1),PIT,,HOU,W,9-5,GS,20,3.1,0,1,0,1,0,P
93 (5),Jul 23 (1),PIT,,ATL,W,7-1,CG,32,9.0,0,1,0,1,0,P
99 (5),Jul 27 (2),PIT,@,MON,W,9-1,CG,34,9.0,0,2,0,2,0,P
103 (3),Jul 31,PIT,,NYM,L,1-2,GS,31,7.0,0,0,0,0,0,P
109 (5),Aug 5 (1),PIT,,PHI,W,12-8,GS,22,4.0,0,0,0,0,0,P
114 (4),Aug 10 (1),PIT,@,PHI,L,3-4,GS,30,7.0,0,1,0,1,0,P
119 (4),Aug 15,PIT,,SDP,W,5-1,CG,31,9.0,0,0,0,0,0,P
124 (4),Aug 20,PIT,,SFG,W,6-5,GS,30,6.0,0,0,0,0,0,P
128 (3),Aug 25,PIT,@,SDP,W,4-3,GS,33,7.0,1,0,0,1,0,P
132 (3),Aug 29,PIT,@,LAD,W,4-1,GS,29,7.0,0,2,0,2,0,P
137 (4),Sep 3 (1),PIT,,PHI,L,0-2,GS,24,6.0,0,0,0,0,0,P
142 (4),Sep 8,PIT,@,NYM,L,2-3,GS,30,7.0,1,1,0,2,0,P
146 (3),Sep 15,PIT,,NYM,W,5-4,GS,30,6.2,1,0,0,1,0,P
150 (3),Sep 19 (1),PIT,@,PHI,W,9-6,GS,23,5.0,0,2,0,2,0,P
156 (5),Sep 24 (1),PIT,,MON,W,5-2,GS,24,6.0,0,1,0,1,0,P
162 (5),Sep 29,PIT,,CHC,L,6-7,GS,24,5.2,0,3,0,3,0,P
