1,131 (130),Sep 3,CHW,,CLE,L,3-14,8-9,1,1,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,.000,.000,.000,.000,9,.00,0.000,-0.45,PH
2,132,Sep 4 (1),CHW,@,DET,L,0-8,0-GF,1,1,0,0,0,0,0,0,0,,1,0,0,,,,0,0,.000,.000,.000,.000,9,,,,PH
3,136 (3),Sep 8,CHW,@,WSH,L,2-11,0-GF,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.000,.000,.000,.000,9,,,,PH
4,143 (6),Sep 18 (2),CHW,@,NYY,W,4-3,GS-7,4,3,1,2,1,0,0,0,1,0,1,0,0,,0,,0,0,.333,.429,.500,.929,1,.65,0.038,0.19,RF
5,144,Sep 19 (1),CHW,@,NYY,L,1-10,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.286,.375,.429,.804,2,.01,0.000,-0.25,LF
6,145,Sep 19 (2),CHW,@,NYY,L,3-10,CG,5,4,0,0,0,0,0,0,1,0,1,0,0,,0,,0,0,.182,.308,.273,.580,1,.40,-0.043,-0.59,RF
7,146,Sep 20,CHW,@,NYY,L,3-5,8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.167,.286,.250,.536,9,.91,-0.024,-0.25,PH
8,147,Sep 23,CHW,@,CLE,W,6-5,6-6,1,1,1,1,0,0,0,0,0,0,0,0,0,,0,,0,0,.231,.333,.308,.641,9,.90,0.036,0.28,PH
9,149 (1),Sep 24 (2),CHW,@,CLE,L,6-12,CG,5,4,1,2,0,0,1,2,1,0,0,0,0,,0,,0,0,.294,.400,.529,.929,1,.41,0.029,1.75,RF
10,150,Sep 30,CHW,,SLB,W,4-1,5-GF,2,2,0,1,0,0,0,1,0,0,1,0,0,,0,,0,0,.316,.409,.526,.935,1,2.08,0.114,0.31,LF
11,151,Oct 1,CHW,,SLB,W,5-1,CG,4,3,0,2,0,0,0,0,1,,1,0,0,,,,0,0,.364,.462,.545,1.007,1,,,,LF
