39 (38),May 17,SFG,,PHI,L,1-8,,13,3.2,0,2,0,2,0,P
42 (2),May 21,SFG,,MON,L,0-6,GF,4,1.0,0,0,0,0,0,P
45 (2),May 25,SFG,@,NYM,L,3-6,GF,3,1.0,0,0,0,0,0,P
48 (2),May 28,SFG,@,PHI,L,3-4,GF,9,1.2,0,1,0,1,0,P
53 (4),Jun 3,SFG,,HOU,L,4-8,,5,1.0,0,0,0,0,0,P
59 (5),Jun 10,SFG,,CIN,W,9-6,,4,0.2,0,0,0,0,0,P
60,Jun 11,SFG,,CIN,L,2-7,,1,0.1,0,0,0,0,0,P
61,Jun 12,SFG,,CIN,L,6-10,,16,3.1,1,0,0,1,0,P
63 (1),Jun 14,SFG,@,SDP,L,5-8,,2,0.2,0,1,0,1,0,P
69 (5),Jun 21,SFG,,SDP,L,3-8,,7,1.1,0,0,0,0,0,P
70,Jun 22,SFG,,SDP,W,8-7,,14,4.0,0,0,0,0,0,P
73 (2),Jun 26,SFG,@,HOU,L,0-6,,9,1.2,0,1,0,1,0,P
74,Jun 27,SFG,@,ATL,W,10-9,,3,0.1,0,1,0,1,0,P
86 (11),Jul 14,SFG,@,PIT,L,2-9,,4,0.2,0,1,0,1,0,P
88 (1),Jul 16,SFG,@,PIT,L,1-10,,19,4.2,0,0,0,0,0,P
90 (1),Jul 18,SFG,@,CHC,L,3-8,GF,2,0.2,0,0,0,0,0,P
95 (4),Jul 23,SFG,@,STL,W,6-5,,5,1.0,1,0,0,1,0,P
98 (2),Jul 26 (1),SFG,,LAD,L,3-7,,2,0.2,0,0,0,0,0,P
103 (4),Jul 31 (1),SFG,,ATL,W,4-2,,7,2.0,0,0,0,0,0,P
106 (2),Aug 2,SFG,,HOU,L,10-13,,9,1.2,0,0,0,0,0,P
