209,1,Apr 14,WSH,,NYY,W,1-0,CG,3,3,0,1,0,0,0,0,0,,1,0,0,,,,0,0,.333,.333,.333,.667,8,,,,C
210,2,Apr 15,WSH,,NYY,W,6-5,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,,0,,0,0,.286,.286,.286,.571,8,1.63,-0.081,-1.17,C
211,3,Apr 16,WSH,,NYY,L,5-6,CG,5,5,1,1,0,0,0,1,0,,0,0,0,,,,0,0,.250,.250,.250,.500,8,,,,C
212,4,Apr 17,WSH,@,PHA,W,3-2,CG,4,3,0,2,1,0,0,1,1,0,0,0,0,,0,,0,0,.333,.375,.400,.775,8,1.27,0.177,2.06,C
213,5,Apr 18,WSH,@,PHA,W,5-4,CG,4,3,0,1,1,0,0,0,1,0,0,0,0,,0,,0,0,.333,.400,.444,.844,8,.45,0.021,-0.33,C
214,6,Apr 19,WSH,@,NYY,L,1-9,CG,4,4,0,1,0,0,0,0,0,,0,0,0,,,,0,0,.318,.375,.409,.784,8,,,,C
215,7,Apr 20 (1),WSH,@,BOS,L,5-6,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.318,.375,.409,.784,8,,,,C
216,8,Apr 20 (2),WSH,@,BOS,W,6-2,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,.308,.357,.385,.742,8,.37,-0.020,-0.43,C
217,9,Apr 21,WSH,@,BOS,L,1-8,CG(7),2,2,0,0,0,0,0,1,0,0,0,0,0,,0,,0,0,.286,.333,.357,.690,8,1.46,-0.035,-0.46,C
218,10,Apr 22,WSH,@,BOS,L,3-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.250,.294,.313,.607,8,1.21,-0.144,-1.56,C
219,14 (3),Apr 26,WSH,,PHA,W,11-3,CG,4,4,1,1,0,0,1,3,0,,0,0,0,,,,0,0,.250,.289,.389,.678,8,,,,C
220,15,Apr 28,WSH,,DET,L,1-8,GS-0,3,3,1,2,1,0,0,0,0,,0,0,0,,,,0,0,.282,.317,.436,.753,8,,,,C
221,16,Apr 29,WSH,,DET,W,7-3,CG,4,4,1,2,0,0,0,0,0,,0,0,0,,,,0,0,.302,.333,.442,.775,8,,,,C
222,17,Apr 30,WSH,,DET,W,8-7,CG,4,1,2,1,0,0,0,1,2,,0,1,0,,,,0,0,.318,.388,.455,.842,8,,,,C
