15 (14),May 1,WSH,@,BOS,L,4-10,GF,0, ,1,1,0,2,0,
36 (20),May 27 (1),WSH,@,BOS,W,11-3,CG,36,9.0,1,0,0,1,0,C
40 (3),May 30 (2),WSH,,NYY,L,8-9,GS,0, ,3,0,1,4,0,
88 (47),Jul 17,WSH,,CHW,W,12-7,GF,23,4.0,0,0,0,0,0,C
105 (16),Aug 6,WSH,,BOS,W,15-1,GF,0, ,0,0,0,0,0,
116 (10),Aug 19 (1),WSH,@,CLE,L,5-10,GF,7,1.0,0,0,0,0,0,PH C
117,Aug 19 (2),WSH,@,CLE,L,8-10,GF,8,2.0,2,0,0,2,0,PH C
120 (2),Aug 22,WSH,@,CLE,L,2-5,GF,5,1.0,0,0,1,1,0,PH C
133 (12),Sep 5 (2),WSH,,NYY,L,3-7,GF,0, ,1,0,0,1,0,
136 (2),Sep 7 (2),WSH,@,BOS,W,15-1,GF,0, ,0,0,0,0,0,
146 (9),Sep 18,WSH,,DET,W,4-3,GF,0, ,0,0,0,0,0,
148 (1),Sep 20 (1),WSH,,CHW,W,4-3,GS,0, ,2,0,0,2,0,
151 (2),Sep 22,WSH,,CHW,W,7-2,GF,16,4.0,2,0,0,2,0,PH C
156 (4),Sep 27,WSH,,BOS,L,2-4,CG,0,9.0,3,1,0,4,0,
