1619,3 (2),Apr 2,TOR,,NYY,L,7-9,GS-7,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.500,.500,.500,1.000,9,.34,0.018,0.33,SS
1620,4,Apr 4,TOR,@,MIN,W,7-2,CG,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.200,.333,.200,.533,9,.44,-0.027,-0.42,2B
1621,5,Apr 5,TOR,@,MIN,W,4-3,10-GF(11),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.200,.333,.200,.533,2,,,,3B
1622,8 (2),Apr 9,TOR,,BOS,W,10-5,CG,4,3,1,2,2,0,0,3,1,0,1,0,0,0,0,0,0,0,.375,.500,.625,1.125,9,1.05,0.152,2.83,3B
1623,10 (1),Apr 11,TOR,,MIN,L,4-6,CG,4,3,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.364,.500,.545,1.045,9,1.51,-0.012,0.21,2B
1624,11,Apr 12,TOR,,MIN,L,6-9,8-GF,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.333,.467,.500,.967,6,3.05,-0.066,-0.11,3B
1625,14 (2),Apr 15,TOR,@,NYY,L,0-5,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.267,.389,.400,.789,9,.94,-0.092,-1.90,SS
1626,15,Apr 16,TOR,@,NYY,W,7-6,CG,5,5,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.300,.391,.400,.791,9,1.16,0.046,0.44,SS
1627,16,Apr 17,TOR,@,NYY,L,0-4,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.261,.346,.348,.694,9,.75,-0.060,-0.66,SS
1628,17,Apr 18,TOR,@,BOS,L,3-7,GS-9,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.231,.310,.308,.618,9,.57,-0.045,-0.51,SS
1629,19 (1),Apr 20,TOR,@,BOS,L,5-6,CG,4,3,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,.241,.333,.345,.678,9,1.17,0.067,1.49,2B
1630,24 (4),Apr 25,TOR,,KCR,W,6-5,CG,4,4,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,.242,.324,.364,.688,9,1.15,0.122,0.74,SS
1631,26 (1),Apr 27,TOR,,KCR,W,10-9,9-GF,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.265,.342,.382,.724,9,6.83,0.436,1.00,SS
1632,28 (1),Apr 30,TOR,,TEX,L,3-11,CG,4,4,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.263,.333,.395,.728,9,.34,-0.032,0.60,SS
1633,31 (2),May 3,TOR,,ANA,W,7-1,CG,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.348,.405,.753,9,.70,0.008,-0.09,SS
1634,35 (3),May 8,TOR,@,TEX,W,8-6,CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.283,.340,.391,.731,9,.48,-0.008,-0.55,SS
1635,37 (1),May 10,TOR,@,ANA,W,7-4,CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,.280,.333,.380,.713,8,.62,0.012,0.81,3B
1636,38,May 11,TOR,@,ANA,W,4-2,CG,4,4,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,.296,.345,.426,.771,2,.60,0.065,0.71,SS
1637,42 (3),May 16,TOR,@,KCR,W,18-1,CG,7,6,1,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,.283,.338,.400,.738,2,.39,0.035,-1.06,3B
1638,43,May 17,TOR,@,KCR,W,7-4,GS-8,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.286,.338,.397,.735,8,.90,-0.030,-0.16,3B
1639,45 (1),May 19,TOR,@,CHW,W,12-2,CG,5,4,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,.284,.342,.403,.745,9,.54,-0.027,0.08,SS
1640,46,May 20,TOR,@,CHW,L,1-4,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.282,.338,.394,.732,9,1.61,-0.071,-1.00,SS
1641,49 (2),May 23,TOR,@,NYY,W,6-2,CG,4,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,.280,.333,.387,.720,9,1.17,0.101,0.31,SS
1642,52 (2),May 26,TOR,,CHW,W,11-5,CG,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.278,.329,.380,.709,8,1.01,-0.071,-1.24,3B
1643,55 (2),May 29,TOR,,CHW,L,2-3,GS-9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.268,.318,.366,.684,7,1.45,-0.110,-0.77,SS
1644,56,May 30,TOR,,BOS,W,13-2,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.256,.304,.349,.653,9,.33,-0.045,-1.24,3B
1645,57,May 31,TOR,,BOS,W,10-7,CG,4,3,2,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,.258,.313,.382,.695,7,1.36,0.167,1.15,3B
1646,58,Jun 1,TOR,,BOS,W,11-8,CG,5,4,2,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,.269,.327,.419,.746,8,.60,0.152,0.90,3B
1647,59,Jun 3,TOR,@,STL,L,5-11,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.266,.324,.415,.738,7,.17,-0.004,-0.23,PH 3B
1648,60,Jun 4,TOR,@,STL,L,5-8,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.265,.321,.408,.729,7,1.37,-0.106,-0.80,3B
1649,63 (2),Jun 7,TOR,@,CIN,L,8-9,CG,4,4,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,.265,.318,.412,.730,8,1.63,0.280,1.96,SS
1650,64,Jun 8,TOR,@,CIN,W,5-0,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.264,.316,.406,.721,8,.66,-0.046,-0.80,3B
1651,65,Jun 10,TOR,,PIT,W,13-8,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.262,.313,.402,.715,9,.04,-0.001,-0.26,3B
1652,67 (1),Jun 12,TOR,,PIT,W,5-4,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.255,.305,.391,.696,9,.77,-0.044,-0.74,3B
