90,2,Apr 18,NYY,,BOS,W,6-2,CG,W(1-0),99,9.0,5,2,0,2,3,0,1,0.00,35,14,10,0,3,5,74,,,0,0,0,32,1,0,0,1,0,1,.49,0.203,2.08, 1t start tie, 9t 3 out a4
91,6,Apr 22,NYY,@,WSH,W,5-2,CG,W(2-0),3,9.0,3,2,0,1,3,0,0,0.00,34,16,11,0,0,3,79,,,0,0,0,33,1,0,0,0,0,3,.80,0.242,1.57, 1b start a 3, 9b 3 out a3
92,10,Apr 29(1),NYY,,WSH,W,13-4,CG,W(3-0),6,9.0,7,4,2,3,4,0,0,0.67,39,14,11,0,0,7,62,,,2,0,0,36,1,0,0,0,0,2,.76,-0.057,0.08, 1t start tie, 9t 3 out a9
93,15,May 6(2),NYY,@,BOS,W,2-0,SHO,W(4-0),6,9.0,5,0,0,4,7,0,0,0.50,35,10,9,0,3,5,80,,,1,1,1,30,0,0,1,0,0,1,1.40,0.608,4.00, 1b start a 1, 9b 3 out a2
94,17,May 11,NYY,@,DET,W,7-3,CG,W(5-0),4,9.0,9,3,2,3,2,0,0,0.80,37,,,,,,58,,,,,,34,2,0,,,0,,,,,,
95,21,May 18,NYY,@,SLB,L,1-4,GS-6,L(5-1),6,6.0,3,4,4,3,3,1,0,1.41,25,8,8,0,4,3,50,,,1,0,0,21,0,0,0,0,0,1,.79,-0.250,-1.23, 1b start tie, 6b 3 out d3
96,25,May 22,NYY,,PHA,W,3-0,GS-7,W(6-1),3,6.2,4,0,0,2,0,0,0,1.25,23,11,6,0,0,4,64,,,0,1,0,20,0,0,0,2,0,0,.89,0.307,2.96, 1t start tie, 7t 1-- 2 out a3
97,30,May 27(1),NYY,,SLB,W,10-9,GS-,,4,6.1,9,8,5,3,3,2,0,1.83,32,,,,,,29,,,,,,27,,,,,0,,,,,,
98,38,Jun 3(1),NYY,,CLE,W,8-2,CG,W(7-1),6,9.0,6,2,1,5,2,0,0,1.73,38,13,12,0,4,6,66,,,1,0,0,33,0,0,0,0,0,1,.79,0.188,2.08, 1t start tie, 9t 3 out a6
99,45,Jun 10,NYY,,BOS,W,3-2,GS-9,W(8-1),6,8.0,7,2,1,2,3,0,0,1.67,31,8,11,1,0,7,63,,,1,0,0,29,0,0,0,3,0,1,1.15,0.149,1.25, 1t start tie, 9t 1-- 0 out a1
100,47,Jun 15,NYY,@,PHA,L,3-4,GS-7,L(8-2),4,6.2,9,4,4,4,0,0,0,1.95,31,11,7,0,0,9,36,,,0,1,0,27,1,0,0,1,0,0,1.51,-0.306,-1.41, 1b start tie, 7b 12- 2 out d1
101,51,Jun 19,NYY,@,BOS,L,0-1,GS-,L(8-3),3,7.0,6,1,1,4,1,0,0,1.90,29,,,,,,58,,,,,,25,,,,,0,,,,,,
102,55,Jun 24(1),NYY,,PHA,W,13-5,CG,W(9-3),4,9.0,11,5,2,1,1,1,0,1.91,37,,,,,,51,,,,,,36,1,0,,,0,,,,,,
103,61,Jul 1(1),NYY,@,CHW,L,4-11,GS-5,L(9-4),6,4.1,5,7,7,5,1,0,0,2.42,22,7,4,0,1,5,21,,,2,0,0,16,0,1,1,1,0,0,1.50,-0.428,-3.72, 1b start tie, 5b 12- 1 out d3
104,66,Jul 4(1),NYY,@,CLE,L,2-4,GS-6,L(9-5),2,6.0,4,4,4,5,1,0,0,2.61,25,11,4,0,1,4,44,,,0,1,0,18,3,0,0,1,0,0,.76,-0.203,-1.52, 1b start tie, 6b 3 out d4
105,71,Jul 8(1),NYY,@,DET,W,8-6,GS-,W(10-5),3,6.1,8,4,4,1,0,1,0,2.77,29,,,,,,40,,,,,,28,,,,,0,,,,,,
106,76,Jul 15,NYY,,DET,W,5-4,GS-4,,6,4.0,3,4,4,4,1,1,0,2.97,19,6,5,0,2,3,37,,,0,0,0,15,1,0,0,0,0,0,1.17,-0.309,-2.19, 1t start tie, 4t 3 out d2
107,81,Jul 22,NYY,,CHW,L,5-6,GS-,,6,8.0,3,5,5,6,0,0,0,3.13,32,,,,,,50,,,,,,25,,,,,0,,,,,,
108,92,Jul 29(2),CHC,,CIN,W,3-2,CG,W(11-5),6,9.0,7,2,2,2,4,0,0,3.06,34,14,7,1,0,7,67,,,0,0,0,32,3,0,0,1,0,0,1.71,0.515,2.41, 1t start tie, 9t 3 out a1
109,96,Aug 3(2),CHC,@,CIN,W,9-1,CG,W(12-5),4,9.0,5,1,1,2,4,0,0,2.93,33,8,14,5,0,5,75,,,1,0,0,31,0,0,0,0,0,0,.85,0.316,3.41, 1b start tie, 9b 3 out a8
110,103,Aug 10,CHC,@,BSN,L,1-2,CG,L(12-6),6,8.0,11,2,2,4,2,1,0,2.90,37,,,,,,50,,,,,,32,0,0,,,0,,,,,,
111,105,Aug 12(1),CHC,@,PHI,W,4-3,9-GF,S(1),1,0.2,0,0,0,0,0,0,0,2.89,2,1,1,1,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,4.02,0.203,0.51, 9b 1-- 1 out a1, 9b end a 1
112,109,Aug 15,CHC,@,BRO,W,20-6,CG,W(13-6),2,9.0,9,6,6,5,3,0,0,3.05,40,9,14,0,0,9,43,,,1,0,0,35,2,1,0,0,0,0,.51,-0.109,-1.54, 1b start a 5, 9b 3 out a14
113,114,Aug 19(2),CHC,@,NYG,W,8-0,SHO,W(14-6),3,9.0,8,0,0,3,3,0,0,2.90,38,8,16,0,5,8,71,,,0,0,0,35,1,0,0,0,0,0,.71,0.294,4.55, 1b start tie, 9b 3 out a8
114,117,Aug 24,CHC,,STL,L,0-1,CG,L(14-7),4,9.0,3,1,0,5,3,0,0,2.76,36,9,16,2,7,3,77,,,1,0,0,31,1,0,1,1,0,1,1.04,0.308,3.41, 1t start tie, 9t 3 out d1
115,120,Aug 28,CHC,@,PIT,W,6-3,CG,W(15-7),3,9.0,10,3,3,2,3,0,0,2.77,37,,,,,,56,,,,,,35,1,1,,,0,,,,,,
116,125,Sep 2(1),CHC,@,STL,W,4-1,CG(10),W(16-7),4,10.0,5,1,1,6,6,0,0,2.68,40,13,11,0,0,4,78,,,0,0,0,33,0,0,1,0,0,0,1.91,0.361,4.16, 1b start tie,10b 3 out a3
117,131,Sep 6,CHC,,NYG,W,6-1,CG,W(17-7),3,9.0,7,1,1,2,5,0,0,2.61,35,13,9,3,2,6,72,,,0,0,0,33,2,0,1,0,0,0,.96,0.316,3.41, 1t start tie, 9t 3 out a5
118,137,Sep 11,CHC,,BSN,W,5-4,CG,W(18-7),4,9.0,10,4,4,0,5,1,0,2.66,36,,,,,,56,,,,,,36,0,0,,,0,,,,,,
119,141,Sep 15,CHC,,BRO,W,7-6,GS-6,,3,6.0,2,3,1,6,2,0,0,2.63,27,9,8,0,0,2,56,,,0,0,0,20,0,0,1,0,0,1,.96,-0.056,-0.06, 1t start tie, 6t 3 out d2
120,146,Sep 19,CHC,@,STL,W,4-1,CG,W(19-7),3,10.0,7,1,1,2,3,0,0,2.56,38,,,,,,75,,,,,,35,0,0,,,0,,,,,,
121,149,Sep 25,CHC,,STL,W,6-5,GS-8,W(20-7),5,7.1,13,5,4,1,3,0,0,2.63,36,13,7,0,2,12,36,,,0,0,0,34,0,1,0,0,0,1,1.08,-0.161,-1.60, 1t start tie, 8t 1-- 1 out a1
122,153,Sep 29(1),CHC,@,PIT,W,4-3,GS-9,W(21-7),3,8.1,8,3,3,7,1,0,0,2.65,38,15,7,1,0,8,49,,,0,1,0,30,2,0,1,1,0,0,1.77,-0.035,0.75, 1b start a 1, 9b 12- 1 out a1
