1,Apr 5,WSA,,OAK,W,8-0,CG,34,9.0,1,0,0,1,0,P
5 (3),Apr 11 (1),WSA,,NYY,L,0-1,GS,26,8.0,4,2,0,6,0,P
10 (4),Apr 17,WSA,@,CLE,W,5-3,GS,24,6.0,1,1,0,2,1,P
14 (3),Apr 21,WSA,@,NYY,W,9-6,GS,23,5.0,0,2,0,2,0,P
17 (2),Apr 25,WSA,,MIL,W,3-2,GS,26,7.0,0,1,0,1,0,P
21 (3),Apr 29,WSA,,CHW,L,4-5,GS,24,6.0,0,0,0,0,0,P
25 (3),May 4,WSA,@,MIL,L,0-2,GS,29,7.0,0,2,0,2,0,P
28 (2),May 8,WSA,@,MIN,L,2-9,GS,22,4.1,0,0,0,0,0,P
30 (1),May 12 (1),WSA,@,CHW,L,0-5,GS,25,4.1,0,0,0,0,0,P
35 (4),May 17,WSA,,CLE,L,3-6,GS,22,5.0,0,0,0,0,0,P
39 (3),May 22,WSA,@,DET,L,1-3,GS,23,6.0,0,2,0,2,0,P
45 (5),May 27,WSA,@,BOS,L,2-6,GS,27,5.0,0,1,0,1,0,P
48 (2),Jun 1,WSA,,CAL,W,6-5,GS,28,7.0,0,0,0,0,0,P
51 (2),Jun 5,WSA,,OAK,L,1-6,GS,28,7.0,1,0,0,1,0,P
56 (4),Jun 12,WSA,@,CAL,W,3-2,GS,28,7.1,0,0,0,0,0,P
60 (3),Jun 18,WSA,,BOS,W,8-5,GS,30,7.1,0,0,0,0,0,P
66 (5),Jun 23,WSA,,BAL,L,5-7,GS,36,8.0,0,1,0,1,0,P
76 (9),Jul 2,WSA,@,CLE,W,6-3,GS,27,6.0,1,1,0,2,0,P
82 (5),Jul 7,WSA,@,BAL,L,0-4,GS,28,6.0,0,0,0,0,0,P
87 (4),Jul 15,WSA,,CHW,W,8-3,GS,26,6.0,0,1,0,1,0,P
92 (4),Jul 20,WSA,,MIL,W,5-1,CG,38,9.0,1,1,0,2,0,P
97 (4),Jul 25 (1),WSA,@,CHW,L,1-5,GS,23,4.1,0,1,0,1,0,P
101 (3),Jul 30,WSA,@,MIL,W,3-2,GS,29,7.0,0,0,0,0,0,P
107 (5),Aug 4,WSA,@,DET,L,1-2,CG,28,8.0,2,1,0,3,0,P
112 (4),Aug 10 (1),WSA,,KCR,L,2-9,GS,27,6.0,1,0,0,1,0,P
119 (6),Aug 15,WSA,,CAL,L,3-4,GS,36,9.0,0,2,0,2,0,P
123 (3),Aug 20 (2),WSA,@,KCR,W,8-2,CG,35,9.0,1,0,1,2,0,P
128 (4),Aug 26,WSA,@,CAL,W,8-3,GS,22,6.0,0,1,0,1,0,P
133 (4),Aug 31,WSA,@,NYY,W,6-5,GS,32,7.0,3,1,0,4,0,P
138 (4),Sep 5,WSA,,BAL,W,5-3,CG,36,9.0,1,1,0,2,0,P
143 (4),Sep 10,WSA,@,BAL,L,1-7,GS,28,7.0,0,1,0,1,0,P
147 (3),Sep 16,WSA,@,DET,L,1-3,CG,39,8.0,2,0,0,2,0,P
152 (4),Sep 21,WSA,,CLE,W,9-1,CG,33,9.0,2,2,0,4,0,P
156 (3),Sep 26,WSA,@,BOS,L,1-8,GS,26,6.0,0,1,0,1,0,P
159 (2),Sep 30,WSA,,NYY,L,7-5,GS,25,5.0,1,1,0,2,0,P
