1,Apr 16,SLM,,IND,L,3-7,CG,0,9.0,1,1,1,3,0,
2,Apr 17,SLM,,IND,W,5-4,CG,0,11.0,1,3,0,4,0,
3,Apr 18,SLM,,IND,W,4-2,CG,0,9.0,2,2,0,4,1,
4,Apr 19,SLM,,IND,W,9-2,CG,0,9.0,2,4,0,6,1,
5,Apr 20,SLM,,CHI,W,3-1,CG,0,9.0,2,0,1,3,0,
6,Apr 21,SLM,,CHI,W,4-3,CG,0,9.0,3,3,1,7,0,
7,Apr 22,SLM,,CHI,W,5-4,CG,0,9.0,4,4,0,8,0,
8,Apr 23,SLM,@,IND,W,3-0,CG,0,9.0,2,4,0,6,0,
9,Apr 25,SLM,@,IND,W,4-3,CG,0,9.0,1,1,0,2,0,
10,Apr 26,SLM,@,IND,L,3-5,CG,0,8.0,0,2,0,2,0,
11,Apr 29,SLM,,BUF,W,6-5,CG,0,12.0,3,2,2,7,0,
12,Apr 30,SLM,,BUF,W,3-2,CG,0,9.0,1,2,0,3,0,
13,May 1,SLM,,BTT,L,1-2,CG,0,11.0,0,8,1,9,0,
14,May 2 (1),SLM,,BTT,L,3-4,CG,0,9.0,0,2,1,3,1,
15,May 2 (2),SLM,,BTT,W,7-5,CG,0,9.0,2,1,0,3,0,
16,May 4,SLM,,BAL,L,0-3,CG,0,9.0,1,1,0,2,0,
17,May 5,SLM,,BAL,L,6-8,CG,0,9.0,0,1,0,1,0,
18,May 6,SLM,,BAL,L,7-8,CG,0,9.0,3,4,0,7,0,
19,May 7,SLM,,PBS,L,7-15,CG,0,9.0,3,3,1,7,0,
20,May 8,SLM,,PBS,W,7-6,CG,0,9.0,1,5,0,6,0,
21,May 9,SLM,,PBS,L,2-5,CG,0,9.0,1,1,0,2,0,
22,May 10,SLM,@,CHI,W,5-4,CG,0,9.0,2,1,0,3,0,
23,May 14,SLM,@,BTT,L,1-4,CG,0,8.0,2,3,1,6,0,
24,May 15,SLM,@,BTT,L,6-12,CG,0,8.0,3,0,0,3,0,
25,May 16,SLM,@,BTT,W,5-3,CG,0,9.0,1,2,0,3,0,
26,May 18,SLM,@,BUF,W,6-3,CG,0,9.0,0,4,2,6,0,
27,May 19,SLM,@,BUF,L,3-11,CG,0,8.0,2,3,0,5,0,
28,May 20,SLM,@,BUF,L,1-2,CG,0,8.0,1,3,0,4,1,
29,May 21,SLM,@,PBS,L,5-10,CG,0,8.0,1,0,1,2,0,
30,May 22,SLM,@,PBS,T,3-3,CG,0,9.0,3,0,0,3,0,
31,May 23,SLM,@,PBS,L,0-3,CG,0,8.0,0,2,0,2,0,
32,May 24,SLM,@,IND,W,9-3,CG,0,9.0,0,3,0,3,0,
33,May 25,SLM,@,BAL,L,5-6,CG,0,8.0,4,0,0,4,0,
34,May 26,SLM,@,BAL,L,2-3,GS,0, ,1,0,0,1,0,
36 (1),May 29,SLM,,KCP,W,5-0,CG,0,9.0,0,1,0,1,0,
37,May 30 (1),SLM,,KCP,L,2-4,CG,0,9.0,0,0,1,1,0,
38,May 30 (2),SLM,,KCP,W,4-3,CG,0,9.0,0,1,0,1,0,
39,May 31,SLM,,KCP,L,3-5,CG,0,10.0,1,1,0,2,0,
40,Jun 1,SLM,,IND,L,4-5,CG,0,9.0,2,2,0,4,1,
41,Jun 2,SLM,,IND,W,3-2,CG,0,9.0,1,0,0,1,0,
42,Jun 3,SLM,,IND,L,6-9,CG,0,9.0,1,0,0,1,0,
43,Jun 4,SLM,,IND,L,6-7,CG,0,9.0,0,1,0,1,0,
44,Jun 5,SLM,@,KCP,W,2-1,CG,0,10.0,0,4,0,4,0,
45,Jun 6,SLM,@,KCP,L,4-7,CG,0,8.0,2,0,0,2,0,
46,Jun 7,SLM,@,KCP,W,15-6,CG,0,9.0,3,5,0,8,0,
47,Jun 8,SLM,,PBS,L,2-3,CG,0,9.0,1,3,1,5,0,
48,Jun 9,SLM,,PBS,W,6-5,CG,0,9.0,3,5,1,9,0,
49,Jun 10,SLM,,PBS,W,13-8,CG,0,9.0,1,0,0,1,0,
50,Jun 11,SLM,,PBS,L,2-7,CG,0,9.0,1,4,0,5,0,
51,Jun 12,SLM,,BUF,L,0-1,CG,0,9.0,2,1,1,4,0,
52,Jun 13 (1),SLM,,BUF,W,7-4,CG,0,9.0,0,2,0,2,0,
53,Jun 13 (2),SLM,,BUF,L,0-10,CG,0,9.0,1,3,1,5,0,
54,Jun 14,SLM,,BUF,L,2-9,CG,0,9.0,0,3,0,3,0,
55,Jun 15,SLM,,BUF,L,2-4,CG,0,11.0,0,0,0,0,0,
56,Jun 16,SLM,,BTT,W,13-12,CG,0,12.0,0,0,0,0,0,
57,Jun 17,SLM,,BTT,L,1-3,CG,0,9.0,1,1,1,3,0,
58,Jun 18,SLM,,BTT,L,4-6,CG,0,9.0,3,0,0,3,0,
59,Jun 19,SLM,,BTT,L,6-8,CG,0,9.0,0,0,0,0,0,
60,Jun 20,SLM,,BAL,L,2-3,CG,0,9.0,0,1,0,1,0,
61,Jun 21,SLM,,BAL,L,4-8,GS,0, ,1,1,0,2,0,
63 (1),Jun 23,SLM,,BAL,L,5-8,CG,0,9.0,1,3,1,5,0,
64,Jun 24,SLM,,CHI,L,1-5,CG,0,9.0,0,2,0,2,0,
65,Jun 25,SLM,,CHI,L,8-13,GS,0,1.0,0,1,2,3,0,
68 (2),Jul 1,SLM,@,KCP,W,7-4,CG,0,9.0,1,0,0,1,0,
69,Jul 2,SLM,@,KCP,L,1-9,CG,0,8.0,1,2,0,3,0,
70,Jul 4 (1),SLM,@,KCP,W,4-0,CG,0,9.0,2,0,0,2,1,
71,Jul 4 (2),SLM,@,KCP,W,1-0,CG,0,8.0,0,3,0,3,0,
72,Jul 5,SLM,@,IND,W,6-3,CG,0,9.0,1,1,0,2,0,
73,Jul 7,SLM,@,IND,L,4-7,CG,0,8.0,1,0,0,1,0,
74,Jul 8,SLM,@,IND,W,6-3,CG,0,9.0,2,0,0,2,1,
75,Jul 9,SLM,,KCP,L,0-4,CG,0,9.0,2,2,0,4,0,
76,Jul 11,SLM,,KCP,W,6-3,CG,0,9.0,0,3,0,3,0,
77,Jul 12,SLM,,KCP,W,4-1,CG,0,9.0,1,1,0,2,0,
78,Jul 13 (1),SLM,@,CHI,L,0-6,CG,0,8.0,2,0,0,2,0,
79,Jul 13 (2),SLM,@,CHI,W,5-1,CG,0,9.0,3,2,0,5,0,
80,Jul 14,SLM,@,CHI,L,0-11,CG,0,8.0,0,1,0,1,0,
81,Jul 15,SLM,@,CHI,W,2-0,CG,0,9.0,2,0,0,2,0,
82,Jul 17,SLM,,IND,L,2-8,CG,0,9.0,1,2,0,3,0,
83,Jul 18,SLM,,IND,L,4-5,CG,0,9.0,3,2,1,6,0,
84,Jul 19,SLM,,IND,L,0-3,CG,0,9.0,1,0,0,1,0,
85,Jul 20 (1),SLM,@,CHI,W,5-2,CG,0,9.0,1,1,0,2,0,
86,Jul 20 (2),SLM,@,CHI,L,2-4,CG,0,8.0,2,1,0,3,0,
87,Jul 22,SLM,@,BAL,L,0-5,CG,0,8.0,0,3,1,4,0,
88,Jul 23,SLM,@,BAL,L,4-5,CG,0,8.0,1,1,0,2,0,
89,Jul 24,SLM,@,BAL,L,0-4,CG,0,8.0,2,3,0,5,1,
90,Jul 25,SLM,@,BAL,W,8-1,CG,0,9.0,4,1,0,5,0,
91,Jul 27,SLM,@,BTT,W,5-2,CG,0,9.0,1,0,1,2,0,
92,Jul 29,SLM,@,BTT,L,3-4,CG,0,17.2,2,6,0,8,0,
93,Jul 30 (1),SLM,@,BTT,W,9-2,CG,0,9.0,1,0,0,1,0,
94,Jul 30 (2),SLM,@,BTT,L,2-4,CG,0,8.0,1,2,0,3,0,
95,Jul 31,SLM,@,BUF,L,2-5,CG,0,8.0,1,1,1,3,0,
96,Aug 1,SLM,@,BUF,W,5-3,CG,0,9.0,0,3,0,3,0,
97,Aug 3,SLM,@,BUF,L,0-4,GS,0,7.0,0,5,0,5,0,
101 (3),Aug 7,SLM,@,PBS,W,2-1,GF,0,2.0,0,1,0,1,0,
102,Aug 8,SLM,,PBS,W,6-2,GF,0, ,0,2,0,2,0,
103,Aug 9,SLM,,PBS,L,2-8,GS,0, ,0,1,0,1,0,
104,Aug 10,SLM,,PBS,W,7-6,CG,0,9.0,1,0,1,2,0,
105,Aug 11,SLM,,PBS,W,4-2,CG,0,9.0,1,1,0,2,0,
106,Aug 12,SLM,,BTT,W,8-5,CG,0,9.0,1,2,0,3,0,
107,Aug 13,SLM,,BTT,L,0-1,CG,0,6.0,0,0,1,1,0,
108,Aug 14,SLM,,BTT,L,3-5,CG,0,9.0,0,1,0,1,0,
109,Aug 15,SLM,,BTT,W,11-6,CG,0,9.0,2,5,0,7,0,
110,Aug 16,SLM,,BUF,W,3-2,CG,0,10.0,1,1,1,3,0,
111,Aug 18,SLM,,BUF,L,1-8,CG,0,9.0,3,3,0,6,0,
112,Aug 20 (1),SLM,,BUF,W,1-0,CG,0,9.0,4,0,0,4,1,
113,Aug 20 (2),SLM,,BUF,L,3-5,CG,0,9.0,3,4,0,7,0,
114,Aug 21,SLM,,BAL,L,4-7,CG,0,9.0,0,4,0,4,0,
115,Aug 22,SLM,,BAL,W,6-2,CG,0,9.0,0,1,0,1,0,
116,Aug 23,SLM,,BAL,W,4-3,CG,0,9.0,1,3,1,5,0,
117,Aug 26,SLM,,CHI,L,1-2,CG,0,10.0,2,1,0,3,0,
118,Aug 27,SLM,,CHI,T,3-3,CG,0,10.0,2,2,1,5,0,
119,Aug 29,SLM,,CHI,W,1-0,CG,0,9.0,0,1,0,1,0,
120,Aug 30,SLM,,CHI,L,1-3,CG,0,13.0,3,1,0,4,2,
121,Aug 31 (1),SLM,@,CHI,L,3-4,CG,0,8.0,1,2,0,3,0,
122,Aug 31 (2),SLM,@,CHI,L,0-1,CG,0,8.0,4,2,0,6,1,
123,Sep 2,SLM,,KCP,W,4-3,CG,0,9.0,0,3,1,4,0,
124,Sep 3,SLM,,KCP,L,9-12,CG,0,12.0,2,3,1,6,0,
125,Sep 4 (1),SLM,,KCP,L,0-1,CG,0,9.0,2,1,0,3,0,
126,Sep 4 (2),SLM,,KCP,W,2-1,CG,0,9.0,1,0,0,1,0,
127,Sep 5,SLM,@,KCP,W,3-1,CG,0,10.0,1,2,0,3,1,
128,Sep 6,SLM,@,KCP,L,0-2,CG,0,8.0,0,4,2,6,0,
129,Sep 9,SLM,@,BTT,L,1-2,CG,0,8.0,0,1,1,2,0,
130,Sep 10,SLM,@,BTT,W,1-0,CG,0,9.0,1,1,0,2,0,
131,Sep 11,SLM,@,BTT,W,6-5,CG,0,9.0,0,4,0,4,0,
132,Sep 12,SLM,@,BTT,L,3-5,GF,0, ,2,0,0,2,0,
133,Sep 14,SLM,@,BUF,L,3-12,CG,0,8.0,5,1,0,6,0,
134,Sep 15,SLM,@,BUF,L,0-1,CG,0,8.0,4,1,0,5,0,
135,Sep 16,SLM,@,BUF,L,3-7,CG,0,8.0,2,4,0,6,0,
136,Sep 17,SLM,@,BUF,L,2-7,CG,0,8.0,1,2,1,4,0,
137,Sep 18,SLM,@,BUF,L,1-3,CG,0,8.0,2,1,0,3,1,
138,Sep 19,SLM,@,PBS,L,3-10,CG,0,8.0,1,4,0,5,0,
139,Sep 21,SLM,@,PBS,W,5-2,CG,0,9.0,1,1,0,2,1,
140,Sep 22,SLM,@,PBS,W,10-4,CG,0,9.0,1,1,0,2,1,
141,Sep 23,SLM,@,PBS,L,3-9,CG,0,8.0,0,4,0,4,0,
142,Sep 25,SLM,@,BAL,W,5-2,CG,0,9.0,1,2,1,4,1,
143,Sep 26 (1),SLM,@,BAL,L,4-5,CG,0,8.0,1,2,0,3,0,
144,Sep 26 (2),SLM,@,BAL,T,1-1,CG,0,7.0,2,1,0,3,0,
145,Sep 28 (1),SLM,@,BAL,L,3-5,CG,0,8.0,0,2,1,3,0,
146,Sep 28 (2),SLM,@,BAL,L,3-4,CG,0,7.0,2,2,0,4,0,
147,Sep 29,SLM,@,BAL,L,1-8,CG,0,8.0,2,5,0,7,0,
148,Oct 1,SLM,@,CHI,L,1-2,CG,0,8.0,3,1,0,4,0,
149,Oct 3,SLM,@,CHI,L,1-5,CG,0,8.0,2,1,0,3,0,
