117,1,Apr 12,NYY,@,MIN,L,4-5,GS-6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.41,-0.010,-0.10,P
118,5 (3),Apr 18,NYY,@,KCA,W,10-4,CG,5,4,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,.200,.333,.200,.533,9,.60,-0.022,0.44,P
119,9 (3),Apr 24,NYY,,CAL,L,3-6,GS-6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.167,.286,.167,.452,9,.58,-0.014,-0.14,P
120,13 (3),Apr 30,NYY,,BAL,L,4-10,GS-3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.250,.143,.393,9,2.82,-0.155,-1.49,P
121,17 (3),May 4,NYY,@,CLE,W,5-3,GS-8,3,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,.111,.273,.111,.384,9,.82,0.032,0.70,P
122,21 (3),May 8,NYY,@,WSA,W,7-3,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.077,.200,.077,.277,9,.28,-0.031,-1.50,P
123,25 (3),May 12,NYY,@,BOS,L,0-2,GS-8,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.067,.176,.067,.243,9,.64,-0.031,-0.25,P
124,29 (3),May 16,NYY,@,BAL,L,5-7,GS-5,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.067,.263,.067,.330,9,.67,0.044,0.44,P
125,32 (2),May 19,NYY,,BOS,L,0-3,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.067,.263,.067,.330,4,,,,PR
126,34 (1),May 21,NYY,,WSA,L,4-5,GS-9,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.105,.261,.105,.366,9,.71,-0.051,-0.51,P
127,39 (4),May 25,NYY,,CLE,L,1-5,GS-6,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.095,.240,.095,.335,9,.97,-0.047,-0.35,P
128,45 (5),May 31 (2),NYY,,DET,L,1-5,1-4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.091,.231,.091,.322,9,.56,-0.016,-0.30,P
129,50 (4),Jun 7,NYY,@,KCA,W,4-2,GS-6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.087,.222,.087,.309,9,.72,-0.017,-0.14,P
130,54 (3),Jun 12,NYY,@,CAL,L,3-13,GS-2,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.087,.222,.087,.309,9,,,,P
131,59 (4),Jun 17,NYY,,BAL,L,1-2,GS-10,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.077,.200,.077,.277,9,1.04,-0.076,-0.55,P
