1,Apr 7,HOU,@,SFG,W,8-5,,5,0.2,0,0,0,0,0,P
5 (3),Apr 11,HOU,,ATL,W,8-7,GS,35,8.1,0,0,0,0,0,P
10 (4),Apr 16,HOU,,SFG,L,9-11,GS,28,5.1,0,0,0,0,0,P
14 (3),Apr 20,HOU,@,PIT,L,1-3,GS,23,6.0,1,1,1,3,0,P
18 (3),Apr 25,HOU,@,CHC,L,5-11,GS,20,4.0,1,1,0,2,0,P
26 (7),May 4,HOU,,CHC,W,7-2,CG,37,9.0,0,1,0,1,0,P
28 (1),May 7,HOU,,PIT,L,5-9,,8,1.2,0,1,0,1,0,P
35 (6),May 15,HOU,@,SDP,L,8-10,,3,1.0,0,0,0,0,0,P
36,May 16,HOU,@,SDP,W,9-7,,2,0.0,0,0,0,0,0,P
39 (2),May 19,HOU,,STL,L,3-12,GF,10,2.0,0,0,0,0,0,P
44 (4),May 24,HOU,,CIN,W,10-7,GS,4,0.0,0,0,0,0,0,P
46 (1),May 27,HOU,@,ATL,L,1-8,GF,7,2.0,0,0,0,0,0,P
49 (2),May 31 (1),HOU,@,NYM,L,4-14,,5,0.1,0,1,0,1,0,P
54 (4),Jun 5,HOU,,PHI,W,8-7,,8,2.0,0,1,0,1,0,P
55,Jun 6,HOU,,PHI,L,3-7,,1,0.1,0,0,0,0,0,P
56,Jun 7,HOU,,PHI,L,3-10,,2,0.2,0,0,0,0,0,P
63 (6),Jun 16,HOU,@,PHI,L,1-2,GF,19,3.2,0,0,0,0,0,P
67 (3),Jun 20,HOU,@,ATL,W,9-6,,21,4.1,0,0,0,0,0,P
72 (4),Jun 26,HOU,,CIN,L,2-3,,7,1.1,0,1,0,1,0,P
73,Jun 27,HOU,,CIN,L,2-5,GF,3,1.0,0,0,0,0,0,P
79 (5),Jul 3 (2),HOU,@,CIN,W,10-4,,12,2.2,0,0,0,0,0,P
81 (1),Jul 5,HOU,@,CIN,L,1-3,GF,3,1.0,0,0,0,0,0,P
82,Jul 6,HOU,,LAD,L,8-10,,6,0.2,0,0,0,0,0,P
86 (3),Jul 10,HOU,,SFG,L,5-8,,7,2.0,0,0,0,0,0,P
87,Jul 11,HOU,,SFG,W,5-4,GF,3,1.0,0,0,0,0,0,P
92 (4),Jul 19,HOU,,CHC,L,1-7,,20,5.0,0,0,0,0,0,P
95 (2),Jul 22,HOU,@,STL,W,13-9,,7,0.2,1,0,0,1,0,P
97 (1),Jul 24,HOU,@,PIT,L,0-11,,24,5.0,0,1,2,3,0,P
101 (3),Jul 29,HOU,@,CHC,L,2-9,,8,1.2,0,1,0,1,0,P
