200,1,Apr 10,PHI,,CIN,W,2-1,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,5,.64,-0.048,-0.42,RF
201,2,Apr 14,PHI,@,MLN,L,3-4,CG(10),5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,.000,.000,.000,4,1.51,-0.182,-1.06,RF
202,4 (1),Apr 17,PHI,@,CIN,W,5-1,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,5,,,,RF
203,5,Apr 18,PHI,@,CIN,W,14-9,7-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,5,,,,RF
204,8 (2),Apr 23,PHI,,MLN,W,4-3,CG,4,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.091,.167,.364,.530,5,1.48,0.104,0.45,LF
205,10 (1),Apr 25,PHI,,PIT,L,2-4,8-9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.083,.154,.333,.487,8,1.71,-0.043,-0.24,PH
206,12 (1),Apr 26 (2),PHI,,PIT,W,10-5,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.083,.154,.333,.487,2,,,,RF
207,13,Apr 29,PHI,,LAD,W,5-4,9-GF,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.154,.214,.385,.599,9,5.04,0.421,0.91,PH
208,15 (1),May 1,PHI,,CHC,W,4-2,5-GF,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.250,.400,.650,5,.67,-0.003,-0.12,PH LF
209,16,May 2,PHI,,CHC,L,3-4,9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.188,.235,.375,.610,2,1.81,-0.047,-0.10,PH
210,18 (1),May 3 (2),PHI,,CHC,W,5-4,7-8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.176,.222,.353,.575,8,2.66,-0.061,-0.36,PH
211,19,May 5,PHI,,STL,W,8-7,9-GF,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.263,.389,.652,9,4.68,0.125,0.39,PH
212,20,May 6,PHI,,STL,L,7-8,9-9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.263,.300,.421,.721,8,2.63,0.097,0.26,PH
213,23 (2),May 9,PHI,@,PIT,L,1-9,8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.286,.400,.686,9,.04,-0.001,-0.16,PH
214,27 (3),May 12,PHI,@,LAD,L,1-3,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.208,.240,.333,.573,5,1.07,-0.118,-0.90,LF
215,29 (1),May 14,PHI,@,SFG,L,0-8,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.185,.214,.296,.511,5,.29,-0.022,-0.61,LF
216,30,May 15,PHI,@,STL,L,2-8,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.161,.188,.258,.446,5,.35,-0.036,-0.69,LF
217,31,May 16,PHI,@,STL,L,2-8,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.171,.194,.257,.452,6,.69,-0.090,-0.57,CF
218,33 (1),May 20,PHI,@,CHC,L,5-7,8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.189,.250,.439,8,2.04,-0.057,-0.22,PH
219,40 (6),May 26,PHI,@,CIN,L,1-2,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.162,.184,.243,.427,9,3.94,-0.113,-0.33,PH
220,41,May 27,PHI,@,CIN,L,4-10,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.158,.179,.237,.416,9,.14,-0.004,-0.48,PH
