97,13 (12),Apr 26,LAA,,CLE,L,4-6,3-4,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,PR
98,15 (1),Apr 28,LAA,@,DET,W,7-6,GS-7,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.59,-0.049,-0.66,P
99,16,Apr 29,LAA,@,DET,L,6-13,7-7,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,1,,0.000,0.00,PR
100,18 (1),May 4,LAA,,BAL,W,5-4,GS-6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.90,-0.043,-0.38,P
101,22 (3),May 9,LAA,,DET,L,3-6,GS-7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,1.67,-0.084,-0.65,P
102,25 (2),May 12,LAA,,CHW,L,6-7,3-4,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,PR
103,27 (1),May 15,LAA,@,BAL,L,1-7,GS-1,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,P
104,30 (2),May 18,LAA,@,BOS,W,8-4,5-5,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,0.000,0.00,PR
105,31,May 19,LAA,@,BOS,W,6-5,GS-6,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.92,-0.049,-0.40,P
106,35 (3),May 23,LAA,@,WSA,L,2-7,GS-3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000,.100,.000,.100,9,.84,0.036,0.38,P
107,59 (23),Jun 16,LAA,@,CHW,L,3-4,9-11,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.100,.000,.100,9,,,,P
108,63 (3),Jun 20,LAA,@,KCA,W,5-1,GS-0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,.000,.077,.000,.077,9,,,,P
109,69 (5),Jun 24 (2),LAA,@,MIN,W,7-6,GS-5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.071,.000,.071,9,.68,-0.017,-0.17,P
