1,Apr 12,NYY,,DET,L,1-2,CG,32,9.0,3,2,0,5,1,3B
2,Apr 14 (1),NYY,,DET,L,2-3,CG,41,9.0,1,4,0,5,0,3B
3,Apr 14 (2),NYY,,DET,L,2-5,CG,43,9.0,2,2,0,4,0,3B
4,Apr 15,NYY,@,BAL,W,3-2,CG,32,9.0,0,1,0,1,0,3B
5,Apr 16,NYY,@,BAL,L,2-7,CG,38,8.0,1,2,0,3,0,3B
6,Apr 17,NYY,@,BAL,L,4-5,CG,39,8.0,1,3,0,4,1,3B
7,Apr 19,NYY,@,CLE,L,1-3,CG,31,8.0,2,5,0,7,1,SS
8,Apr 20,NYY,@,CLE,L,2-4,CG,33,8.0,2,1,0,3,0,3B
9,Apr 23,NYY,,BAL,L,3-4,CG,38,9.0,3,2,0,5,1,SS
10,Apr 24,NYY,,BAL,L,1-2,CG,34,9.0,1,2,0,3,0,SS
11,Apr 25,NYY,,BOS,L,5-8,CG,42,9.0,0,4,0,4,0,SS
12,Apr 26,NYY,,BOS,W,7-6,CG,41,9.0,4,5,1,10,1,SS
13,Apr 27,NYY,,WSA,L,0-2,CG,33,9.0,3,2,0,5,0,SS
14,Apr 30,NYY,,KCA,W,6-0,CG,33,9.0,3,5,0,8,2,SS
15,May 1 (1),NYY,,KCA,L,0-1,CG,32,9.0,1,6,0,7,0,SS
16,May 1 (2),NYY,,KCA,W,10-4,CG,36,9.0,1,3,1,5,0,SS
17,May 3,NYY,,CLE,L,0-1,CG,37,9.0,4,1,0,5,0,SS
18,May 4,NYY,,CLE,L,1-2,CG,36,9.0,3,5,0,8,2,SS
19,May 5,NYY,,CLE,L,0-4,CG,38,9.0,0,1,0,1,0,SS
20,May 6,NYY,@,CAL,L,4-7,CG,37,8.0,0,4,0,4,0,SS
21,May 7,NYY,@,CAL,W,3-1,CG,31,9.0,6,3,0,9,0,SS
22,May 8,NYY,@,CAL,W,5-2,CG,38,9.0,0,5,0,5,0,SS
23,May 9,NYY,@,MIN,W,3-2,CG,36,9.0,5,5,0,10,3,SS
