3 (2),Apr 21,PHI,,BRO,T,2-2,CG,49,11.0,1,0,0,1,0,RF
7 (3),Apr 25,PHI,,NYG,W,8-1,CG,38,9.0,2,0,0,2,0,RF
11 (3),May 1,PHI,@,BRO,L,12-13,GS,25,4.0,0,0,1,1,0,RF
13 (1),May 3,PHI,,CHC,W,4-1,CG,0,9.0,2,0,0,2,0,
18 (4),May 8,PHI,,CIN,W,8-7,CG,43,9.0,3,0,0,3,0,CF
19,May 9,PHI,,CIN,L,4-8,CG,42,9.0,5,0,1,6,0,CF
20,May 10,PHI,,STL,L,3-4,CG,37,9.0,3,0,0,3,0,CF
22 (1),May 14,PHI,@,NYG,L,1-2,CG,0,9.0,3,0,0,3,0,
28 (5),May 21,PHI,@,STL,L,2-5,CG,0,8.0,10,1,0,11,0,
29,May 22,PHI,@,STL,L,1-2,CG,0,8.0,5,1,0,6,0,
30,May 23,PHI,@,STL,L,1-6,CG,0,8.0,5,0,0,5,0,
31,May 24,PHI,@,CHC,L,2-3,CG,0,8.0,8,0,0,8,0,
32,May 25,PHI,@,CHC,W,8-7,CG,0,9.0,14,0,0,14,1,
33,May 27,PHI,,NYG,L,1-10,CG,48,9.0,11,0,0,11,1,1B
34,May 28,PHI,,NYG,L,2-7,GS,0, ,2,0,0,2,0,
35,May 29,PHI,,NYG,L,5-7,CG,42,9.0,2,0,0,2,0,RF
36,May 30 (1),PHI,,BSN,L,7-9,CG,45,10.0,13,1,2,16,2,1B
37,May 30 (2),PHI,,BSN,W,5-3,CG,36,9.0,5,0,0,5,0,1B
38,Jun 1,PHI,,PIT,L,2-5,CG,43,9.0,5,0,0,5,0,1B
39,Jun 3,PHI,,PIT,L,7-10,CG,0,9.0,5,1,0,6,0,
40,Jun 4,PHI,,CHC,L,4-9,CG,0,9.0,10,1,0,11,1,
41,Jun 5,PHI,,CHC,W,8-7,CG,41,9.0,3,0,0,3,0,1B
42,Jun 6,PHI,,CHC,W,9-8,CG,41,9.0,10,0,0,10,0,1B
43,Jun 7,PHI,,CIN,L,4-5,CG,40,9.0,11,0,1,12,3,1B
59 (15),Jul 1,PHI,,BSN,L,0-6,CG,0,9.0,3,1,0,4,0,
60,Jul 2 (1),PHI,,BSN,L,7-9,CG,0,9.0,0,1,0,1,0,
61,Jul 2 (2),PHI,,BSN,L,3-4,CG,0,9.0,1,0,0,1,0,
