1,4 (3),Apr 21,STL,,MLN,W,6-5,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,4,,,,LF
2,5,Apr 22 (1),STL,,MLN,W,10-4,6-GF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,1,.02,0.000,-0.79,PR CF
3,6,Apr 22 (2),STL,,MLN,L,5-13,7-GF,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.333,.000,.333,7,.01,0.000,-0.17,CF
4,9 (2),Apr 30,STL,@,MLN,W,2-0,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.333,.000,.333,5,,,,PR LF
5,11 (1),May 2,STL,,PIT,W,10-9,5-GF(10),4,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,.200,.333,.200,.533,6,2.15,-0.102,-0.81,PH CF
6,13 (1),May 4,STL,,BRO,W,10-3,GS-7,3,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.125,.222,.125,.347,7,1.05,0.078,0.98,CF
7,15 (1),May 6 (1),STL,,NYG,W,5-4,GS-7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.091,.167,.091,.258,7,1.92,-0.158,-1.44,CF
8,17 (1),May 7,STL,,NYG,W,6-3,6-GF,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.091,.231,.091,.322,8,.08,0.003,0.12,PR CF
9,20 (2),May 12,STL,@,CHC,L,10-14,8-9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.286,.167,.452,7,.03,0.001,0.25,PH CF
10,24 (3),May 16,STL,@,BRO,L,3-5,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.167,.286,.167,.452,7,,,,CF
11,28 (3),May 20 (1),STL,@,NYG,L,0-2,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.167,.286,.167,.452,3,,,,PR RF
12,29,May 20 (2),STL,@,NYG,L,2-5,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.167,.286,.167,.452,8,2.87,0.027,0.50,PR
13,32 (2),May 23,STL,@,PIT,L,0-6,7-GF,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.231,.333,.231,.564,7,.01,0.000,0.12,CF
14,33,May 25,STL,,CHC,W,6-1,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.188,.316,.188,.503,7,.69,-0.055,-1.48,CF
15,34,May 27 (1),STL,,CHC,W,11-9,CG,5,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.150,.292,.150,.442,8,.62,-0.096,-1.64,CF
