69,1,Apr 11(1),SFG,@,ATL,W,8-0,6-7,H(1),99,1.1,0,0,0,1,1,0,0,0.00,5,,,,,0,3,0,0,0,,3,0,0,0,0,4,0,0,0,0,0,0,.56,0.054,1.26, 6b 123 2 out a5, 7b 3 out a6
70,3,Apr 12,SFG,@,ATL,W,13-4,6-GF,S(1),0,3.2,0,0,0,1,3,0,0,0.00,12,,,,,2,6,1,3,0,,2,0,0,0,0,11,0,0,0,0,0,0,.20,0.034,2.38, 6b 12- 1 out a6, 9b end a 9
71,5,Apr 14,SFG,,SDP,L,3-5,9-10,BL(0-1),1,1.0,3,3,2,2,0,0,0,3.00,9,29,16,5,2,1,6,2,1,0,,0,0,0,0,0,7,1,0,0,0,0,1,4.12,-0.545,-2.02, 9t --- 0 out a1,10t -23 0 out tie
72,8,Apr 17,SFG,,LAD,L,5-10,9-GF,,2,0.1,0,0,0,0,1,0,0,2.84,1,4,3,1,1,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.04,0.001,0.41, 9t 12- 2 out d5, 9t end d 5
73,11,Apr 21,SFG,@,SDP,W,6-4,7-8,H(2),3,2.0,2,0,0,0,1,0,0,2.16,8,37,25,8,2,5,2,0,0,0,,1,1,0,0,0,8,0,0,0,0,0,0,1.68,0.120,0.33, 7b 1-- 0 out a3, 8b 3 out a2
74,13,Apr 23,SFG,@,SDP,L,3-13,8-GF(8),,1,1.0,3,1,1,1,0,0,0,2.89,6,18,12,3,0,2,3,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.00,0.000,-0.53, 8b --- 0 out d9, 8b end d10
75,15,Apr 25,SFG,,PIT,L,4-7,8-9,,1,2.0,1,0,0,0,3,0,0,2.38,6,20,15,4,4,2,1,0,1,0,,0,0,0,0,0,6,0,0,0,1,0,0,2.05,0.228,0.90, 8t --- 0 out tie, 9t 3 out tie
76,16,Apr 26,SFG,,PIT,L,1-2,8-GF,,0,1.1,0,0,0,0,2,0,0,2.13,4,12,9,2,2,1,1,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,.74,0.072,0.86, 8t 12- 2 out d1, 9t end d 1
77,18,Apr 28,SFG,,STL,L,0-5,7-8,,1,1.2,1,0,0,1,2,0,0,1.88,7,29,17,7,1,0,4,2,0,0,,2,0,0,0,0,6,0,0,0,0,0,0,.46,0.042,1.31, 7t 12- 1 out d3, 8t 3 out d3
78,20,Apr 30,SFG,@,LAD,W,8-4,8-GF,,1,2.0,4,2,2,1,1,0,0,2.76,11,43,31,8,4,3,6,2,1,0,,0,0,0,0,0,9,0,0,0,0,1,0,.70,0.026,-1.09, 8b --- 0 out a4, 9b end a 4
79,24,May 5,SFG,@,MON,W,4-1,8-GF,S(2),4,2.0,0,0,0,0,1,0,0,2.45,6,,,,,4,1,0,0,0,,0,0,0,0,0,6,0,0,0,1,0,1,1.05,0.115,0.90, 8b --- 0 out a2, 9b end a 3
80,26,May 7,SFG,@,MON,L,6-7,7-7,,1,0.2,2,0,0,0,1,0,0,2.37,4,,,,,0,3,2,0,0,,1,1,0,0,0,4,0,0,0,0,0,0,.36,-0.016,-0.10, 7b --3 1 out d2, 7b 3 out d3
81,28,May 9,SFG,@,NYM,W,4-2,6-8,H(3),1,2.1,1,0,0,1,0,0,0,2.11,8,27,15,6,0,5,2,1,0,0,,1,0,0,0,0,7,0,0,0,1,0,0,1.37,0.206,1.25, 6b -2- 2 out a2, 8b 3 out a2
82,30,May 12,SFG,@,PHI,W,6-2,8-GF,S(3),2,1.1,0,0,0,1,2,0,0,1.99,5,24,13,6,2,1,1,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,1.55,0.082,0.68, 8b 1-- 2 out a1, 9b end a 4
83,32,May 14,SFG,,NYM,W,4-2,7-9,H(4),1,1.1,2,0,0,1,0,0,0,1.88,7,35,24,7,2,3,3,0,0,0,,1,0,0,0,0,6,0,0,0,0,0,0,1.59,-0.081,-0.31, 7t 1-- 2 out a1, 9t 12- 0 out a2
84,34,May 16,SFG,,NYM,W,4-3,10-GF(10),W(1-1),1,1.0,1,0,0,0,1,0,0,1.80,3,7,5,1,2,2,0,0,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,2.56,0.127,0.45,10t --- 0 out tie,10t end tie
85,37,May 20,SFG,,MON,L,5-6,8-8,,3,1.0,1,0,0,1,0,0,0,1.73,5,,,,,0,4,2,2,0,,0,0,1,0,0,4,0,0,1,0,0,0,2.84,0.101,0.45, 8t --- 0 out tie, 8t 3 out tie
86,38,May 21,SFG,,PHI,L,2-5,5-6,,0,2.0,3,0,0,0,1,0,0,1.61,9,36,21,7,2,4,4,0,0,0,,2,2,1,0,0,9,0,0,0,0,0,0,.70,-0.069,-0.13, 5t 12- 0 out d1, 6t 3 out d3
87,40,May 23,SFG,@,STL,W,6-1,7-8,H(5),1,1.1,1,0,0,0,1,0,0,1.53,5,15,10,4,2,2,2,0,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,.52,0.044,0.82, 7b --3 2 out a3, 8b 3 out a5
88,41,May 24,SFG,@,STL,L,2-3,9-11,,0,3.0,0,0,0,0,1,0,0,1.39,9,,,,,5,3,0,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,1.77,0.394,1.41, 9b --- 0 out tie,11b 3 out tie
89,42,May 25,SFG,@,PIT,W,9-8,9-GF,S(4),0,0.2,0,0,0,0,0,0,0,1.36,2,7,3,1,0,1,1,0,1,0,,2,0,0,0,0,2,0,0,0,0,0,0,7.26,0.447,1.14, 9b 1-3 1 out a1, 9b end a 1
90,46,May 29,SFG,@,CHC,W,6-2,7-GF,S(5),3,2.1,4,0,0,1,1,0,0,1.27,11,35,23,4,3,4,5,2,3,0,,0,0,0,0,0,10,0,0,0,1,0,0,1.55,0.133,1.12, 7b --- 2 out a1, 9b end a 4
91,49,Jun 1,SFG,,HOU,W,6-5,8-9,,2,2.0,1,1,1,0,2,1,0,1.45,7,36,24,8,5,3,2,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,1.34,-0.089,-0.10, 8t --- 0 out tie, 9t 3 out tie
92,51,Jun 3,SFG,,HOU,W,7-3,7-GF,S(6),1,2.1,1,0,0,2,2,0,0,1.36,10,47,30,11,2,4,2,1,1,0,,3,0,0,0,0,8,0,0,0,0,0,0,.46,0.083,1.64, 7t 123 2 out a4, 9t end a 4
93,53,Jun 5,SFG,,CIN,W,6-1,8-GF,S(7),1,2.0,4,1,1,0,2,0,0,1.51,10,37,26,1,7,3,5,2,0,0,,0,0,0,0,0,10,1,0,0,0,0,0,.77,0.012,-0.10, 8t --- 0 out a3, 9t end a 5
94,54,Jun 6,SFG,,CIN,W,3-2,11-GF(11),W(2-1),0,1.0,1,0,0,1,0,0,0,1.48,5,17,8,0,1,1,3,1,1,0,,0,0,0,0,0,4,0,0,1,0,0,0,2.57,0.127,0.45,11t --- 0 out tie,11t end tie
95,57,Jun 10,SFG,@,ATL,W,9-3,9-GF,,3,1.0,0,0,0,0,1,0,0,1.44,3,11,8,1,3,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,0.49, 9b --- 0 out a6, 9b end a 6
