92 (91),Jul 9,BOS,,TEX,W,5-0,GF,3,1.0,0,0,0,0,0,P
93,Jul 10,BOS,,TEX,W,8-4,GF,4,1.0,0,0,0,0,0,P
96 (2),Jul 13,BOS,,TOR,L,7-13,,7,2.0,1,0,0,1,0,P
98 (1),Jul 15,BOS,,TOR,W,5-2,,4,1.0,0,1,0,1,1,P
100 (1),Jul 21,BOS,@,DET,L,0-5,,3,1.0,0,0,0,0,0,P
102 (1),Jul 23,BOS,@,BAL,W,5-3,,4,1.0,0,0,0,0,0,P
104 (1),Jul 26,BOS,,MIN,L,1-2,GF,3,1.0,0,0,0,0,0,P
105,Jul 27,BOS,,MIN,W,4-3,,5,1.0,0,1,0,1,0,P
108 (2),Jul 30,BOS,,PHI,W,2-1,,5,1.0,1,0,0,1,0,P
110 (1),Aug 2,BOS,,NYY,W,15-7,GF,5,1.0,0,0,0,0,0,P
113 (2),Aug 5,BOS,,NYY,W,5-4,,6,1.2,0,0,0,0,0,P
115 (1),Aug 8,BOS,@,TOR,W,10-5,,5,1.0,1,0,0,1,0,P
117 (1),Aug 10,BOS,@,BAL,W,19-12,,3,1.0,0,0,0,0,0,P
118,Aug 11 (1),BOS,@,BAL,W,5-0,,3,1.0,0,0,0,0,0,P
120 (1),Aug 12,BOS,@,BAL,W,4-1,,1,0.1,0,0,0,0,0,P
123 (2),Aug 17,BOS,,TBR,W,7-3,,3,1.0,0,0,0,0,0,P
124,Aug 18,BOS,,TBR,W,5-2,,3,1.0,0,0,0,0,0,P
128 (3),Aug 22,BOS,,CLE,W,10-4,GF,3,1.0,0,0,0,0,0,P
131 (2),Aug 25,BOS,@,TBR,L,1-5,,4,1.0,0,1,0,1,0,P
134 (2),Aug 29,BOS,,MIA,W,14-6,,4,1.0,0,0,0,0,0,P
135,Aug 30,BOS,@,CHW,W,9-4,,3,1.0,0,0,0,0,0,P
137 (1),Sep 1,BOS,@,CHW,W,6-1,,6,1.1,1,0,0,1,0,P
139 (1),Sep 3,BOS,@,ATL,W,8-2,,5,0.2,0,0,0,0,0,P
140,Sep 4,BOS,@,ATL,W,5-1,,3,1.0,0,1,0,1,1,P
142 (1),Sep 7,BOS,,HOU,L,3-6,,4,0.2,0,0,0,0,0,P
144 (1),Sep 9,BOS,,HOU,W,6-5,,1,0.1,0,0,0,0,0,P
145,Sep 11,BOS,,TOR,W,7-2,,4,1.1,0,0,0,0,0,P
147 (1),Sep 13,BOS,,TOR,W,4-3,,3,1.0,0,0,0,0,0,P
149 (1),Sep 15,BOS,,NYM,W,5-3,,3,1.0,0,0,0,0,0,P
151 (1),Sep 18,BOS,@,NYY,L,2-3,,3,0.2,0,0,0,0,0,P
153 (1),Sep 20,BOS,@,NYY,W,11-6,,3,1.0,0,0,0,0,0,P
157 (3),Sep 24,BOS,,BAL,W,6-2,,1,0.2,0,1,0,1,0,P
159 (1),Sep 26 (2),BOS,,BAL,L,3-10,,3,1.0,0,0,0,0,0,P
162 (2),Sep 30,BOS,,NYY,W,10-2,,4,1.0,0,0,0,0,0,P
