1045,5 (4),Apr 15,KCR,@,BAL,L,2-12,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,2,.36,-0.037,-0.71,RF
1046,7 (1),Apr 17,KCR,@,BAL,L,2-5,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.14,-0.004,-0.10,PH
1047,8,Apr 18,KCR,@,DET,W,9-6,10-GF(11),2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,7,2.39,-0.085,-0.65,PH RF
1048,9,Apr 19,KCR,@,DET,L,6-8,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.97,-0.025,-0.16,PH
1049,11 (1),Apr 21,KCR,,TOR,L,1-7,8-9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2,2.18,-0.066,-0.60,PH
1050,12,Apr 22,KCR,,TOR,W,7-2,8-GF,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.100,.100,.100,.200,8,.09,0.004,0.73,PH LF
1051,13,Apr 23,KCR,,TOR,W,7-4,CG,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.067,.067,.067,.133,2,1.95,-0.275,-2.00,LF
1052,17 (3),Apr 29,KCR,@,TOR,L,1-3,7-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.063,.063,.063,.125,9,1.86,-0.048,-0.33,PH
1053,19 (1),May 2,KCR,,BOS,L,5-6,11-11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.063,.118,.063,.180,2,1.82,0.052,0.13,PH
1054,20,May 3,KCR,,BOS,L,0-7,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.053,.143,.053,.195,2,.66,-0.032,-0.59,LF
1055,22 (1),May 6,KCR,@,CHW,L,0-2,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.050,.136,.050,.186,2,2.87,-0.064,-0.36,PH
1056,32 (9),May 17,KCR,,CAL,W,2-1,10-GF(10),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.048,.130,.048,.178,2,4.10,-0.207,-0.91,PH
1057,43 (10),May 28,KCR,@,OAK,L,3-6,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.045,.125,.045,.170,8,.88,-0.022,-0.28,PH
1058,46 (2),Jun 1,KCR,,CHW,L,1-6,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.043,.120,.043,.163,8,.44,-0.009,-0.36,PH
1059,77,Jul 10,TOR,,CLE,L,3-7,7-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.042,.115,.042,.157,8,.57,-0.012,-0.21,PH
