28 (27),Apr 29,CIN,@,STL,L,2-7,,10,1.2,0,0,0,0,0,P
30 (1),May 2,CIN,@,ATL,L,0-2,GF,4,1.0,0,0,0,0,0,P
31,May 3,CIN,@,ATL,L,1-9,,1,0.1,0,0,0,0,0,P
32,May 4,CIN,@,ATL,L,7-14,,6,1.0,0,0,0,0,0,P
36 (3),May 10 (1),CIN,@,NYM,L,6-12,,2,0.0,0,0,0,0,0,P
38 (1),May 11,CIN,@,NYM,L,3-8,,4,1.0,0,0,0,0,0,P
40 (1),May 13,CIN,,FLA,W,5-3,,1,0.1,0,0,0,0,0,P
43 (2),May 17,CIN,,CLE,W,4-2,GF,4,1.0,0,0,0,0,0,P
45 (1),May 19,CIN,@,LAD,L,5-6,,4,1.0,0,0,0,0,0,P
46,May 20,CIN,@,LAD,L,1-4,,3,0.1,0,1,0,1,0,P
48 (1),May 22,CIN,@,SDP,L,2-8,,4,1.0,0,0,0,0,0,P
50 (1),May 24,CIN,@,SDP,W,7-2,,4,1.0,0,0,0,0,0,P
51,May 25,CIN,@,SDP,L,9-12,,6,1.1,0,0,0,0,0,P
53 (1),May 28,CIN,,PIT,W,9-1,GF,3,1.0,0,0,0,0,0,P
54,May 29,CIN,,PIT,L,2-7,,3,1.0,1,0,0,1,0,P
55,May 30,CIN,,ATL,W,3-2,,3,1.0,0,0,0,0,0,P
56,May 31,CIN,,ATL,W,8-7,,4,1.0,0,0,0,0,0,P
58 (1),Jun 2,CIN,@,PHI,L,4-5,,4,0.2,0,0,0,0,0,P
60 (1),Jun 4,CIN,@,PHI,W,2-0,,3,0.2,0,0,0,0,0,P
64 (3),Jun 8,CIN,@,FLA,L,2-9,,4,1.0,0,0,0,0,0,P
65,Jun 9,CIN,@,FLA,W,9-4,,3,0.1,0,0,0,0,0,P
67 (1),Jun 11,CIN,,STL,L,0-10,GF,7,2.0,0,0,0,0,0,P
70 (2),Jun 14,CIN,,BOS,L,4-6,GF,2,0.2,0,0,0,0,0,P
71,Jun 15,CIN,,BOS,L,0-9,,4,1.0,0,0,0,0,0,P
76 (4),Jun 21,CIN,@,NYY,W,6-0,,6,1.1,0,1,0,1,0,P
78 (1),Jun 24,CIN,@,TOR,L,1-14,GF,4,1.0,0,0,0,0,0,P
79,Jun 25,CIN,@,TOR,W,6-5,,1,0.0,0,0,0,0,0,P
81 (1),Jun 27,CIN,@,CLE,L,0-6,,2,0.1,0,0,0,0,0,P
82,Jun 28,CIN,@,CLE,W,5-0,,1,0.0,0,0,0,0,0,P
85 (2),Jul 1,CIN,,PIT,L,5-6,,3,1.0,0,0,0,0,0,P
86,Jul 2,CIN,,PIT,L,5-9,GF,4,1.0,0,0,0,0,0,P
90 (3),Jul 6,CIN,,WSN,W,6-5,,4,1.0,0,0,0,0,0,P
93 (2),Jul 10,CIN,@,CHC,W,12-7,,5,1.0,0,0,0,0,0,P
94,Jul 11,CIN,@,MIL,W,6-5,,2,0.1,0,0,0,0,0,P
96 (1),Jul 13,CIN,@,MIL,L,2-3,,2,0.0,0,0,0,0,0,P
97,Jul 17,CIN,,NYM,L,8-10,GF,2,0.2,0,1,0,1,0,P
99 (1),Jul 19,CIN,,NYM,W,7-2,GF,3,1.0,1,0,0,1,0,P
100,Jul 20,CIN,,NYM,L,5-7,,6,0.2,0,0,0,0,0,P
101,Jul 21,CIN,,SDP,L,4-6,,1,0.2,0,0,0,0,0,P
102,Jul 22,CIN,,SDP,W,4-3,,3,1.0,0,0,0,0,0,P
104 (1),Jul 25,CIN,,COL,L,2-7,,7,1.0,0,0,0,0,0,P
105,Jul 26,CIN,,COL,L,1-5,GF,5,1.0,0,0,0,0,0,P
111 (5),Aug 2,CIN,@,WSN,L,6-10,,4,0.2,0,0,0,0,0,P
114 (2),Aug 5,CIN,,MIL,L,1-8,,5,1.0,0,0,0,0,0,P
116 (1),Aug 7,CIN,,HOU,L,4-7,,5,1.0,0,0,0,0,0,P
119 (2),Aug 10,CIN,,HOU,L,4-13,,7,2.0,0,0,0,0,0,P
120,Aug 12,CIN,@,PIT,W,5-1,,1,0.0,0,0,0,0,0,P
122 (1),Aug 14,CIN,@,PIT,W,3-1,,2,0.1,0,0,0,0,0,P
123,Aug 15,CIN,,STL,L,3-5,,3,0.2,0,0,0,0,0,P
126 (2),Aug 19,CIN,@,CHC,L,0-5,,3,0.1,0,0,0,0,0,P
131 (4),Aug 24,CIN,@,COL,L,3-4,,6,1.2,0,1,0,1,0,P
133 (1),Aug 27,CIN,@,HOU,L,1-4,,4,0.2,0,0,0,0,0,P
136 (2),Aug 30,CIN,,SFG,W,7-6,,3,0.0,0,0,0,0,0,P
138 (1),Sep 2,CIN,,PIT,L,2-3,,5,1.0,0,0,0,0,0,P
141 (2),Sep 5,CIN,,CHC,W,10-2,,1,0.1,0,0,0,0,0,P
145 (3),Sep 9,CIN,@,MIL,W,5-4,,1,0.1,0,0,0,0,0,P
147 (1),Sep 12,CIN,@,ARI,L,2-3,,1,0.0,0,0,0,0,0,P
149 (1),Sep 14,CIN,@,ARI,W,2-1,,1,0.1,0,0,0,0,0,P
154 (4),Sep 20,CIN,,MIL,W,4-3,,1,0.1,0,0,0,0,0,P
157 (2),Sep 23,CIN,@,HOU,W,2-1,,1,0.1,0,0,0,0,0,P
158,Sep 24,CIN,@,HOU,L,0-5,GF,1,0.1,0,0,0,0,0,P
160 (1),Sep 26,CIN,@,STL,L,6-7,,2,0.1,0,0,0,0,0,P
162 (1),Sep 28,CIN,@,STL,L,4-11,,4,1.0,0,0,0,0,0,P
