1,Apr 15,LAD,@,CIN,W,3-1,GF,6,2.0,0,0,0,0,0,P
4 (2),Apr 18,LAD,@,ATL,W,3-1,GF,8,2.0,0,0,0,0,0,P
9 (4),Apr 23,LAD,,SDP,L,1-2,GF,6,2.0,0,0,0,0,0,P
13 (3),Apr 28,LAD,,NYM,L,1-6,GF,7,1.2,0,0,0,0,0,P
16 (2),May 1,LAD,,PHI,L,1-2,GF,4,1.0,0,0,0,0,0,P
17,May 2,LAD,,PHI,W,7-6,GF,4,1.0,0,1,0,1,0,P
20 (2),May 7,LAD,@,MON,L,0-1,,9,2.0,1,0,0,1,0,P
22 (1),May 10,LAD,@,NYM,L,3-4,,9,3.0,0,1,0,1,0,P
26 (3),May 13,LAD,@,PHI,W,3-1,GF,1,0.2,0,1,0,1,1,P
27,May 15,LAD,@,SDP,W,2-1,,7,1.1,0,0,0,0,0,P
30 (2),May 18,LAD,,HOU,L,3-4,GF,11,2.0,0,1,0,1,0,P
33 (2),May 21,LAD,,HOU,L,1-2,GF,6,2.0,0,0,0,0,0,P
36 (2),May 24,LAD,,SFG,L,0-1,GF,3,1.0,0,0,0,0,0,P
37,May 26,LAD,@,HOU,L,3-5,GF,10,2.0,0,0,0,0,0,P
39 (1),May 28,LAD,@,HOU,W,6-5,,8,2.0,0,0,0,0,0,P
40,May 29,LAD,@,SFG,W,5-2,GF,3,1.0,0,0,0,0,0,P
42 (1),May 31,LAD,@,SFG,W,5-4,GF,6,2.0,0,0,0,0,0,P
44 (1),Jun 2,LAD,,STL,W,8-3,GF,5,1.2,0,1,0,1,0,P
49 (4),Jun 8,LAD,,CHC,W,2-1,GF,3,1.0,0,0,0,0,0,P
51 (1),Jun 10,LAD,,PIT,W,2-1,GF,2,0.2,0,0,0,0,0,P
53 (1),Jun 12,LAD,@,STL,L,2-3,GF,3,1.0,0,0,0,0,0,P
54,Jun 13,LAD,@,STL,W,2-1,GF,9,2.1,0,0,0,0,0,P
57 (2),Jun 18,LAD,@,CHC,L,4-5,,11,2.1,0,0,0,0,0,P
59 (1),Jun 21,LAD,@,PIT,W,5-3,GF,6,2.0,0,0,0,0,0,P
62 (2),Jun 24 (2),LAD,,ATL,L,4-6,,9,2.0,0,0,0,0,0,P
67 (4),Jun 29,LAD,,HOU,L,6-8,GF,7,1.0,0,0,0,0,0,P
69 (1),Jul 1,LAD,@,SFG,L,5-8,GF,4,1.0,0,1,0,1,0,P
73 (3),Jul 6,LAD,@,MON,W,11-3,GF,7,2.0,0,0,0,0,0,P
77 (3),Jul 10 (1),LAD,@,PHI,W,6-4,,5,1.0,0,1,0,1,0,P
82 (4),Jul 15,LAD,,MON,L,2-3,GF,5,1.1,0,0,0,0,0,P
84 (1),Jul 18,LAD,,NYM,W,2-1,GF,5,1.0,0,0,0,0,0,P
86 (1),Jul 20,LAD,,NYM,L,1-2,GF,6,2.0,0,1,0,1,0,P
88 (1),Jul 22,LAD,,PHI,W,4-3,GF,4,1.0,0,0,0,0,0,P
91 (2),Jul 28,LAD,@,HOU,W,6-5,GF,4,1.1,0,0,0,0,0,P
94 (2),Jul 30 (2),LAD,@,ATL,L,4-5,GF,9,2.0,0,0,1,1,0,P
96 (1),Aug 1,LAD,,SFG,L,3-4,GF,8,2.0,0,1,0,1,0,P
99 (2),Aug 4,LAD,,SDP,L,0-2,GF,2,0.1,0,0,0,0,0,P
100,Aug 5,LAD,,SDP,W,1-0,GF,3,1.0,0,1,0,1,0,P
102 (1),Aug 8,LAD,@,CIN,L,1-2,,12,3.0,0,0,0,0,0,P
104 (1),Aug 10,LAD,@,CIN,W,6-2,GF,4,1.1,0,0,0,0,0,P
105,Aug 11,LAD,@,SDP,W,2-1,GF,6,2.0,0,0,0,0,0,P
107 (1),Aug 13,LAD,@,SDP,W,5-3,GF,9,2.0,0,0,0,0,0,P
108,Aug 15,LAD,,PIT,W,8-6,GF,7,2.0,0,0,0,0,0,P
117 (8),Aug 25 (1),LAD,@,PIT,L,2-3,,8,2.0,0,0,0,0,0,P
120 (2),Aug 27,LAD,@,PIT,W,7-4,GF,4,1.0,0,0,0,0,0,P
122 (1),Aug 30,LAD,@,CHC,L,8-9,GF,7,2.0,0,0,0,0,0,P
128 (5),Sep 4 (1),LAD,,CIN,W,6-5,GF,1,0.1,0,0,0,0,0,P
133 (4),Sep 8,LAD,,ATL,L,3-4,GF,6,1.2,0,0,0,0,0,P
135 (1),Sep 10,LAD,,HOU,W,3-2,GF,3,1.0,0,0,0,0,0,P
137 (1),Sep 12,LAD,@,SFG,L,2-3,GF,5,0.2,0,1,0,1,0,P
141 (3),Sep 17,LAD,@,HOU,L,11-15,,6,0.2,0,0,0,0,0,P
