1,3 (2),Apr 18 (1),BOS,,PHA,L,4-6,GS-4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,9,2.85,-0.164,-1.60,P
2,7 (3),Apr 21,BOS,@,NYY,L,1-5,7-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,P
3,9 (1),Apr 24,BOS,@,WSH,W,6-1,3-3,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,PR
4,11 (1),Apr 29,BOS,,CLE,L,3-6,7-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,P
5,13 (1),May 1,BOS,,CHW,L,0-3,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,P
6,16 (2),May 12,BOS,@,CHW,L,0-1,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,1.41,-0.112,-0.61,P
7,22 (5),May 17,BOS,@,DET,W,4-3,GS-8,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000,.167,.000,.167,9,1.28,0.008,0.00,P
8,26 (3),May 22,BOS,@,NYY,L,0-7,6-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.167,.000,.167,9,,,,P
9,33 (6),May 31 (1),BOS,,PHA,W,20-10,GS-2,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.167,.000,.167,9,,,,P
10,37 (3),Jun 3,BOS,,CHW,L,6-9,5-7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.286,.167,.452,9,.32,0.014,0.27,P
11,38,Jun 4,BOS,,CHW,L,3-7,2-2,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.167,.286,.167,.452,9,,,,P
12,43 (4),Jun 7 (2),BOS,,DET,W,5-4,CG(12),5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.182,.250,.182,.432,9,1.53,-0.080,-0.72,P
13,49 (5),Jun 12,BOS,,CLE,L,3-4,GS-7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.154,.214,.154,.368,9,.81,-0.045,-0.44,P
14,52 (2),Jun 14,BOS,,CLE,L,5-13,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.154,.214,.154,.368,9,,,,P
15,55 (2),Jun 17,BOS,@,DET,L,1-2,GS-8,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.143,.200,.143,.343,9,1.70,-0.059,-0.50,P
16,60 (4),Jun 22,BOS,@,BAL,W,3-1,GS-11,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.111,.158,.111,.269,9,1.52,-0.153,-0.89,P
17,64 (3),Jun 27 (1),BOS,@,CHW,W,2-1,CG,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.190,.227,.190,.418,9,1.20,0.092,0.48,P
18,69 (4),Jul 2,BOS,,PHA,W,8-4,GS-9,4,4,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.240,.269,.320,.589,9,1.06,-0.069,0.51,P
19,75 (5),Jul 7,BOS,@,NYY,L,9-17,GS-2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.231,.259,.308,.567,9,.50,-0.012,-0.22,P
20,79 (3),Jul 11 (2),BOS,@,PHA,W,11-1,CG,5,5,1,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,.258,.281,.355,.636,9,.21,0.024,-0.35,P
21,83 (3),Jul 17,BOS,,DET,W,7-6,GS-9,4,4,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.286,.306,.371,.677,9,.93,0.087,0.61,P
