6 (5),Apr 12,CHC,,NYM,W,5-4,GS,29,6.2,1,1,0,2,0,LF
10 (3),Apr 16,CHC,@,PIT,L,6-7,GF,8,1.1,1,0,0,1,0,LF
13 (2),Apr 20,CHC,@,NYM,L,2-3,GF,8,2.2,0,0,0,0,0,LF
14,Apr 21,CHC,@,NYM,L,4-7,CG,36,8.0,1,1,1,3,0,LF
23 (8),May 2,CHC,@,ATL,L,3-10,GF,8,2.0,1,0,0,1,0,RF
27 (3),May 7,CHC,,HOU,W,12-6,GF,6,1.0,1,0,0,1,1,1B
32 (4),May 13,CHC,@,HOU,W,5-0,GF,4,1.0,3,0,0,3,0,1B
35 (2),May 16,CHC,@,HOU,W,2-1,GF,8,2.0,2,0,0,2,0,PH LF
36,May 18,CHC,@,LAD,L,1-2,GF,9,2.0,0,0,0,0,0,LF
43 (6),May 24,CHC,@,SDP,L,2-8,GF,11,3.0,3,0,0,3,1,1B
57 (13),Jun 9,CHC,@,PHI,L,2-4,GF,1,0.1,0,0,0,0,0,LF
78 (20),Jul 1,CHC,,PIT,L,2-5,GF,10,2.0,0,0,0,0,0,PH CF
