1,3 (2),Apr 3,WSN,,ATL,L,2-11,8-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,6,,,,P
2,8 (4),Apr 9,WSN,@,NYM,L,4-8,6-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,P
3,11 (2),Apr 13,WSN,,PHI,L,2-3,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,P
4,12,Apr 14,WSN,,PHI,L,0-4,9-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,P
5,18 (5),Apr 21,WSN,@,STL,L,0-5,6-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,P
6,19,Apr 23,WSN,@,PIT,L,2-7,7-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,P
7,22 (2),Apr 26,WSN,,NYM,L,4-6,8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,P
8,30 (7),May 4,WSN,@,PHI,L,4-7,6-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,P
9,31,May 5,WSN,@,PHI,L,3-7,3-4,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,P
10,34 (2),May 8,WSN,@,FLA,L,0-8,7-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,2,,,,P
11,38 (3),May 13,WSN,,FLA,L,5-6,11-GF(11),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,7,,,,P
