1,Apr 19,PHI,,BRO,L,5-12,CG,45,9.0,8,1,0,9,0,1B
2,Apr 20,PHI,,BRO,W,6-5,CG,38,9.0,8,1,0,9,0,1B
3,Apr 21,PHI,,BRO,L,0-9,CG,45,9.0,13,0,0,13,2,1B
4,Apr 23,PHI,@,BSN,L,1-3,CG,0,8.0,6,0,0,6,0,
5,Apr 24,PHI,@,BSN,L,0-2,CG,0,8.0,8,0,0,8,0,
6,Apr 26,PHI,@,NYG,L,8-12,CG,0,8.0,4,0,0,4,1,
10 (3),Apr 29,PHI,@,BRO,L,4-5,CG,53,11.2,10,0,0,10,1,1B
11,Apr 30,PHI,,BSN,L,11-16,CG,0,9.0,7,1,0,8,1,
12,May 1,PHI,,BSN,W,5-1,CG,33,9.0,10,1,0,11,0,1B
13,May 3,PHI,@,CHC,L,2-5,CG,36,8.0,8,0,1,9,2,1B
14,May 4,PHI,@,CHC,W,6-4,CG,42,9.0,6,1,1,8,1,1B
15,May 5,PHI,@,CHC,L,2-21,CG,53,8.0,9,1,0,10,2,1B
16,May 6,PHI,@,STL,L,3-4,GS,0, ,5,3,0,8,1,
17,May 8,PHI,@,CIN,W,2-0,CG,38,9.0,10,0,0,10,0,1B
18,May 9,PHI,@,CIN,L,4-9,GS,38,6.0,7,0,1,8,0,1B
19,May 10,PHI,@,CIN,L,3-7,CG,39,8.0,6,1,0,7,0,1B
20,May 16,PHI,,NYG,W,12-3,CG,33,9.0,5,0,0,5,0,LF
21,May 17,PHI,,CIN,L,1-13,CG,54,9.0,1,0,0,1,0,LF
