1,62 (61),Jun 19,DET,@,BOS,L,2-9,5-5,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,9,.88,0.085,1.00,PH
2,63,Jun 20,DET,@,BOS,L,3-8,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,2.000,2.500,9,.33,-0.007,-0.35,PH
3,65 (1),Jun 22,DET,@,KCA,W,3-2,9-9,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.667,.667,1.667,2.333,9,3.27,0.299,1.00,PH
4,66,Jun 23,DET,@,KCA,W,11-2,CG,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.625,.875,5,1.26,-0.152,-2.41,LF
5,67,Jun 24,DET,@,KCA,L,3-6,6-6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.222,.222,.556,.778,9,1.95,-0.084,-0.51,PH
6,68,Jun 25,DET,@,MIN,L,0-1,8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.500,.700,9,2.14,-0.053,-0.22,PH
7,69,Jun 26,DET,@,MIN,L,1-6,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.182,.182,.455,.636,7,.14,-0.004,-0.22,PH
8,70,Jun 27,DET,@,MIN,L,6-10,6-6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.167,.417,.583,9,2.56,-0.064,-0.42,PH
9,71,Jun 28 (1),DET,,LAA,L,3-8,8-9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.154,.154,.385,.538,9,.35,-0.009,-0.28,PH
10,72,Jun 28 (2),DET,,LAA,W,8-3,8-9,2,1,1,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,.214,.267,.500,.767,9,1.16,0.124,2.94,PH
11,73,Jun 29,DET,,LAA,L,4-7,7-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.250,.467,.717,9,1.36,-0.032,-0.28,PH
12,75 (1),Jul 2,DET,,MIN,L,4-7,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.188,.235,.438,.673,9,1.10,-0.041,-0.50,PH
13,80 (4),Jul 6,DET,,KCA,W,8-4,GS-9,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.200,.273,.400,.673,3,.68,-0.042,-0.91,LF
14,82 (1),Jul 7 (2),DET,,KCA,L,7-8,8-9,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.200,.304,.400,.704,9,.19,0.006,0.12,PH
15,83,Jul 11,DET,@,CHW,L,3-6,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.190,.292,.381,.673,9,1.22,-0.030,-0.41,PH
16,85 (1),Jul 15,DET,@,WSA,L,6-11,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.182,.280,.364,.644,9,.01,0.000,-0.09,PH
17,86,Jul 16,DET,,BAL,L,2-5,8-9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.217,.308,.391,.699,9,1.09,0.051,0.25,PH
18,88 (1),Jul 18,DET,,BAL,L,6-8,10-11,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.208,.296,.375,.671,9,4.32,-0.108,-0.42,PH
19,89,Jul 19,DET,@,LAA,W,10-5,7-7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.240,.321,.400,.721,9,1.78,0.084,0.40,PH
20,90,Jul 20,DET,@,LAA,L,2-11,6-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.231,.310,.385,.695,3,.04,-0.001,-0.70,LF
21,95 (4),Jul 25,DET,,CHW,L,3-4,7-8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.259,.333,.407,.741,9,.44,0.015,0.20,PH
22,96,Jul 26,DET,,WSA,L,1-3,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.323,.393,.715,9,1.48,-0.042,-0.22,PH
23,97,Jul 27,DET,,WSA,L,4-8,7-8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.241,.313,.379,.692,9,.27,-0.007,-0.28,PH
24,99 (1),Jul 28 (2),DET,,WSA,W,7-4,8-9,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.241,.303,.379,.682,7,4.79,0.095,-0.11,PH
25,101 (1),Jul 30,DET,@,BAL,L,0-9,6-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.233,.294,.367,.661,3,.00,0.000,-0.09,LF
26,106 (4),Aug 4 (2),DET,,CLE,L,2-3,9-GF,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.233,.314,.367,.681,9,4.86,0.053,0.22,PH
27,109 (2),Aug 8,DET,,BOS,W,6-5,9-10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.226,.306,.355,.660,9,1.33,-0.033,-0.10,PH
28,110,Aug 9 (1),DET,@,CHW,L,1-2,7-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.219,.297,.344,.641,8,3.58,-0.096,-0.46,PH
29,111,Aug 9 (2),DET,@,CHW,W,3-1,6-6,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.219,.297,.344,.641,8,,,,PH
30,112,Aug 10,DET,@,CHW,L,1-5,8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.212,.289,.333,.623,9,.23,-0.006,-0.14,PH
31,116 (3),Aug 14,DET,@,KCA,W,5-2,9-9,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.212,.308,.333,.641,9,3.01,0.080,0.38,PH
32,117,Aug 15,DET,@,KCA,W,11-1,5-GF,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.229,.317,.343,.660,3,.02,0.000,0.79,LF
33,118,Aug 16,DET,@,LAA,L,6-9,CG,4,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.256,.333,.385,.718,6,.69,0.068,0.70,LF
34,120 (1),Aug 18,DET,@,LAA,W,3-2,CG,4,4,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.326,.388,.488,.876,3,.77,0.210,1.86,LF
35,121,Aug 20,DET,,MIN,W,6-0,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.298,.358,.447,.805,3,1.12,-0.135,-1.60,LF
36,122,Aug 21,DET,,MIN,L,1-12,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.294,.351,.431,.782,3,.44,-0.031,-0.18,LF
37,132 (9),Aug 31,DET,@,CLE,W,9-8,4-4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.288,.345,.423,.768,9,1.16,-0.026,-0.34,PH
38,133,Sep 1 (1),DET,@,CLE,L,3-6,8-8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.283,.339,.415,.754,9,.22,-0.006,-0.21,PH
39,134,Sep 1 (2),DET,@,CLE,L,1-3,7-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.278,.333,.407,.741,9,2.24,-0.049,-0.45,PH
40,135,Sep 2 (1),DET,,NYY,L,4-5,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.278,.333,.407,.741,7,,,,PR LF
41,137 (1),Sep 3,DET,,NYY,W,3-2,10-11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.328,.400,.728,9,1.33,-0.033,-0.10,PH
42,141 (3),Sep 7,DET,@,NYY,L,6-11,CG,5,4,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.288,.348,.407,.755,6,.63,0.069,0.44,LF
43,143 (1),Sep 9 (1),DET,@,WSA,W,1-0,9-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,1,.288,.348,.407,.755,6,.78,-0.026,-0.39,PR
44,144,Sep 9 (2),DET,@,WSA,W,10-7,6-GF,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,.283,.338,.400,.738,3,.00,0.002,0.40,PH LF
45,145,Sep 10 (1),DET,@,WSA,L,8-9,CG,4,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,.286,.347,.397,.744,5,1.17,0.301,1.66,LF
46,146,Sep 10 (2),DET,@,WSA,W,4-1,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.284,.342,.388,.730,5,1.06,0.077,0.18,LF
47,147,Sep 11,DET,@,WSA,L,5-6,CG(10),4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.282,.338,.380,.718,5,1.16,-0.068,-0.12,LF
48,148,Sep 13,DET,,BAL,W,3-2,9-GF,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,0,.282,.338,.380,.718,7,,0.000,0.00,PR
49,149,Sep 14,DET,,BAL,W,3-2,8-9,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.282,.346,.380,.726,8,1.09,0.051,0.25,PH
50,150,Sep 15,DET,,BAL,L,1-2,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.282,.346,.380,.726,7,,,,PR
51,152 (1),Sep 18,DET,@,MIN,L,0-10,6-6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.278,.341,.375,.716,9,.13,-0.003,-0.15,PH
52,154 (1),Sep 20,DET,,CHW,L,0-2,7-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.274,.337,.370,.707,9,2.59,-0.111,-0.50,PH
53,156 (1),Sep 22,DET,,CHW,L,2-3,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.263,.333,.355,.689,5,2.18,-0.186,-0.94,LF
54,160 (3),Sep 27,DET,@,BAL,L,2-5,6-6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.260,.330,.351,.680,8,2.78,-0.009,0.08,PH
55,162 (1),Sep 29,DET,@,BAL,W,7-3,GS-9,5,5,1,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,.268,.333,.402,.736,4,1.23,0.043,0.96,LF
