3 (2),Apr 14,HOU,@,LAD,W,4-2,GS,31,7.1,0,0,0,0,0,P
9 (5),Apr 20,HOU,,LAD,L,2-3,GS,28,6.2,1,2,0,3,0,P
51 (41),Jun 5,HOU,@,PIT,L,5-10,,14,2.0,0,0,0,0,0,P
56 (4),Jun 11,HOU,,CHC,L,2-8,GS,15,3.0,0,0,0,0,0,P
61 (4),Jun 16,HOU,@,SFG,L,1-2,GS,18,4.0,2,1,0,3,0,P
67 (5),Jun 22,HOU,,LAD,L,2-5,GS,28,5.2,1,2,0,3,0,P
72 (4),Jun 27,HOU,@,PIT,L,5-8,GS,31,6.1,0,1,0,1,0,P
78 (5),Jul 2 (2),HOU,,CIN,W,6-3,GS,24,5.2,0,2,0,2,0,P
83 (4),Jul 8,HOU,@,STL,W,6-1,GS,27,8.0,0,3,0,3,0,P
91 (7),Jul 18 (2),HOU,@,NYM,L,3-6,GS,27,6.1,2,0,0,2,0,P
96 (4),Jul 23,HOU,,PIT,L,3-4,GS,29,7.1,1,0,0,1,0,P
101 (4),Jul 29,HOU,@,CIN,L,3-4,GS,20,4.2,1,1,0,2,0,P
105 (3),Aug 1,HOU,@,PHI,L,5-6,GS,23,5.0,0,0,0,0,0,P
109 (3),Aug 5,HOU,,LAD,L,1-12,GS,11,1.0,0,1,0,1,0,P
111 (1),Aug 7,HOU,,LAD,L,3-14,,5,0.2,0,0,0,0,0,P
113 (1),Aug 11 (1),HOU,@,CHC,L,8-9,GS,16,3.1,0,0,0,0,0,P
118 (4),Aug 14 (2),HOU,@,SFG,L,3-5,GS,23,6.0,1,2,0,3,1,P
122 (3),Aug 18,HOU,,CIN,W,5-4,GS,20,4.2,3,0,0,3,0,P
126 (3),Aug 22,HOU,,STL,L,0-3,GS,32,6.1,0,0,0,0,0,P
130 (3),Aug 27,HOU,,CHC,W,5-4,GS,30,7.0,0,1,0,1,0,P
134 (3),Aug 31,HOU,@,PHI,L,5-10,GS,29,6.0,0,1,0,1,0,P
140 (5),Sep 4,HOU,@,ATL,L,0-2,GS,28,7.0,1,0,0,1,0,P
145 (4),Sep 9,HOU,@,LAD,L,0-7,GS,23,4.2,0,0,0,0,0,P
152 (6),Sep 18 (1),HOU,,NYM,W,9-2,CG,35,9.0,1,1,0,2,0,P
160 (7),Sep 29,HOU,@,CIN,W,3-2,GS,7,2.0,0,0,0,0,0,P
