14 (13),Apr 21,CHC,,PIT,L,5-8,GF,6,2.0,1,0,0,1,0,P
17 (2),Apr 25,CHC,@,STL,L,5-7,GF,9,2.0,0,0,0,0,0,P
22 (4),May 2,CHC,@,NYM,L,3-4,,8,2.0,0,0,0,0,0,P
24 (1),May 5,CHC,,SDP,W,6-5,GF,7,2.0,0,0,0,0,0,P
26 (1),May 7,CHC,,SFG,W,10-7,,10,1.1,0,0,0,0,0,P
29 (2),May 10,CHC,,LAD,L,1-5,GF,7,2.0,1,0,0,1,0,P
34 (4),May 16,CHC,@,CIN,W,10-4,,5,1.0,0,0,0,0,0,P
40 (5),May 24 (1),CHC,,ATL,W,10-7,GF,5,1.1,0,0,0,0,0,P
42 (1),May 25,CHC,,CIN,L,0-3,GF,6,2.0,0,0,0,0,0,P
43,May 26,CHC,,CIN,L,6-7,,3,1.0,0,0,0,0,0,P
45 (1),May 29,CHC,@,ATL,L,4-7,GF,8,1.0,0,0,0,0,0,P
50 (4),Jun 3,CHC,@,PHI,W,11-2,GF,15,4.0,0,0,0,0,0,P
54 (3),Jun 8,CHC,@,STL,L,4-5,,9,1.1,0,0,0,0,0,P
58 (3),Jun 12,CHC,,MON,W,11-4,GF,7,2.0,0,0,0,0,0,P
60 (1),Jun 14,CHC,,PHI,L,2-11,GF,4,1.0,0,0,0,0,0,P
61,Jun 15,CHC,,PHI,L,2-5,,9,2.0,0,1,0,1,0,P
62,Jun 16,CHC,,PHI,L,2-8,,3,1.0,1,0,0,1,0,P
68 (5),Jun 23,CHC,,STL,W,12-11,,1,0.1,0,0,0,0,0,P
70 (1),Jun 25,CHC,,PIT,L,0-3,GF,6,2.0,1,1,0,2,0,P
71,Jun 26 (1),CHC,,PIT,L,0-9,,11,3.0,0,0,0,0,0,P
75 (3),Jun 29,CHC,@,LAD,L,1-7,,6,2.0,0,0,0,0,0,P
77 (1),Jul 1,CHC,@,LAD,W,4-3,GF,4,0.1,0,0,0,0,0,P
83 (5),Jul 7,CHC,@,SFG,L,2-7,GF,8,1.0,0,0,0,0,0,P
87 (3),Jul 14,CHC,,LAD,L,0-8,GF,6,1.0,1,1,0,2,0,P
90 (2),Jul 17,CHC,,SDP,L,5-6,,6,1.0,0,0,0,0,0,P
95 (4),Jul 22,CHC,,SFG,L,5-11,,10,2.1,0,0,0,0,0,P
104 (8),Jul 31,CHC,,PHI,L,1-2,GF,2,0.2,0,0,0,0,0,P
107 (2),Aug 3,CHC,,MON,L,5-6,,6,2.0,0,1,0,1,0,P
110 (2),Aug 6,CHC,,NYM,W,9-3,,9,2.1,0,0,0,0,0,P
113 (2),Aug 8,CHC,,NYM,W,7-6,,5,0.2,0,0,0,0,0,P
123 (9),Aug 19,CHC,@,CIN,W,9-6,,1,0.1,0,0,0,0,0,P
126 (2),Aug 22,CHC,,HOU,L,3-8,,11,3.1,2,0,0,2,0,P
139 (12),Sep 5,CHC,@,MON,L,1-3,,2,0.2,0,0,0,0,0,P
141 (1),Sep 7,CHC,@,NYM,L,0-10,,11,2.1,0,1,0,1,0,P
143 (1),Sep 9,CHC,@,NYM,L,1-5,,9,2.0,0,0,0,0,0,P
150 (6),Sep 18,CHC,,PIT,L,2-6,GF,5,1.2,0,0,0,0,0,P
151,Sep 19,CHC,,PIT,L,6-11,,6,2.0,0,2,0,2,0,P
153 (1),Sep 21,CHC,@,STL,L,0-8,,2,0.2,0,0,0,0,0,P
158 (4),Sep 26,CHC,@,PIT,W,5-2,,4,1.0,0,0,0,0,0,P
159,Sep 28,CHC,,STL,L,1-4,,4,1.0,0,0,0,0,0,P
161 (1),Sep 30,CHC,,STL,W,2-1,,4,1.0,0,1,0,1,0,P
