9 (8),Apr 19,KCA,@,LAA,L,4-6,GS,35,8.0,6,0,0,6,0,C
10,Apr 20,KCA,@,CHW,W,7-4,GS,25,6.0,3,0,0,3,0,C
11,Apr 21,KCA,@,CHW,W,9-6,CG,44,9.0,5,0,0,5,0,C
12,Apr 22 (1),KCA,@,CHW,W,7-1,CG,35,9.0,4,0,0,4,0,C
16 (3),Apr 26,KCA,@,DET,L,7-11,CG,41,8.0,5,0,0,5,0,C
17,Apr 27,KCA,,BAL,W,14-5,GF,26,6.0,8,0,0,8,0,C
18,Apr 28,KCA,,BAL,L,2-3,GF,9,2.0,2,0,0,2,0,C
19,Apr 29,KCA,,BAL,L,3-8,CG,44,9.0,8,1,0,9,0,C
122 (102),Aug 17,KCA,,NYY,W,7-2,GS,30,8.0,2,0,0,2,0,C
125 (2),Aug 19,KCA,,NYY,L,7-21,GF,48,8.2,4,0,0,4,0,C
126,Aug 20,KCA,,NYY,W,7-3,CG,41,9.0,5,1,0,6,0,C
127,Aug 21,KCA,,BOS,L,6-11,CG,45,9.0,8,0,1,9,0,C
128,Aug 22,KCA,,BOS,W,4-2,CG,36,9.0,9,0,0,9,0,C
129,Aug 23,KCA,,BOS,L,2-8,CG,42,9.0,3,0,0,3,0,C
130,Aug 24,KCA,@,MIN,W,12-1,CG,37,9.0,3,1,0,4,0,C
131,Aug 25,KCA,@,MIN,L,1-3,CG,34,8.0,10,0,0,10,0,C
132,Aug 26,KCA,@,MIN,L,0-1,CG,32,8.0,5,1,0,6,0,C
133,Aug 28,KCA,,LAA,L,5-10,CG,45,9.0,7,0,1,8,0,C
156 (22),Sep 23,KCA,,DET,L,1-3,GF,20,4.0,2,0,1,3,0,C
157,Sep 24,KCA,@,BAL,W,5-2,CG,34,9.0,7,0,0,7,0,C
159 (1),Sep 26 (2),KCA,@,BAL,W,6-2,CG,36,9.0,6,0,0,6,0,C
162 (2),Sep 30,KCA,@,DET,L,1-6,CG,36,8.0,5,0,0,5,0,C
