170,5 (4),Apr 21,CHC,,STL,L,4-5,0-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,,,,,4,,,,PR
171,18 (12),May 7,CHC,,PHI,L,0-1,0-0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,,,,,9,,,,PR
172,22 (3),May 12,CHC,,PIT,W,7-5,0-0,0,0,1,0,0,0,0,0,0,,0,0,0,,0,0,0,0,,,,,9,,,,PR
173,27 (4),May 19,CHC,@,BRO,W,7-6,9-9,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,7,,0.000,0.00,PR
174,36 (8),May 30 (1),CHC,,CIN,L,2-4,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,6,,,,PR
175,37,May 30 (2),CHC,,CIN,L,8-9,12-GF(12),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,6,,,,PR
176,41 (3),Jun 3,CHC,,BRO,L,2-3,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,4,,,,PR
177,116 (74),Aug 21,CHC,,PHI,L,5-7,10-GF(10),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,P
178,119 (2),Aug 24,CHC,,BRO,L,3-11,2-6,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.000,.000,.000,.000,9,.06,-0.002,-0.15,P
179,124 (4),Aug 28,CHC,,BSN,L,3-8,0-0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,.000,.000,.000,.000,9,,,,P
180,127 (2),Sep 1 (1),CHC,@,CIN,L,5-6,5-9,1,1,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,.500,.500,.500,1.000,9,.26,0.012,0.38,P
181,138 (10),Sep 13,CHC,@,PHI,L,1-6,5-GF,1,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,.667,.667,.667,1.333,9,.06,0.002,0.12,P
182,142 (3),Sep 17,CHC,@,NYG,W,9-8,5-8,1,1,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,.500,.500,.500,1.000,9,.29,-0.008,-0.32,P
183,146 (3),Sep 22 (1),CHC,,STL,L,1-8,0-GF,2,2,0,0,0,0,0,0,0,,2,0,0,,,0,0,0,.333,.333,.333,.667,9,,,,P
184,147,Sep 22 (2),CHC,,STL,L,1-2,0-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,.333,.333,.333,.667,7,,,,PR
185,151 (3),Sep 26,CHC,,PIT,L,6-7,0-0,3,3,1,1,0,0,0,1,0,,1,0,0,,,0,0,0,.333,.333,.333,.667,9,,,,P
