1,17 (16),Apr 24,OAK,,NYY,L,1-3,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,5,2.57,-0.104,-0.52,PH
2,20 (2),Apr 28,OAK,,BAL,W,8-5,GS-8,5,4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,.000,.167,.000,.167,2,.64,-0.053,-0.76,RF LF
3,22 (1),Apr 30,OAK,,BOS,W,5-4,CG(11),4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.100,.000,.100,8,1.77,-0.177,-1.32,LF
4,23,May 1,OAK,,BOS,W,7-5,GS-7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.083,.000,.083,8,1.17,-0.059,-0.47,LF
5,24,May 2,OAK,,BOS,L,1-2,CG,5,3,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,.000,.125,.000,.125,1,1.41,-0.005,0.57,RF
6,28 (3),May 7,OAK,@,BAL,W,5-3,CG,4,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.111,.200,.111,.311,8,1.57,0.085,0.71,LF
7,29,May 8,OAK,@,BAL,L,2-8,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.095,.174,.095,.269,9,.82,-0.047,-1.14,LF
8,36 (6),May 16,OAK,,CHW,L,1-3,CG,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.125,.192,.125,.317,8,.65,-0.027,-0.27,LF
9,37,May 17,OAK,,CHW,L,1-5,CG,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.115,.207,.115,.322,7,.87,0.018,0.18,LF
10,38,May 18,OAK,,MIL,L,0-8,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.100,.182,.100,.282,2,.43,-0.045,-0.78,LF
11,39,May 19,OAK,,MIL,W,12-4,CG,5,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.088,.184,.088,.272,2,.58,-0.027,-0.40,LF
12,40,May 20 (1),OAK,,MIL,W,7-6,CG,5,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.128,.209,.128,.338,2,.60,-0.002,-0.19,LF
13,41,May 20 (2),OAK,,MIL,W,2-1,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.119,.196,.119,.315,8,1.34,-0.152,-1.31,LF
14,45 (3),May 25,OAK,@,MIL,L,2-3,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.109,.180,.109,.289,2,.98,-0.103,-0.96,LF
15,48 (2),May 28,OAK,@,MIN,L,7-10,8-GF,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.128,.196,.128,.324,1,.38,0.019,0.40,LF
16,54 (5),Jun 4,OAK,,CLE,L,4-5,14-GF(14),1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.125,.192,.125,.317,5,1.79,-0.046,-0.10,PH
17,55,Jun 5,OAK,,CLE,L,3-12,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.135,.196,.135,.331,7,.24,-0.025,-0.49,DH
18,59 (3),Jun 10,OAK,,TOR,W,12-1,CG,5,4,1,2,1,0,0,4,1,0,1,0,0,0,0,0,0,0,.161,.230,.179,.408,3,.43,0.106,3.21,DH
19,60,Jun 11,OAK,@,DET,L,1-3,CG,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.167,.231,.183,.414,7,1.80,-0.078,-0.31,LF
20,62 (1),Jun 13,OAK,@,CLE,L,4-6,CG,5,5,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.185,.243,.215,.458,1,.82,-0.005,0.30,LF
21,63,Jun 14,OAK,@,CLE,L,1-2,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.174,.230,.203,.433,1,.77,-0.078,-0.69,LF
22,67 (3),Jun 18,OAK,,KCR,L,2-3,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.164,.218,.192,.410,3,1.20,-0.094,-0.83,LF
23,71 (3),Jun 22,OAK,,TEX,W,6-5,CG,3,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,.173,.225,.227,.452,9,.54,-0.012,-0.26,LF
24,72,Jun 23,OAK,,TEX,L,5-8,CG(10),4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.165,.214,.215,.429,9,1.65,-0.168,-1.00,LF
25,74 (1),Jun 24 (2),OAK,,TEX,L,2-7,CG,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.169,.216,.217,.433,2,1.44,-0.033,0.00,RF
26,75,Jun 26,OAK,@,KCR,L,6-7,CG(10),5,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.161,.204,.207,.411,9,1.39,-0.111,-1.60,RF
27,76,Jun 27,OAK,@,KCR,L,3-10,CG,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.157,.216,.202,.419,9,.95,-0.001,-0.52,LF
28,77,Jun 28,OAK,@,KCR,L,6-7,CG,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.151,.208,.194,.401,9,.98,-0.029,-0.65,LF
29,78,Jun 29,OAK,@,TEX,L,3-5,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.151,.208,.194,.401,8,,,,PR
30,79,Jun 30,OAK,@,TEX,L,3-4,GS-6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.147,.204,.189,.393,7,1.06,-0.057,-0.48,LF
31,80,Jul 1,OAK,@,TEX,W,13-12,CG(15),8,6,2,3,0,0,0,1,2,1,0,0,0,0,0,0,0,0,.168,.234,.208,.442,8,1.97,0.185,1.24,LF RF
32,85 (4),Jul 6 (1),OAK,,NYY,L,3-4,8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.168,.234,.208,.442,9,,,,LF
33,87 (1),Jul 7,OAK,,NYY,L,3-8,GS-8,3,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.175,.237,.214,.450,7,1.70,-0.006,-0.27,LF
34,131 (43),Aug 26,OAK,@,CLE,L,5-7,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.175,.237,.214,.450,2,,,,RF
35,141 (9),Sep 7,OAK,,CHW,W,4-3,8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.175,.237,.214,.450,8,,,,PR RF
36,142,Sep 8,OAK,,CHW,W,2-1,9-GF,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,0,.175,.237,.214,.450,7,,0.000,0.00,PR
37,148 (5),Sep 14,OAK,@,CHW,W,8-3,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.175,.237,.214,.450,8,,,,RF
38,150 (1),Sep 16,OAK,@,CHW,L,2-5,7-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.175,.237,.214,.450,7,,,,PR RF
39,153 (2),Sep 19,OAK,,TEX,L,4-9,CG,4,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.179,.246,.217,.463,8,.53,0.022,0.06,RF
