3 (2),Apr 9,KCR,@,CHW,W,2-1,CG,35,9.0,11,1,0,12,0,C
6 (2),Apr 12,KCR,,NYY,W,6-4,CG,33,9.0,9,0,0,9,0,C
8 (1),Apr 14,KCR,,CLE,W,9-3,CG,37,9.0,12,1,1,14,1,C
10 (1),Apr 17,KCR,@,TEX,W,12-3,CG,40,9.0,10,0,0,10,0,C
12 (1),Apr 19,KCR,@,TEX,L,5-6,CG,38,8.0,10,0,0,10,0,C
15 (2),Apr 23,KCR,@,CLE,L,2-5,CG,31,8.0,8,1,1,10,0,C
17 (1),Apr 25,KCR,,DET,L,1-9,CG,41,9.0,5,0,0,5,0,C
18,Apr 26,KCR,,DET,L,2-3,GF,3,1.0,0,0,0,0,0,PH C
20 (1),Apr 28,KCR,,TOR,L,1-8,CG,45,9.0,8,0,0,8,0,C
22 (1),Apr 30,KCR,,TOR,W,8-6,CG,38,9.0,2,0,0,2,0,C
25 (2),May 3,KCR,@,MIN,W,7-5,CG,39,9.0,7,1,1,9,0,C
27 (1),May 5,KCR,,CHW,W,8-7,CG,53,11.0,13,0,0,13,0,C
28,May 6,KCR,,SEA,W,9-1,GF,5,1.0,1,0,0,1,0,C
30 (1),May 8,KCR,@,LAA,L,1-4,CG,37,8.0,10,0,0,10,0,C
33 (2),May 12,KCR,@,OAK,L,3-12,CG,45,8.0,7,0,0,7,0,C
35 (1),May 14,KCR,,BAL,L,5-9,CG,45,9.0,5,0,0,5,0,C
38 (2),May 17,KCR,,BAL,W,7-4,CG,37,9.0,6,1,1,8,0,C
40 (1),May 20,KCR,,CLE,L,5-6,CG,41,9.0,2,0,0,2,0,C
42 (1),May 22,KCR,@,STL,L,0-5,CG,34,8.0,9,0,0,9,0,C
45 (2),May 25,KCR,,DET,L,1-13,CG,51,9.0,9,0,0,9,0,C
47 (1),May 27,KCR,,DET,L,3-8,CG,39,9.0,2,0,0,2,0,C
49 (1),May 30,KCR,,CHW,L,3-5,GS,11,3.0,2,0,1,3,0,C
88 (38),Jul 12,KCR,@,BOS,L,0-6,CG,44,8.0,7,0,0,7,0,C
93 (4),Jul 21 (2),KCR,,LAA,L,2-10,CG,45,9.0,11,0,0,11,0,C
97 (3),Jul 26,KCR,,TEX,L,2-7,CG,43,9.0,9,1,0,10,0,C
99 (1),Jul 28,KCR,@,BAL,W,4-3,GF,10,3.0,2,0,0,2,0,C
101 (1),Jul 30,KCR,@,BAL,L,3-7,CG,36,8.0,6,0,0,6,0,C
104 (2),Aug 2,KCR,@,TBR,W,4-1,GS,25,7.0,8,0,0,8,0,C
106 (1),Aug 4,KCR,,SEA,L,6-7,GF,3,1.0,1,0,0,1,0,C
114 (7),Aug 13,KCR,@,MIN,W,5-4,CG,40,9.0,5,0,0,5,0,C
117 (2),Aug 16,KCR,@,DET,W,3-2,CG,42,10.0,8,1,0,9,0,C
119 (1),Aug 18,KCR,@,CHW,W,5-4,CG,41,9.0,9,0,1,10,1,C
124 (4),Aug 24,KCR,,CLE,L,6-10,CG,41,9.0,5,1,0,6,1,C
129 (4),Aug 29,KCR,@,SEA,L,4-8,CG,34,8.0,6,0,0,6,0,C
134 (4),Sep 4,KCR,,LAA,L,1-2,CG,36,9.0,7,1,0,8,1,C
139 (4),Sep 9,KCR,,DET,W,5-1,CG,36,9.0,11,0,0,11,0,C
143 (3),Sep 13,KCR,@,CLE,W,7-0,CG,35,9.0,5,0,0,5,0,C
144,Sep 15,KCR,@,DET,W,11-1,CG,37,9.0,10,0,0,10,0,C
147 (2),Sep 18,KCR,@,CHW,W,11-0,CG,29,9.0,5,0,0,5,0,C
148,Sep 19,KCR,@,CHW,L,3-13,GF,34,6.0,7,1,0,8,0,C
149,Sep 20,KCR,@,CHW,W,2-1,CG,36,9.0,7,1,0,8,0,C
152 (2),Sep 23,KCR,,BOS,L,2-9,CG,45,9.0,6,0,0,6,0,C
154 (1),Sep 25,KCR,,MIN,L,4-9,CG,43,9.0,5,1,1,7,0,C
158 (3),Sep 29,KCR,@,NYY,L,3-4,CG,39,8.2,7,0,1,8,0,C
159,Sep 30,KCR,@,NYY,W,4-3,CG,35,9.0,9,2,0,11,0,C
162 (2),Oct 4,KCR,@,MIN,L,4-13,CG,42,8.0,5,0,0,5,0,C
