3 (2),Apr 14,MLN,@,CHC,L,2-3,CG,35,8.2,0,3,0,3,0,P
7 (3),Apr 24,MLN,@,PIT,L,6-7,GS,19,3.2,0,1,0,1,0,P
11 (3),Apr 29,MLN,,SFG,L,3-7,GS,24,5.0,0,4,0,4,0,P
15 (3),May 4,MLN,,LAD,W,10-6,GS,29,7.0,0,0,0,0,0,P
19 (3),May 9,MLN,,CHC,W,8-5,CG,38,9.0,2,2,0,4,0,P
22 (2),May 13,MLN,@,SFG,L,5-8,GS,21,4.1,0,1,0,1,0,P
31 (8),May 22,MLN,,PIT,L,1-2,GS,30,8.0,1,2,1,4,0,P
35 (3),May 27,MLN,,LAD,W,10-8,GS,7,0.2,1,1,0,2,0,P
37 (1),May 30 (1),MLN,@,PHI,W,3-1,CG,36,9.0,1,0,0,1,0,P
42 (4),Jun 3,MLN,,STL,W,9-3,CG,39,9.0,2,1,0,3,0,P
48 (5),Jun 9,MLN,@,CHC,L,10-11,GS,16,2.2,0,0,0,0,0,P
51 (2),Jun 11 (2),MLN,@,CHC,L,3-5,GF,8,2.0,0,0,0,0,0,P
55 (3),Jun 17,MLN,@,LAD,L,0-3,GS,30,7.0,1,1,0,2,0,P
59 (3),Jun 22,MLN,,SFG,W,8-6,GS,40,8.0,0,1,0,1,0,P
64 (4),Jun 27,MLN,@,STL,W,3-0,CG,34,9.0,0,1,0,1,0,P
70 (5),Jul 3,MLN,,LAD,L,2-3,GS,35,8.0,1,4,0,5,0,P
76 (5),Jul 8,MLN,,PIT,L,3-4,GS,24,5.0,0,1,0,1,0,P
79 (2),Jul 14,MLN,@,STL,L,1-2,CG,34,8.1,0,1,0,1,0,P
84 (4),Jul 19 (1),MLN,@,PHI,W,8-5,GS,37,8.1,0,0,0,0,0,P
89 (4),Jul 23 (1),MLN,@,PIT,W,11-4,CG,41,9.0,1,3,0,4,0,P
96 (6),Jul 29,MLN,,STL,W,2-1,CG,32,9.0,1,2,0,3,0,P
100 (3),Aug 2 (2),MLN,@,CHC,T,7-7,GS,7,1.0,0,0,0,0,0,P
103 (2),Aug 5,MLN,@,SFG,W,9-3,CG,38,9.0,2,0,0,2,0,P
106 (2),Aug 9,MLN,@,LAD,L,3-8,,9,2.0,0,1,0,1,0,P
110 (3),Aug 14,MLN,,PIT,W,8-3,GS,11,2.1,0,0,0,0,0,P
113 (2),Aug 17,MLN,,PHI,W,7-6,GS,32,8.0,1,2,0,3,0,P
118 (4),Aug 22,MLN,@,PIT,L,1-4,GS,28,7.0,0,1,0,1,0,P
124 (5),Aug 27 (2),MLN,@,PHI,L,0-3,GS,28,7.0,1,2,0,3,1,P
129 (4),Sep 1,MLN,,LAD,L,3-4,GS,36,7.0,1,1,0,2,0,P
131 (1),Sep 3 (1),MLN,@,CHC,L,5-6,GF,1,0.1,0,0,0,0,0,P
134 (2),Sep 5,MLN,,PHI,W,5-4,GS,10,1.2,0,0,0,0,0,P
143 (8),Sep 16,MLN,@,LAD,L,7-8,,11,2.1,0,0,0,0,0,P
