1429,1,Apr 9,SDP,@,SFG,L,3-4,9-9,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,2,,0.000,0.00,PR
1430,3 (1),Apr 12,SDP,@,ATL,W,7-3,CG,6,6,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.333,.333,.500,.833,1,.79,-0.039,-0.16,LF
1431,4,Apr 13,SDP,@,ATL,L,5-7,GS-7,3,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,.375,.444,.500,.944,1,.93,0.135,1.19,LF
1432,5,Apr 14,SDP,@,ATL,L,1-3,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.385,.417,.801,1,.93,-0.060,-0.55,LF
1433,10 (4),Apr 20,SDP,,LAD,W,4-3,9-10,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.308,.357,.385,.742,9,2.20,-0.054,-0.21,PH
1434,13 (2),Apr 23,SDP,,ATL,L,2-4,5-6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.333,.357,.690,9,.63,-0.015,-0.14,PH
1435,16 (2),Apr 26,SDP,@,LAD,L,0-2,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.267,.313,.333,.646,9,.38,-0.010,-0.09,PH
1436,19 (2),Apr 30,SDP,@,PIT,L,2-6,CG,5,5,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.350,.381,.400,.781,1,.74,0.150,1.25,LF
1437,20,May 1,SDP,@,PIT,W,6-4,CG,5,5,1,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,.400,.423,.440,.863,1,.83,0.165,1.30,LF
1438,22 (1),May 4,SDP,@,CHC,L,8-12,8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.385,.407,.423,.830,9,1.45,-0.037,-0.24,PH
1439,23,May 5 susp,SDP,@,CHC,L,3-6,6-6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.385,.429,.423,.852,9,2.16,0.017,0.14,PH
1440,24,May 6,SDP,@,STL,L,2-5,9-GF,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.407,.448,.444,.893,9,1.44,0.075,0.60,PH
1441,28 (3),May 10,SDP,,CHC,L,2-6,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.393,.433,.429,.862,1,.43,-0.016,-0.48,PH
1442,29,May 11,SDP,,CHC,W,3-1,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.379,.419,.414,.833,9,.51,-0.012,-0.14,PH LF
1443,32 (2),May 15,SDP,,STL,L,4-14,6-7,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.400,.438,.433,.871,9,.73,0.034,0.94,PH
