2 (1),Apr 5,BAL,,TOR,W,3-1,GS,25,7.0,0,0,0,0,0,P
6 (3),Apr 11,BAL,@,BOS,L,1-8,GS,25,6.1,0,0,0,0,0,P
11 (4),Apr 16,BAL,@,TOR,W,11-4,GS,22,6.0,0,2,0,2,0,P
15 (3),Apr 21,BAL,,BOS,W,2-0,GS,26,7.0,0,0,0,0,0,P
20 (4),Apr 26,BAL,,TBR,W,5-4,GS,24,6.1,0,0,1,1,0,P
24 (3),May 1,BAL,@,BOS,W,5-2,GS,29,7.0,0,0,0,0,0,P
29 (4),May 6,BAL,,CHW,W,6-5,GS,25,6.0,0,0,0,0,0,P
34 (4),May 12,BAL,@,KCR,L,2-3,GS,23,6.0,1,0,0,1,0,P
39 (4),May 18,BAL,@,DET,L,5-6,GS,29,6.0,1,1,0,2,1,P
44 (4),May 23,BAL,,MIN,L,0-2,GS,29,7.0,1,1,0,2,0,P
49 (4),May 29,BAL,,NYY,W,3-2,GS,27,7.0,0,0,0,0,0,P
54 (4),Jun 3,BAL,,BOS,L,2-5,GS,19,5.0,0,0,0,0,0,P
59 (4),Jun 9,BAL,@,NYY,L,2-8,GS,25,6.0,0,2,0,2,0,P
64 (4),Jun 14,BAL,@,CHW,W,10-6,GS,25,5.0,0,0,0,0,0,P
69 (4),Jun 19,BAL,,CLE,L,0-12,GS,22,4.1,0,1,0,1,1,P
74 (4),Jun 24,BAL,@,TBR,W,8-3,GS,27,7.0,0,0,0,0,0,P
80 (5),Jul 1,BAL,,TBR,L,3-10,GS,19,4.0,0,0,0,0,0,P
85 (4),Jul 6,BAL,@,MIN,L,4-6,GS,24,5.0,0,0,0,0,0,P
93 (7),Jul 18,BAL,,TEX,W,12-1,GS,23,6.0,0,1,0,1,1,P
98 (4),Jul 23,BAL,,HOU,W,9-7,GS,27,5.1,0,0,0,0,0,P
106 (7),Aug 1,BAL,,KCR,W,7-2,GS,28,8.0,0,1,0,1,0,P
112 (5),Aug 7,BAL,@,LAA,W,6-2,GS,25,7.0,0,0,0,0,0,P
117 (4),Aug 12,BAL,@,OAK,W,12-5,GS,28,6.0,2,0,0,2,0,P
127 (9),Aug 23,BAL,,OAK,W,8-7,GS,24,6.0,0,0,0,0,0,P
132 (4),Aug 29,BAL,,SEA,W,4-0,CG,33,9.0,0,2,0,2,0,P
138 (5),Sep 4,BAL,,NYY,L,4-7,GS,21,4.0,0,0,0,0,0,P
145 (6),Sep 12,BAL,@,TOR,L,2-3,GS,24,6.0,0,1,0,1,0,P
151 (5),Sep 18,BAL,,BOS,L,8-10,GS,20,4.1,0,0,0,0,0,P
