7 (6),Apr 15,SFG,@,CIN,L,10-11,GF,16,2.0,2,0,0,2,0,1B
18 (10),Apr 27 (2),SFG,,HOU,W,4-3,GS,27,7.0,2,0,1,3,0,RF
22 (3),May 1,SFG,,LAD,L,0-5,CG,38,9.0,1,1,0,2,0,RF
23,May 2,SFG,@,HOU,L,1-3,GF,17,5.0,9,2,0,11,0,1B
24,May 3,SFG,@,HOU,L,3-4,CG,37,8.0,7,1,0,8,0,1B
25,May 4,SFG,@,HOU,L,1-3,GF,4,1.0,1,0,0,1,0,PH RF
27 (1),May 7,SFG,@,STL,W,5-3,CG,35,9.0,15,0,0,15,0,1B
28,May 9,SFG,@,CHC,W,11-1,CG,39,9.0,1,0,0,1,0,RF
29,May 11,SFG,@,CHC,L,0-8,CG,37,8.0,1,0,0,1,0,RF
30,May 12,SFG,@,PIT,L,3-4,GF,22,4.2,4,2,0,6,1,1B
34 (3),May 17,SFG,@,PHI,W,5-0,GF,17,4.0,7,0,0,7,0,1B
35,May 18,SFG,@,PHI,L,8-9,GF,16,2.2,3,0,0,3,0,PH 1B
52 (16),Jun 8,SFG,,PHI,W,9-8,GF,29,7.0,12,0,0,12,0,1B
55 (2),Jun 13,SFG,,MON,W,4-2,GF,23,6.0,9,0,0,9,2,1B
56,Jun 14,SFG,,MON,L,0-8,CG,39,9.0,10,1,0,11,2,1B
60 (3),Jun 17,SFG,,CIN,W,4-0,GF,9,2.0,1,0,0,1,0,1B
61,Jun 18,SFG,,CIN,L,2-11,GF,5,1.0,1,0,0,1,0,PR 1B
67 (5),Jun 23,SFG,@,HOU,L,3-9,GF,16,3.0,2,1,0,3,0,1B
72 (4),Jun 27 (2),SFG,@,CIN,L,1-9,GF,14,4.0,2,0,0,2,0,1B
73,Jun 28,SFG,@,CIN,W,12-5,GF,11,3.0,6,0,0,6,0,1B
74,Jun 29,SFG,@,CIN,L,6-7,GF,40,7.1,2,0,0,2,0,RF
76 (1),Jul 1,SFG,@,SDP,W,5-4,GF,8,2.0,2,0,0,2,0,1B
78 (1),Jul 3,SFG,,ATL,L,4-5,GF,19,5.0,4,0,0,4,1,PH 1B
79,Jul 4 (1),SFG,,ATL,W,7-6,GF,4,1.0,0,0,0,0,0,PH 1B
80,Jul 4 (2),SFG,,ATL,W,7-3,CG,38,9.0,13,1,1,15,0,1B
81,Jul 5,SFG,,ATL,L,1-7,CG,40,9.0,4,0,0,4,1,1B
83 (1),Jul 6 (2),SFG,,ATL,W,5-0,GF,4,1.0,1,0,0,1,0,1B
84,Jul 7,SFG,,HOU,L,2-8,GF,38,8.0,12,1,0,13,1,PH 1B
85,Jul 8,SFG,,HOU,W,7-4,CG,41,9.0,9,1,0,10,2,1B
86,Jul 9,SFG,,HOU,W,10-3,CG,39,9.0,9,0,0,9,0,1B
87,Jul 10,SFG,@,LAD,W,3-0,GF,10,3.0,3,1,0,4,0,1B
91 (3),Jul 15,SFG,,SDP,L,3-10,GF,10,2.0,3,0,0,3,1,1B
93 (1),Jul 17,SFG,,LAD,W,14-13,GF,14,2.2,2,0,0,2,0,1B
100 (6),Jul 27,SFG,@,STL,L,2-8,CG,41,8.0,1,0,0,1,0,LF
103 (2),Jul 30,SFG,@,CHC,W,6-3,GF,11,2.0,1,0,0,1,0,1B
104,Jul 31,SFG,@,CHC,L,2-12,GF,12,2.0,3,0,0,3,0,PH 1B
105,Aug 1,SFG,@,PIT,W,5-1,GF,3,1.0,2,0,0,2,0,PR 1B
106,Aug 2,SFG,@,PIT,L,3-7,GF,19,4.0,6,0,0,6,0,1B
109 (2),Aug 5 (2),SFG,@,PHI,W,5-3,GF,14,3.0,5,1,0,6,1,PR 1B
112 (2),Aug 9,SFG,,STL,L,3-5,GF,7,1.0,2,0,0,2,0,1B
113,Aug 10,SFG,,STL,L,4-7,CG,40,9.0,8,2,0,10,0,1B
114,Aug 12,SFG,,PIT,W,6-3,GF,17,4.0,5,0,0,5,0,PH 1B
115,Aug 13,SFG,,PIT,L,5-10,CG,44,9.0,7,0,0,7,0,1B
