48,5 (4),Apr 23,CHC,,PIT,W,2-1,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.000,.000,.000,.000,1,2.27,-0.058,-0.24,PH
49,7 (1),Apr 25,CHC,@,CIN,L,3-4,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.000,.000,.000,.000,9,2.87,-0.073,-0.24,PH
50,8,Apr 27,CHC,,STL,L,0-3,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.000,.000,.000,.000,9,1.69,-0.053,-0.61,PH
51,11 (2),May 1,CHC,@,NYG,L,3-5,9-GF,1,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,.250,.250,.250,.500,9,.44,0.024,0.13,PH
52,12,May 2,CHC,@,NYG,L,1-8,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.143,.143,.143,.286,7,1.28,-0.102,-0.71,C
53,14 (1),May 4,CHC,@,BSN,L,3-9,9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,.125,.125,.125,.250,9,.02,0.000,-0.22,PH
54,16 (1),May 6 (1),CHC,@,PHI,L,4-5,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.111,.111,.111,.222,1,2.06,-0.049,-0.29,PH
55,17,May 6 (2),CHC,@,PHI,W,9-7,CG(10),5,5,2,3,0,1,0,1,0,0,0,0,0,,0,0,0,0,.286,.286,.429,.714,7,1.32,0.371,1.59,C
56,19 (1),May 9,CHC,@,BRO,L,4-5,4-GF,3,3,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,.235,.235,.353,.588,7,1.12,-0.089,-0.11,PH C
57,20,May 10,CHC,@,BRO,L,1-6,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.222,.222,.333,.556,9,.05,-0.001,-0.23,PH
58,23 (2),May 13 (1),CHC,@,PIT,L,1-2,0-0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,.211,.211,.316,.526,9,,,,PH
59,25 (1),May 15,CHC,,BRO,L,4-8,5-5,1,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,.211,.250,.316,.566,9,2.56,0.101,0.84,PH
60,26,May 16,CHC,,BRO,W,14-4,CG,5,3,1,0,0,0,0,0,2,1,1,0,0,,0,0,0,0,.182,.280,.273,.553,7,.17,0.001,0.15,C
61,27,May 17,CHC,,BRO,W,7-0,CG,4,3,1,2,0,0,0,0,1,0,0,0,0,,1,0,0,0,.240,.345,.320,.665,7,.57,0.053,1.25,C
62,29 (1),May 19,CHC,,PHI,L,1-2,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.231,.333,.308,.641,8,10.84,-0.273,-0.78,PH
63,30,May 20 (1),CHC,,BSN,W,4-3,5-6,1,1,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,.222,.323,.296,.619,9,2.21,-0.013,0.04,PH
64,31,May 20 (2),CHC,,BSN,W,5-4,9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,.214,.313,.286,.598,8,6.09,-0.185,-0.59,PH
65,32,May 23,CHC,,NYG,L,1-2,9-9,1,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,.241,.333,.310,.644,9,3.51,0.073,0.21,PH
66,34 (1),May 26,CHC,,PIT,W,5-4,CG(10),5,4,1,3,0,0,1,1,1,1,1,0,0,,0,0,1,0,.303,.395,.455,.849,7,1.44,0.231,2.10,C
67,35,May 30 (1),CHC,@,CIN,L,5-6,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.303,.395,.455,.849,8,,,,C
68,36,May 30 (2),CHC,@,CIN,W,5-1,CG,4,4,1,1,0,0,1,3,0,0,0,0,0,,0,0,0,0,.297,.381,.514,.894,6,2.48,0.098,0.77,C
69,40 (3),Jun 3 (2),CHC,@,BRO,L,2-3,GS-8,3,3,0,0,0,0,0,1,0,0,0,0,0,,0,1,0,0,.275,.356,.475,.831,6,1.96,-0.089,-0.77,C
70,41,Jun 5,CHC,@,PHI,W,3-2,CG,4,4,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,.273,.347,.477,.824,4,.86,-0.021,-0.27,C
71,42,Jun 6,CHC,@,PHI,L,1-9,CG,4,4,1,3,0,1,0,0,0,0,0,0,0,,0,0,0,0,.313,.377,.542,.919,4,.37,0.034,1.25,C
72,43,Jun 7,CHC,@,PHI,L,1-7,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.288,.351,.500,.851,4,.65,-0.068,-0.93,C
73,44,Jun 9,CHC,@,NYG,L,1-10,8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.283,.345,.491,.835,9,.04,-0.001,-0.48,PH
74,46 (1),Jun 10 (2),CHC,@,NYG,W,7-3,CG,4,4,1,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,.333,.387,.526,.913,7,.68,0.147,2.14,C
75,47,Jun 12,CHC,,PHI,L,5-6,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,.328,.379,.508,.887,7,1.47,-0.143,-1.64,C
76,49 (1),Jun 14,CHC,,PHI,L,3-11,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,,1,0,0,0,.323,.371,.492,.864,7,.97,0.113,1.04,C
77,52 (2),Jun 17,CHC,,BRO,L,2-3,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.318,.366,.485,.851,6,1.83,-0.047,-0.11,PH
78,54 (1),Jun 19,CHC,,BSN,W,3-0,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,.304,.360,.464,.824,4,.59,-0.013,-0.47,C
79,56 (1),Jun 22,CHC,,NYG,L,6-9,9-10,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.300,.355,.457,.812,9,3.22,-0.081,-0.45,PH
80,62 (5),Jun 29,CHC,@,STL,T,6-6,CG,4,4,2,2,1,0,0,0,0,0,0,0,0,,,0,0,0,.311,.363,.473,.835,5,,,,C
81,64 (1),Jul 1 (2),CHC,@,CIN,W,7-5,CG(11),5,4,1,2,0,0,0,1,1,0,0,0,0,,0,0,0,0,.321,.376,.474,.851,5,1.26,0.080,1.16,C
82,66 (1),Jul 3,CHC,@,PIT,L,0-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.305,.360,.451,.811,5,1.60,-0.130,-0.95,C
83,67,Jul 4,CHC,,STL,L,5-10,CG,4,4,1,0,0,0,0,0,0,0,1,0,0,,1,0,0,0,.291,.344,.430,.774,6,.49,-0.026,-0.11,C
84,69 (1),Jul 6,CHC,,CIN,L,2-4,9-9,1,1,0,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,.299,.351,.437,.788,1,1.65,0.055,1.06,PH
85,71 (1),Jul 12,CHC,@,BRO,L,3-9,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.295,.347,.432,.779,9,.13,-0.003,-0.36,PH
86,72,Jul 13,CHC,@,BRO,L,6-8,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,.293,.343,.424,.767,8,.40,-0.026,-0.17,C
87,80 (7),Jul 20,CHC,@,PHI,L,3-4,0-GF(11),0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.293,.343,.424,.767,8,,,,C
88,81,Jul 21,CHC,@,PHI,L,0-5,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.290,.340,.419,.759,8,.26,-0.006,-0.23,PH C
89,82,Jul 22 (1),CHC,@,PHI,W,8-7,GS-12,6,5,1,2,0,0,0,0,1,0,0,0,0,,0,1,0,0,.296,.349,.418,.767,6,1.66,-0.118,-1.62,C
90,83,Jul 22 susp,CHC,@,PHI,L,2-3,9-GF(12),2,2,0,1,0,0,0,1,0,0,0,0,0,,1,0,0,0,.300,.352,.420,.772,8,3.37,0.449,1.54,PH C
91,84,Jul 24,CHC,,BRO,L,3-6,GS-8,3,2,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,.294,.351,.412,.763,5,1.01,-0.022,-0.38,C
92,86 (1),Jul 26,CHC,,BRO,L,1-9,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.283,.339,.396,.735,5,.81,-0.086,-0.96,C
93,87,Jul 27,CHC,,PHI,L,0-2,GS-9,4,4,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,.282,.336,.391,.727,5,1.46,0.024,0.03,C
94,88,Jul 28,CHC,,PHI,L,0-1,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,.281,.333,.386,.719,5,1.72,-0.140,-0.52,C
95,89,Jul 29 (1),CHC,,PHI,W,5-4,GS-9,4,4,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,.280,.331,.381,.712,5,1.20,0.009,-0.25,C
96,90,Jul 29 (2),CHC,,PHI,W,8-6,7-GF,1,0,1,0,0,0,0,0,1,1,0,0,0,,0,0,0,0,.280,.336,.381,.717,8,3.34,0.018,0.17,PH C
97,92 (1),Jul 31,CHC,,NYG,L,3-4,GS-8,4,4,0,2,0,0,0,1,0,0,0,0,0,,0,0,0,0,.287,.341,.385,.726,7,1.29,0.037,0.51,C
98,93,Aug 1 (1),CHC,,NYG,W,3-2,GS-7,3,3,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,.280,.333,.376,.709,6,1.36,-0.103,-0.84,C
99,94,Aug 1 (2),CHC,,NYG,L,0-2,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,.273,.326,.367,.693,7,1.50,-0.196,-1.63,C
100,95,Aug 2,CHC,,NYG,W,6-3,CG,4,4,1,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,.265,.317,.356,.673,7,1.56,-0.211,-2.16,C
101,96,Aug 3,CHC,,BSN,W,2-1,CG,3,3,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,.274,.324,.363,.687,7,1.23,0.064,0.75,C
102,97,Aug 4,CHC,,BSN,W,7-6,GS-10,5,5,1,2,0,0,0,1,0,0,0,0,0,,0,1,0,0,.279,.327,.364,.691,7,1.36,0.120,-0.10,C
103,98,Aug 5 (1),CHC,,BSN,L,4-7,GS-7,2,2,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,.275,.322,.359,.682,8,1.24,-0.041,-0.29,C
104,99,Aug 5 (2),CHC,,BSN,L,3-4,6-GF,2,2,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,.278,.325,.361,.686,8,2.31,-0.128,-0.41,C
105,100,Aug 7,CHC,,CIN,W,4-1,CG,4,4,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,.270,.316,.351,.668,7,.48,-0.051,-0.87,C
106,101,Aug 8 (1),CHC,,CIN,L,5-7,GS-8,3,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.265,.311,.344,.655,7,.79,-0.065,-1.25,C
107,102,Aug 8 (2),CHC,,CIN,L,3-4,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.263,.309,.342,.651,8,3.25,-0.080,-0.59,PH C
108,103,Aug 9,CHC,,CIN,W,5-4,CG,4,3,1,2,0,0,0,1,1,0,0,0,0,,0,0,0,0,.271,.319,.348,.668,7,1.08,0.046,0.36,C
109,104,Aug 10,CHC,,PIT,L,0-3,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,,0,1,0,0,.272,.324,.348,.672,7,1.31,-0.078,-0.50,C
110,105,Aug 11 (1),CHC,,PIT,W,4-3,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.267,.318,.342,.660,7,1.27,-0.094,-0.64,C
111,106,Aug 11 (2),CHC,,PIT,L,1-2,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.265,.316,.340,.656,8,3.93,-0.109,-0.50,PH C
112,107,Aug 12 (1),CHC,,PIT,L,0-1,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.261,.311,.333,.644,7,1.97,-0.155,-0.91,C
113,111 (3),Aug 15,CHC,@,CIN,L,0-1,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.261,.311,.333,.644,8,,,,C
114,113 (1),Aug 17,CHC,@,PIT,L,3-8,0-0,1,0,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,.261,.315,.333,.648,9,,,,PH
115,117 (3),Aug 21,CHC,@,PHI,L,1-4,0-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,.259,.313,.331,.644,9,,,,PH
116,118,Aug 22,CHC,@,PHI,L,0-4,8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,.257,.311,.329,.640,9,1.12,-0.045,-0.51,PH
117,119,Aug 24,CHC,@,BRO,L,0-1,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.256,.309,.327,.637,9,2.88,-0.074,-0.24,PH
118,121 (1),Aug 26 (1),CHC,@,NYG,L,4-5,9-9,1,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,.256,.313,.327,.641,8,.95,0.046,0.39,PH
119,122,Aug 26 (2),CHC,@,NYG,L,1-5,CG,4,2,0,0,0,0,0,0,2,1,0,0,0,,0,0,0,0,.253,.317,.324,.641,7,.79,0.031,0.22,C
120,124 (1),Aug 27 (2),CHC,@,NYG,L,3-6,7-GF,2,2,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,.250,.314,.320,.634,8,.76,-0.062,-0.94,PH C
121,126 (1),Aug 29,CHC,@,BSN,L,1-4,7-9,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.249,.312,.318,.630,8,3.18,-0.071,-0.46,PH C
122,127,Aug 30,CHC,@,BSN,L,2-16,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,.250,.316,.318,.634,6,.14,0.017,0.22,C
123,128,Sep 1,CHC,,CIN,L,3-4,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.249,.314,.316,.631,8,7.25,-0.461,-1.19,PH
124,131 (2),Sep 3 (1),CHC,,PIT,W,11-10,GS-7,3,2,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,.246,.315,.313,.628,6,.82,0.026,0.26,C
125,132,Sep 3 (2),CHC,,PIT,L,3-4,CG(7),3,3,0,1,1,0,0,1,0,0,0,0,0,,,0,0,0,.247,.315,.319,.634,6,,,,C
126,133,Sep 5 (1),CHC,,STL,W,3-2,8-GF(11),2,2,0,2,0,0,0,1,0,0,0,0,0,,0,0,0,0,.255,.322,.326,.648,7,3.35,0.435,1.21,C
