9 (8),Apr 26,CIN,,PIT,L,4-8,GS,38,8.0,3,0,0,3,0,C
13 (3),May 4 (1),CIN,@,CHC,L,4-5,GF,7,1.2,2,0,0,2,0,PH C
14,May 4 (2),CIN,@,CHC,W,3-2,GS,51,13.0,8,0,0,8,0,C
15,May 6,CIN,@,CHC,L,0-4,CG,32,8.0,8,1,0,9,0,C
17 (1),May 8,CIN,@,CHC,W,10-8,GF,3,1.0,1,0,0,1,0,PH C
19 (1),May 10,CIN,@,MLN,L,3-5,CG,31,8.0,5,0,1,6,0,C
20,May 11,CIN,@,MLN,L,6-7,CG,38,8.0,4,0,0,4,0,C
23 (2),May 15,CIN,@,PIT,W,9-4,GS,25,6.0,5,0,0,5,0,C
32 (8),May 25 (2),CIN,,STL,W,7-3,CG,39,9.0,6,1,0,7,0,C
35 (2),May 30,CIN,@,PHI,W,10-1,CG,32,9.0,11,1,0,12,0,C
36,May 31,CIN,@,PHI,L,4-5,CG,36,8.0,2,1,0,3,1,C
37,Jun 1 (1),CIN,@,PHI,W,2-1,CG,36,9.0,4,0,0,4,0,C
39 (1),Jun 2,CIN,,PIT,W,8-2,CG,33,9.0,8,0,0,8,0,C
40,Jun 3,CIN,@,LAD,W,8-3,CG,37,9.0,7,2,0,9,0,C
41,Jun 4,CIN,@,LAD,L,0-3,CG,31,8.0,8,1,0,9,0,C
43 (1),Jun 6,CIN,@,SFG,W,5-4,GS,28,7.0,6,0,1,7,0,C
44,Jun 7,CIN,@,SFG,L,3-7,CG,39,8.0,2,1,1,4,0,C
47 (2),Jun 11,CIN,@,STL,L,2-3,CG,49,11.0,7,1,0,8,1,C
50 (2),Jun 15 (1),CIN,@,CHC,W,7-0,CG,34,9.0,8,0,0,8,0,C
52 (1),Jun 16,CIN,,STL,L,5-6,CG,49,11.0,7,1,0,8,0,C
57 (4),Jun 22 (1),CIN,,CHC,W,6-2,CG,40,9.0,7,0,0,7,0,C
61 (3),Jun 24 (2),CIN,,LAD,L,2-7,CG,43,11.0,4,0,0,4,0,C
64 (2),Jun 28,CIN,,SFG,W,8-2,CG,35,9.0,7,0,0,7,0,C
66 (1),Jun 30,CIN,@,MLN,L,2-9,GF,19,4.0,3,0,0,3,0,C
67,Jul 1,CIN,@,MLN,L,0-1,CG,35,8.0,2,1,0,3,0,C
68,Jul 2,CIN,@,MLN,W,1-0,CG,34,9.0,2,0,0,2,0,C
69,Jul 3,CIN,,PIT,L,0-2,CG,33,9.0,6,0,0,6,0,C
71 (1),Jul 4 (2),CIN,,PIT,W,8-3,CG,39,9.0,7,0,0,7,0,C
74 (2),Jul 6 (2),CIN,,PHI,W,11-4,CG,40,9.0,4,0,0,4,0,C
77 (2),Jul 12,CIN,@,LAD,L,3-4,CG,31,8.0,3,1,0,4,0,C
79 (1),Jul 13 (2),CIN,@,LAD,L,2-3,CG,32,8.0,11,0,0,11,0,C
81 (1),Jul 16 (1),CIN,@,CHC,L,4-5,CG,32,8.0,8,1,0,9,0,C
85 (3),Jul 18 (2),CIN,,STL,W,2-1,CG,35,9.0,4,0,0,4,0,C
86,Jul 19,CIN,,STL,L,0-1,GF,6,1.0,1,0,0,1,0,PH C
89 (2),Jul 23,CIN,,CHC,W,6-5,GS,39,9.0,7,0,0,7,0,C
99 (9),Aug 1,CIN,,LAD,L,2-6,GF,15,2.0,0,0,0,0,0,PH C
100,Aug 2,CIN,,LAD,L,2-3,CG,36,9.0,8,0,0,8,0,C
102 (1),Aug 3 (2),CIN,,LAD,W,3-1,CG,35,9.0,3,0,0,3,0,C
103,Aug 5,CIN,,PHI,W,6-5,CG,38,9.0,4,1,0,5,0,C
104,Aug 6,CIN,,PHI,L,5-8,CG,42,9.0,6,0,0,6,0,C
106 (1),Aug 8,CIN,@,PIT,L,0-1,CG,30,8.0,9,0,0,9,0,C
108 (1),Aug 10 (1),CIN,@,PIT,L,2-3,CG,39,9.1,4,1,0,5,0,C
112 (3),Aug 13 (1),CIN,,MLN,L,2-9,CG,43,9.0,4,1,0,5,0,C
118 (5),Aug 17 (2),CIN,,PIT,W,7-5,CG,36,9.0,2,0,0,2,0,C
119,Aug 19,CIN,@,SFG,L,3-4,CG,42,9.0,5,0,0,5,0,C
131 (11),Aug 31 (2),CIN,,PHI,W,7-3,CG,40,9.0,4,1,0,5,0,C
133 (1),Sep 1 (2),CIN,@,STL,W,9-3,CG,36,9.0,1,1,1,3,0,C
134,Sep 2,CIN,@,STL,L,2-4,CG,35,8.0,1,0,0,1,0,C
135,Sep 3,CIN,,PIT,W,7-4,CG,38,9.0,7,0,0,7,0,C
136,Sep 5,CIN,@,PHI,W,8-4,CG,38,9.0,3,2,0,5,0,C
137,Sep 6,CIN,@,PHI,W,10-2,CG,34,9.0,6,0,0,6,0,C
138,Sep 7 (1),CIN,@,PHI,W,6-4,CG,40,9.0,9,1,0,10,0,C
140 (1),Sep 8,CIN,@,PIT,L,1-4,CG,31,8.0,8,0,0,8,0,C
142 (1),Sep 10,CIN,@,MLN,L,0-3,CG,35,8.0,3,0,0,3,0,C
145 (2),Sep 14 (1),CIN,,SFG,W,4-3,CG,39,9.0,5,0,0,5,0,C
149 (3),Sep 19,CIN,,MLN,W,7-1,CG,35,9.0,7,0,0,7,0,C
150,Sep 20,CIN,,MLN,L,1-5,CG,29,6.0,1,0,0,1,0,C
152 (1),Sep 26,CIN,@,MLN,L,1-2,CG,34,8.0,8,0,0,8,0,C
