6 (5),Apr 15,MIN,@,NYY,L,4-11,GF,5,0.2,0,0,0,0,0,P
7,Apr 17,MIN,@,NYY,L,0-10,GF,10,3.0,0,1,0,1,0,P
8,Apr 18,MIN,@,NYY,W,5-4,,1,0.1,0,0,0,0,0,P
12 (3),Apr 25,MIN,,BAL,W,7-2,GF,30,8.2,0,1,0,1,0,P
14 (1),Apr 28,MIN,,CLE,L,0-9,,2,0.0,0,0,0,0,0,P
16 (1),May 4,MIN,@,DET,W,5-4,,2,0.1,0,0,0,0,0,P
21 (4),May 10,MIN,@,KCR,W,5-4,,3,0.2,0,0,0,0,0,P
22,May 11,MIN,@,KCR,L,3-6,GF,8,1.2,0,3,0,3,0,P
27 (4),May 16,MIN,@,CAL,L,1-5,,2,0.1,0,0,0,0,0,P
30 (2),May 19,MIN,@,CHW,L,1-4,GF,6,1.1,0,0,0,0,0,P
31,May 20,MIN,@,CHW,L,2-3,GF,13,4.0,1,0,0,1,0,P
32,May 21,MIN,,KCR,L,1-5,,4,0.2,1,0,0,1,0,P
34 (1),May 23,MIN,,KCR,W,3-1,,1,0.1,0,0,0,0,0,P
39 (4),May 28,MIN,,TEX,L,0-4,,5,1.1,0,0,0,0,0,P
43 (3),Jun 1,MIN,,CAL,L,4-6,,1,0.0,0,0,0,0,0,P
45 (1),Jun 4,MIN,@,BAL,W,8-6,,27,6.2,1,2,0,3,1,P
51 (5),Jun 9,MIN,@,CLE,L,1-4,,3,0.2,0,1,0,1,0,P
52,Jun 11,MIN,,BOS,W,10-4,GF,19,6.0,1,0,0,1,0,P
54 (1),Jun 13,MIN,,BOS,L,2-10,,3,0.1,0,0,0,0,0,P
55,Jun 14,MIN,,BOS,L,0-5,,5,2.0,0,0,0,0,0,P
56,Jun 15,MIN,,NYY,L,2-4,,8,1.2,0,1,0,1,0,P
57,Jun 16,MIN,,NYY,L,4-9,,4,0.2,0,0,0,0,0,P
61 (3),Jun 20,MIN,,DET,L,3-7,GF,1,0.1,0,0,0,0,0,P
64 (2),Jun 23 (1),MIN,,CHW,L,3-4,,14,3.2,1,1,0,2,0,P
68 (3),Jun 26,MIN,@,OAK,W,11-3,GF,3,1.0,0,0,0,0,0,P
72 (3),Jun 30,MIN,,KCR,L,2-4,,2,0.0,0,0,0,0,0,P
80 (7),Jul 8,MIN,@,BOS,L,4-8,,7,1.0,0,1,0,1,0,P
81,Jul 9,MIN,@,BOS,W,8-6,,11,2.0,0,0,0,0,0,P
83 (1),Jul 11,MIN,@,BOS,L,4-6,GF,4,1.0,0,0,0,0,0,P
85 (1),Jul 16,MIN,,CLE,L,6-7,,7,2.1,0,2,0,2,0,P
87 (1),Jul 18,MIN,,CLE,L,1-6,GF,21,5.2,1,3,0,4,0,P
89 (1),Jul 20,MIN,,DET,L,3-8,,5,1.0,0,0,0,0,0,P
90,Jul 21,MIN,,BOS,W,5-1,,2,0.1,0,0,0,0,0,P
92 (1),Jul 23,MIN,@,CHW,W,6-2,GF,17,5.0,0,1,0,1,0,P
95 (2),Jul 25 (2),MIN,@,CHW,L,4-7,,3,0.1,0,0,0,0,0,P
96,Jul 26,MIN,,TEX,L,0-3,GF,2,0.2,0,0,0,0,0,P
98 (1),Jul 28 (2),MIN,,TEX,W,8-0,GF,10,2.2,0,1,0,1,1,P
100 (1),Jul 30,MIN,,OAK,W,8-7,GF,7,2.0,0,0,0,0,0,P
102 (1),Aug 1 (1),MIN,,OAK,W,8-7,,6,1.2,0,0,0,0,0,P
111 (8),Aug 10,MIN,@,BAL,L,0-2,,1,0.1,0,0,0,0,0,P
115 (3),Aug 14,MIN,,NYY,L,4-5,GF,11,3.0,1,1,0,2,0,P
116,Aug 15,MIN,,NYY,W,9-8,,5,0.2,0,0,0,0,0,P
117,Aug 16,MIN,,BAL,L,4-8,,5,0.2,1,0,0,1,0,P
122 (4),Aug 20 (2),MIN,@,DET,W,8-5,,22,5.2,0,3,0,3,0,P
125 (2),Aug 23,MIN,@,NYY,L,4-9,,6,1.2,0,0,0,0,0,P
127 (1),Aug 25,MIN,@,NYY,L,4-5,GF,25,7.2,0,1,0,1,0,P
129 (1),Aug 28,MIN,@,CLE,L,3-4,,1,0.0,0,0,0,0,0,P
131 (1),Aug 30,MIN,,MIL,W,10-3,GF,29,8.2,0,1,0,1,0,P
136 (4),Sep 3,MIN,,CHW,W,11-1,GF,12,3.0,0,0,0,0,0,P
139 (2),Sep 6,MIN,,CHW,W,3-2,,1,0.1,0,0,0,0,0,P
143 (3),Sep 10,MIN,,KCR,W,18-3,GF,5,1.0,0,0,0,0,0,P
144,Sep 11,MIN,,KCR,L,6-8,,1,0.1,0,0,0,0,0,P
145,Sep 12,MIN,,KCR,L,6-16,,7,0.1,0,0,0,0,0,P
148 (2),Sep 15,MIN,@,OAK,L,2-5,,4,0.1,0,0,0,0,0,P
151 (2),Sep 18,MIN,@,CAL,L,0-6,GF,18,4.2,0,0,0,0,0,P
153 (1),Sep 21,MIN,@,CHW,W,13-6,GF,18,4.2,0,1,0,1,0,P
160 (6),Oct 1,MIN,@,KCR,W,4-3,,1,0.1,0,0,0,0,0,P
