1604,1,Apr 8,TOR,@,KCR,L,1-2,GS-9,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.333,.667,5,1.26,0.035,0.42,DH
1605,2,Apr 10,TOR,@,KCR,W,1-0,CG(10),4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.143,.143,.286,5,2.01,-0.217,-1.09,DH
1606,3,Apr 11,TOR,@,KCR,W,4-3,GS-8,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.100,.100,.100,.200,5,1.42,-0.104,-0.76,DH
1607,4,Apr 12,TOR,@,BAL,L,2-7,GS-8,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.154,.154,.154,.308,5,1.49,-0.054,-0.32,DH
1608,5,Apr 13,TOR,@,BAL,L,7-8,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.143,.143,.286,7,2.86,-0.073,-0.23,PH
1609,7 (1),Apr 16,TOR,,TEX,L,4-9,GS-6,3,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.235,.235,.235,.471,6,1.27,0.094,0.45,DH
1610,9 (1),Apr 18,TOR,,TEX,W,4-2,GS-8,3,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,.211,.250,.211,.461,6,.80,0.088,1.01,DH
1611,11 (1),Apr 20,TOR,,BAL,W,3-2,7-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.238,.200,.438,2,3.88,-0.110,-0.52,PH
1612,12,Apr 21,TOR,,BAL,L,2-3,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.190,.227,.190,.418,6,3.59,-0.103,-0.24,PH
1613,13,Apr 22,TOR,,KCR,L,0-2,GS-7,3,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.261,.320,.304,.624,6,.79,0.102,0.68,DH
1614,14,Apr 23,TOR,,KCR,L,6-7,GS-8,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.240,.321,.280,.601,6,1.31,-0.031,-0.30,DH
1615,15,Apr 24,TOR,,KCR,W,10-2,3-GF,3,3,2,2,0,1,1,5,0,0,0,0,0,0,0,0,0,0,.286,.355,.500,.855,7,.31,0.125,4.30,PH
1616,18 (2),Apr 28,TOR,@,TEX,W,6-3,GS-9,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.258,.324,.452,.775,5,.75,-0.061,-0.65,DH
1617,19,Apr 29,TOR,@,OAK,W,2-1,GS-6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.242,.306,.424,.730,5,.80,-0.042,-0.44,DH
1618,20,Apr 30,TOR,@,OAK,W,4-3,7-9,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.257,.316,.457,.773,6,2.24,0.112,0.27,PH
1619,22 (1),May 2,TOR,@,CAL,L,2-3,8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.308,.444,.752,7,1.90,-0.053,-0.51,PH
