1,50,Jun 10,BOS,,TEX,L,3-8,9-GF,,99,1.0,0,0,0,0,1,0,0,0.00,3,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.52, 9t --- 0 out d6, 9t end d 6
2,52,Jun 12,BOS,@,CHW,L,2-9,GS-6,L(0-1),1,5.1,8,6,4,0,2,2,0,5.68,23,6,7,0,0,8,34,,,0,1,0,23,1,0,0,1,0,1,.55,-0.214,-2.24, 1b start tie, 6b 1-3 1 out d3
3,57,Jun 16,BOS,@,DET,W,6-2,GS-10,,3,9.1,6,2,2,3,3,1,0,3.45,36,8,16,1,1,6,68,,,0,1,0,32,0,0,0,0,0,0,1.44,0.120,2.42, 1b start tie,10b 1-- 1 out tie
4,64,Jun 23,BOS,,CLE,L,3-11,GS-1,L(0-2),6,0.2,3,4,0,2,1,0,0,3.31,7,1,0,0,0,3,37,,,0,1,0,5,3,0,0,0,0,0,1.08,-0.318,-3.81, 1t start tie, 1t -2- 2 out d4
5,69,Jun 28,BOS,,NYY,L,6-8,9-GF,,4,1.0,1,0,0,0,1,0,0,3.12,3,0,1,0,0,1,,0,0,0,1,0,3,0,0,0,0,0,0,.32,0.019,0.52, 9t --- 0 out d2, 9t end d 2
6,71,Jun 30(1),BOS,,BAL,W,5-2,9-9,H(1),1,0.1,0,0,0,0,1,0,0,3.06,1,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,2.24,0.067,0.81, 9t -23 1 out a3, 9t -23 2 out a3
7,72,Jun 30(2),BOS,,BAL,L,2-8,8-8,,-1,0.1,0,0,0,0,0,0,0,3.00,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.02,0.001,0.11, 8t --- 2 out d6, 8t 3 out d6
8,73,Jul 1,BOS,,BAL,L,6-10,5-5,,0,0.1,1,0,0,1,0,0,0,2.95,3,1,0,0,0,1,,2,2,0,0,0,2,0,0,1,0,0,0,2.03,-0.139,-1.08, 5t -23 1 out a2, 5t 1-3 2 out tie
9,78,Jul 5,BOS,@,CLE,L,2-12,2-GF(8),,3,6.1,7,6,3,3,4,2,0,3.28,31,10,7,1,0,7,,0,0,0,0,0,27,1,0,0,0,1,1,.04,-0.016,-3.06, 2b --- 2 out d6, 8b end d10
10,81,Jul 7,BOS,,MIN,W,6-3,7-7,H(2),1,0.2,1,0,0,1,0,0,0,3.20,4,2,1,1,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,1.55,-0.012,-0.10, 7t --- 0 out a3, 7t -23 2 out a3
11,82,Jul 8,BOS,,MIN,W,6-5,8-8,BS(1),0,0.2,0,0,0,0,0,0,0,3.12,2,2,0,0,0,0,,3,1,0,0,0,2,0,0,0,0,0,0,4.64,0.091,0.60, 8t 123 1 out a1, 8t 3 out tie
12,85,Jul 11,BOS,,TEX,W,11-8,5-7,W(1-2),2,2.2,2,1,1,2,1,0,0,3.14,12,5,2,0,0,2,,0,0,0,0,0,10,2,0,1,0,0,0,.99,-0.005,0.24, 5t --- 0 out d3, 7t -2- 2 out a1
13,91,Jul 20(1),BOS,@,TEX,L,5-10,5-6,,8,1.0,3,2,1,1,1,0,0,3.34,7,1,1,0,0,3,,1,0,1,1,0,6,1,0,0,0,0,1,.18,-0.032,-1.53, 5b -2- 1 out d5, 6b -2- 1 out d5
14,93,Jul 21,BOS,@,TEX,L,0-6,7-7,,0,1.0,1,0,0,0,0,0,0,3.23,4,2,1,0,0,1,,0,0,0,0,0,4,0,0,0,0,0,0,.02,0.001,0.47, 7b --- 0 out d6, 7b 3 out d6
15,97,Jul 25,BOS,@,NYY,L,6-8,8-GF(8),,3,1.0,1,0,0,1,1,0,0,3.13,5,1,1,0,0,1,,0,0,0,0,0,4,1,0,0,0,0,0,.24,0.013,0.47, 8b --- 0 out d2, 8b end d 2
16,103,Jul 30,BOS,,MIL,L,2-6,8-GF,,4,2.0,0,0,0,0,3,0,0,2.94,6,0,3,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.08,0.013,1.05, 8t --- 0 out d4, 9t end d 4
17,111,Aug 6,BOS,@,MIL,W,5-2,GS-4,,6,3.2,4,2,2,2,2,1,0,3.13,16,2,6,0,0,4,45,,,0,0,0,14,1,0,0,1,0,0,.83,-0.095,-0.84, 1b start tie, 4b 123 2 out d2
18,115,Aug 10,BOS,@,OAK,W,5-3,8-9,H(3),3,1.1,2,1,1,0,2,0,0,3.26,6,1,1,0,0,2,,0,0,0,0,0,6,1,0,0,0,0,0,1.61,0.015,-0.22, 8b --- 0 out a2, 9b 1-3 1 out a3
19,118,Aug 13,BOS,@,CAL,L,3-8,3-6,,2,3.2,5,2,0,1,4,0,0,2.98,18,5,3,0,0,5,,1,1,1,0,0,17,1,0,0,0,0,1,.28,-0.074,-1.21, 3b 1-- 1 out d3, 6b 3 out d6
20,122,Aug 17(1),BOS,@,CHW,L,2-6,7-8,,3,0.2,2,1,1,0,0,0,0,3.14,3,1,0,0,0,2,,1,1,0,1,1,3,0,0,0,0,0,0,.17,-0.025,-0.71, 7b -2- 2 out d3, 8b 1-- 1 out d3
21,127,Aug 23,BOS,,CHW,L,4-6,7-7,,5,0.1,2,0,0,0,0,0,0,3.12,2,0,0,0,0,2,,2,2,0,0,0,2,0,0,0,0,0,0,1.22,-0.077,-0.83, 7t 1-3 0 out d1, 7t -2- 1 out d3
22,129,Aug 26,BOS,,CAL,L,2-8,7-7,,2,0.2,0,0,0,0,0,0,0,3.07,3,2,1,0,0,0,,2,0,0,0,0,3,0,0,0,0,0,1,.71,0.027,0.74, 7t 12- 0 out d3, 7t 123 2 out d3
23,135,Sep 2,BOS,,NYY,W,7-4,8-8,H(4),6,0.1,0,0,0,1,1,0,0,3.05,2,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.45,0.007,0.11, 8t --- 2 out a3, 8t 3 out a3
24,141,Sep 7(2),BOS,@,MIL,L,3-7,8-GF(8),,4,0.1,0,0,0,0,0,0,0,3.02,1,0,1,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.09,0.002,0.43, 8b 12- 2 out d4, 8b end d 4
25,145,Sep 10(2),BOS,,DET,L,3-5,8-GF,,2,2.0,2,1,0,1,1,0,0,2.89,8,3,1,0,0,2,,0,0,0,0,0,7,0,0,0,1,0,0,.70,-0.017,0.05, 8t --- 0 out d1, 9t end d 2
26,148,Sep 13(2),BOS,,MIL,W,6-3,8-GF,S(1),2,1.2,1,0,0,0,3,0,0,2.79,6,0,2,0,0,1,,2,0,0,0,0,6,0,0,0,0,0,0,1.47,0.188,1.46, 8t 12- 1 out a2, 9t end a 3
27,150,Sep 15,BOS,,MIL,W,9-7,8-9,H(5),1,1.0,2,1,1,0,1,0,0,2.92,4,0,1,0,0,2,,2,0,0,0,0,4,2,0,0,0,0,0,.67,0.050,0.76, 8t 12- 1 out a4, 9t -2- 1 out a4
28,153,Sep 19,BOS,@,DET,W,7-5,8-8,H(6),3,0.1,0,0,0,0,0,0,0,2.90,1,0,1,0,0,0,,2,1,0,0,0,0,0,0,0,0,1,0,3.34,0.083,0.32, 8b 1-3 0 out a3, 8b 1-- 1 out a2
29,154,Sep 20,BOS,@,DET,L,1-5,4-8,,0,3.1,4,1,1,0,6,0,0,2.89,14,4,0,0,0,4,,2,0,0,0,0,14,1,0,0,0,0,0,.34,0.061,1.29, 4b 12- 2 out d3, 8b -2- 0 out d3
