18,2 (1),Apr 15,CHC,,PIT,L,4-8,4-8,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.000,.000,.000,.000,9,.24,-0.006,-0.27,P
19,5 (2),Apr 18,CHC,,STL,L,5-20,3-4,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,P
20,9 (3),Apr 23,CHC,@,PIT,W,10-9,GS-5,3,3,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.000,.000,.000,.000,9,1.00,-0.124,-1.64,P
21,12 (2),Apr 26,CHC,@,CIN,W,6-5,6-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,P
22,16 (3),May 2,CHC,@,STL,W,3-1,8-GF,1,1,1,1,0,0,0,0,0,0,0,0,0,,0,,0,0,.200,.200,.200,.400,9,.43,0.011,0.14,P
23,22 (5),May 13,CHC,@,PHI,L,5-6,8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.200,.200,.200,.400,9,,,,P
24,25 (2),May 16,CHC,@,PHI,L,5-7,8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.200,.200,.200,.400,9,,,,P
25,26,May 17,CHC,@,NYG,L,3-10,0-0,2,2,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.143,.143,.143,.286,9,,,,P
26,28 (1),May 19,CHC,@,NYG,W,8-2,6-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.125,.125,.125,.250,9,.13,-0.003,-0.46,P
27,35 (6),May 25,CHC,@,PIT,L,3-5,GS-6,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.111,.111,.111,.222,9,.38,-0.010,-0.13,P
28,39 (3),May 29,CHC,@,CIN,W,10-6,4-4,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.111,.111,.111,.222,9,,,,P
29,41 (1),May 30 (2),CHC,@,CIN,L,2-4,6-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.111,.111,.111,.222,9,,,,P
30,43 (1),Jun 1,CHC,,PIT,W,6-5,8-9,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.100,.100,.100,.200,9,.34,-0.009,-0.12,P
31,45 (1),Jun 5,CHC,,BRO,L,6-7,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.100,.100,.100,.200,9,,,,P
32,46,Jun 6,CHC,,BRO,L,9-12,6-8,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.091,.091,.091,.182,9,.41,-0.013,-0.26,P
33,49 (2),Jun 9,CHC,,NYG,L,7-9,GS-5,2,2,1,2,0,0,0,1,0,0,0,0,0,,0,,0,0,.231,.231,.231,.462,9,1.17,0.114,1.28,P
34,52 (2),Jun 12,CHC,,BSN,W,9-7,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.231,.231,.231,.462,9,,,,P
35,56 (3),Jun 16,CHC,,BSN,L,4-7,10-GF(13),1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.214,.214,.214,.429,9,2.42,-0.071,-0.26,P
36,59 (2),Jun 19,CHC,,PHI,L,4-5,GS-8,3,3,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,.235,.235,.235,.471,9,.92,-0.033,-0.10,P
37,62 (2),Jun 22,CHC,,CIN,W,9-6,2-GF,4,2,0,0,0,0,0,0,0,0,0,0,2,,0,,0,0,.211,.211,.211,.421,9,.83,-0.027,-0.74,P
38,65 (2),Jun 27,CHC,@,STL,L,0-5,6-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,.200,.200,.200,.400,9,.08,-0.002,-0.12,P
39,69 (3),Jul 1,CHC,,PIT,L,6-8,7-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.200,.200,.200,.400,9,,,,P
40,71 (1),Jul 2 (2),CHC,,STL,L,5-6,6-9,1,1,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,.238,.238,.238,.476,9,1.45,0.054,0.28,P
41,75 (3),Jul 5,CHC,,PIT,L,2-3,GS-8,2,2,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,.217,.217,.217,.435,9,.96,-0.050,-0.38,P
42,76,Jul 7,CHC,@,BRO,W,10-5,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.217,.217,.217,.435,9,,,,P
43,79 (2),Jul 12,CHC,@,NYG,W,9-8,0-GF(16),4,4,0,0,0,0,0,0,0,,1,0,0,,,,0,0,.185,.185,.185,.370,9,,,,P
44,84 (4),Jul 17,CHC,@,PHI,W,7-5,GS-4,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.179,.179,.179,.357,9,.51,-0.014,-0.20,P
45,86 (1),Jul 20,CHC,@,BSN,L,3-6,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.179,.179,.179,.357,9,,,,P
46,88 (1),Jul 24,CHC,,CIN,L,1-3,8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.179,.179,.179,.357,9,,,,P
47,91 (2),Jul 26,CHC,,PIT,L,4-6,8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.179,.179,.179,.357,9,,,,P
48,92,Jul 28,CHC,,NYG,L,3-10,6-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.179,.179,.179,.357,9,,,,P
49,97 (4),Aug 2,CHC,,BRO,L,2-4,GS-9,3,2,0,0,0,0,0,0,1,0,0,0,0,,0,,0,0,.167,.194,.167,.360,9,1.33,-0.042,-0.28,P
50,103 (5),Aug 8,CHC,,PHI,L,0-2,GS-8,2,2,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,.188,.212,.188,.400,9,1.73,0.025,0.32,P
51,107 (3),Aug 11,CHC,,BSN,L,2-9,3-6,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.182,.206,.182,.388,9,.33,-0.009,-0.19,P
52,110 (2),Aug 15,CHC,@,STL,L,2-4,GS-9,3,3,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.167,.189,.167,.356,9,.94,-0.076,-0.94,P
53,113 (2),Aug 19,CHC,@,NYG,L,6-7,4-GF,2,2,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.158,.179,.158,.337,9,2.15,-0.110,-0.59,P
54,120 (6),Aug 24 (2),CHC,@,BRO,W,11-6,CG,4,3,1,1,0,0,0,1,0,0,0,0,0,,0,,0,0,.171,.190,.171,.361,9,.51,-0.005,-0.14,P
55,125 (4),Aug 29 (1),CHC,@,BSN,L,2-3,CG,4,4,0,2,0,0,0,0,0,0,0,0,0,,0,,0,0,.200,.217,.200,.417,9,1.25,-0.007,0.08,P
56,131 (5),Sep 4,CHC,,CIN,L,1-2,GS-9,3,3,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,.188,.204,.188,.392,9,1.23,-0.099,-0.87,P
57,136 (4),Sep 7 (2),CHC,@,PIT,W,9-8,GS-10,5,4,0,2,0,0,0,0,1,0,1,0,0,,0,,0,0,.212,.241,.212,.452,9,1.02,-0.024,0.28,P
58,141 (4),Sep 13,CHC,,CIN,L,2-5,GS-0,2,2,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.204,.232,.204,.436,9,,,,P
59,146 (4),Sep 20,CHC,,NYG,L,2-6,GS-0,3,3,0,0,0,0,0,0,0,,1,0,0,,,,0,0,.193,.220,.193,.413,9,,,,P
