1,Apr 1,TOR,@,BOS,W,12-11,CG,52,9.0,3,1,0,4,0,2B
2,Apr 4,TOR,,MIN,W,7-2,CG,34,9.0,2,6,0,8,0,2B
3,Apr 5,TOR,,MIN,L,3-4,CG,42,9.0,0,4,0,4,1,2B
4,Apr 6,TOR,,MIN,L,5-7,GF,18,4.0,2,2,0,4,0,PH 2B
5,Apr 7,TOR,,MIN,L,6-10,CG,43,9.0,1,3,0,4,0,2B
6,Apr 8,TOR,,NYY,L,3-16,GS,44,7.0,1,2,0,3,0,2B
7,Apr 9,TOR,,NYY,L,2-5,CG,40,9.0,2,2,0,4,0,2B
8,Apr 10,TOR,,NYY,W,9-7,GS,23,5.0,0,2,0,2,0,2B
9,Apr 11,TOR,,NYY,W,11-3,CG,33,9.0,1,2,0,3,1,2B
10,Apr 12,TOR,@,TBD,W,14-7,GS,37,7.0,4,1,0,5,1,2B
12 (1),Apr 14,TOR,@,TBD,L,4-5,CG,41,9.2,2,3,1,6,2,2B
13,Apr 16,TOR,,BOS,L,3-14,CG,43,9.0,3,4,0,7,1,2B
14,Apr 17,TOR,,BOS,L,3-10,CG,47,9.0,0,3,0,3,0,2B
15,Apr 19,TOR,@,NYY,L,5-6,CG,37,8.1,3,5,0,8,2,2B
16,Apr 20,TOR,@,NYY,W,5-4,CG,43,10.0,0,4,0,4,0,2B
18 (1),Apr 23,TOR,@,TEX,W,2-1,CG,33,9.0,3,1,0,4,1,2B
19,Apr 24,TOR,@,TEX,L,2-3,GS,29,7.0,2,0,0,2,0,2B
23 (3),Apr 28,TOR,@,ANA,L,5-8,GS,28,7.0,0,4,0,4,0,2B
24,Apr 30,TOR,,TEX,L,3-10,CG,47,9.0,1,0,0,1,1,2B
27 (2),May 3,TOR,,ANA,L,4-6,CG,40,9.0,2,2,0,4,0,2B
28,May 4,TOR,,ANA,W,4-1,CG,35,9.0,1,2,0,3,0,2B
29,May 5,TOR,,ANA,L,2-8,CG,45,9.0,2,6,0,8,2,2B
53,May 29,FLA,,CIN,L,2-8,GF,19,4.0,0,2,0,2,0,PH 2B
60 (6),Jun 7,FLA,@,MIN,L,7-12,GF,8,2.0,0,0,0,0,0,SS
62 (1),Jun 9,FLA,@,MIN,W,6-3,CG,41,9.0,0,3,1,4,0,2B
65 (2),Jun 12,FLA,@,KCR,W,13-5,GF,3,1.0,0,0,0,0,0,2B
74 (8),Jun 23,FLA,,DET,L,2-3,CG,38,9.0,1,1,0,2,0,2B
75,Jun 24,FLA,,PHI,L,4-15,GF,14,3.0,0,0,0,0,0,SS
80 (4),Jun 29,FLA,@,TBD,W,3-2,GS,27,6.0,0,0,0,0,0,SS
82 (1),Jul 1,FLA,,CHC,W,11-1,GF,4,1.0,1,0,0,1,0,PH 2B
87 (4),Jul 6,FLA,,NYM,W,5-2,CG,36,9.0,4,3,0,7,1,2B
99 (11),Jul 22,FLA,,ATL,W,2-1,CG,36,9.0,1,1,0,2,0,2B
101 (1),Jul 24,FLA,,ATL,L,0-10,GF,11,3.0,0,0,0,0,0,2B
110 (8),Aug 3,FLA,,MIL,W,11-7,GF,11,2.0,0,0,0,0,0,PH 2B
111,Aug 4,FLA,,MIL,W,7-2,GF,10,2.0,0,0,0,0,0,2B
125 (13),Aug 20,FLA,@,LAD,W,6-3,CG,36,9.0,1,4,0,5,1,2B
126,Aug 21,FLA,@,LAD,L,3-4,CG,40,9.2,1,0,0,1,0,2B
128 (1),Aug 23,FLA,@,SDP,L,2-18,GF,11,3.0,0,0,0,0,0,SS
