3 (2),Apr 17,PHA,,BOS,W,6-5,GF,0,7.0,0,3,0,3,0,
8 (4),Apr 23,PHA,,NYY,L,0-4,GS,0,8.0,1,4,0,5,0,
14 (5),May 2,PHA,@,NYY,W,6-5,,0,0.0,0,0,0,0,0,
15,May 3,PHA,@,NYY,W,8-6,GF,0,7.0,1,3,0,4,0,
23 (7),May 15,PHA,@,CLE,L,0-2,GF,0,1.0,0,0,0,0,0,
25 (1),May 17,PHA,@,CLE,L,3-7,,0,3.2,0,0,0,0,0,
27 (1),May 19,PHA,@,DET,L,3-9,GF,0,5.2,0,4,0,4,0,
32 (4),May 26 (2),PHA,,WSH,L,2-9,GF,0,4.0,0,2,1,3,0,
35 (2),May 29,PHA,,NYY,W,6-5,GF,0,5.0,1,2,0,3,0,
39 (3),Jun 2 (1),PHA,@,WSH,W,9-4,,0,0.1,0,0,0,0,0,
42 (2),Jun 4,PHA,,DET,W,14-6,GF,0,7.2,1,2,0,3,0,
45 (2),Jun 7,PHA,,SLB,W,10-5,GS,0,6.2,1,2,0,3,0,
51 (5),Jun 14,PHA,,CLE,L,0-3,CG,0,9.0,2,6,0,8,0,
56 (4),Jun 20,PHA,,BOS,L,1-6,GS,0,6.1,0,3,0,3,0,
59 (2),Jun 25,PHA,@,WSH,W,14-2,GS,0,5.1,0,0,0,0,0,
63 (3),Jun 27 (2),PHA,@,WSH,W,11-5,GF,0,8.0,3,5,0,8,1,
66 (2),Jul 1,PHA,@,NYY,W,2-1,GS,0,4.0,0,2,0,2,1,
67,Jul 2,PHA,@,NYY,W,8-5,GF,0,1.0,0,0,0,0,0,
71 (3),Jul 5,PHA,@,BOS,W,7-6,GS,0,6.0,0,4,0,4,1,
74 (2),Jul 9,PHA,@,CLE,W,5-3,CG,0,9.0,0,0,0,0,0,
79 (4),Jul 13 (2),PHA,@,DET,L,4-5,GS,0,5.2,0,1,0,1,0,
80,Jul 14,PHA,@,DET,L,8-9,GF,0,1.1,0,1,0,1,0,
84 (3),Jul 17,PHA,@,CHW,L,2-5,GS,0,7.0,0,3,0,3,1,
89 (4),Jul 21,PHA,@,SLB,W,11-8,GF,0,7.0,0,1,0,1,0,
95 (5),Jul 30,PHA,,SLB,W,2-1,CG,0,9.0,3,6,0,9,0,
101 (5),Aug 6,PHA,,CLE,W,7-1,CG,0,9.0,0,1,0,1,0,
105 (3),Aug 11,PHA,,CHW,W,8-5,GS,0,3.0,0,1,0,1,0,
109 (3),Aug 16,PHA,@,CLE,L,1-10,GS,0,7.0,0,2,0,2,0,
116 (6),Aug 23,PHA,@,CHW,L,4-7,GF,0,7.0,0,3,0,3,0,
122 (5),Aug 30 (2),PHA,@,NYY,L,4-6,GF,0,5.0,0,1,0,1,0,
124 (1),Sep 1 (2),PHA,,WSH,W,6-5,GF,0,5.0,0,2,0,2,0,
127 (2),Sep 4 (1),PHA,,BOS,L,6-8,GF,0,1.0,0,0,0,0,0,
128,Sep 4 (2),PHA,,BOS,L,2-5,GF,0,6.2,1,3,0,4,0,
134 (5),Sep 12,PHA,,CHW,W,7-5,GF,0,2.0,0,0,0,0,0,
136 (1),Sep 15,PHA,,CLE,W,8-6,GS,0,3.0,0,0,1,1,0,
138 (1),Sep 17,PHA,,SLB,W,8-4,GF,0,1.0,0,0,0,0,0,
141 (2),Sep 22 (1),PHA,,DET,W,4-0,CG,0,9.0,0,5,0,5,0,
146 (4),Sep 26,PHA,@,BOS,L,4-10,GF,0,4.0,1,0,0,1,0,
151 (4),Oct 3 (1),PHA,,NYY,W,13-10,GF,0,3.2,1,1,0,2,0,
