1,Mar 29,TEX,,HOU,L,1-4,,6,1.0,0,0,0,0,0,P
3 (1),Mar 31,TEX,,HOU,L,3-9,GF,5,1.0,0,0,0,0,0,P
5 (1),Apr 2,TEX,@,OAK,L,1-3,GF,3,1.0,0,0,0,0,0,P
8 (2),Apr 5,TEX,@,OAK,W,6-3,,3,0.1,0,0,0,0,0,P
9,Apr 6,TEX,,TOR,L,5-8,,7,2.0,0,0,0,0,0,P
12 (2),Apr 9,TEX,,LAA,L,3-8,,4,1.1,0,0,0,0,0,P
14 (1),Apr 11,TEX,,LAA,L,2-7,,6,1.0,1,0,0,1,0,P
16 (1),Apr 14,TEX,@,HOU,W,6-5,,4,1.0,0,0,0,0,0,P
19 (2),Apr 17,TEX,@,TBR,W,7-2,GF,4,1.0,0,0,0,0,0,P
22 (2),Apr 21,TEX,,SEA,L,7-9,,1,0.1,0,0,0,0,0,P
23,Apr 22,TEX,,SEA,W,7-4,,4,0.1,0,0,0,0,0,P
24,Apr 23,TEX,,OAK,L,4-9,,2,0.1,0,0,0,0,0,P
25,Apr 24,TEX,,OAK,L,2-3,,3,0.2,0,0,0,0,0,P
49 (23),May 21,TEX,,NYY,L,5-10,,8,1.2,1,0,0,1,0,P
52 (2),May 24,TEX,,KCR,L,2-8,GF,13,2.2,0,0,0,0,0,P
57 (4),May 29,TEX,@,SEA,W,9-5,,4,1.1,0,0,0,0,0,P
59 (1),May 31,TEX,@,SEA,L,1-6,,11,2.0,0,0,0,0,0,P
64 (4),Jun 6,TEX,,OAK,W,8-2,,4,1.0,1,0,0,1,0,P
66 (1),Jun 8,TEX,,HOU,L,3-7,,10,2.0,0,0,0,0,0,P
69 (2),Jun 12,TEX,@,LAD,L,5-12,GF,4,1.0,0,0,0,0,0,P
70,Jun 13,TEX,@,LAD,L,2-3,GF,2,0.0,0,0,1,1,0,P
