28 (27),May 17,STL,,NYG,L,3-9,GF,0, ,0,0,0,0,0,
29,May 18,STL,,NYG,L,0-3,GF,0,2.0,0,0,0,0,0,
32 (2),May 21,STL,,BSN,L,0-2,GF,0, ,0,0,0,0,0,
36 (3),May 26,STL,,PIT,L,5-6,GF,0, ,0,0,0,0,0,
37,May 28 (1),STL,,PIT,L,0-4,GF,0,2.0,0,0,0,0,0,
40 (2),May 30 (2),STL,@,CHC,L,1-5,GF,0, ,0,0,0,0,0,
41,May 31 (1),STL,@,CHC,W,5-1,GF,0, ,1,0,0,1,0,
42,May 31 (2),STL,@,CHC,L,3-6,GF,0, ,0,0,1,1,0,
50 (7),Jun 13,STL,@,BRO,L,1-3,GF,0,1.0,1,0,0,1,0,
55 (4),Jun 20,STL,@,PIT,W,10-6,GF,0,6.0,5,3,0,8,2,
69 (13),Jul 2,STL,,CHC,L,1-5,GF,0, ,0,1,0,1,0,
73 (3),Jul 7,STL,,PHI,L,0-1,GF,0,1.0,0,1,0,1,0,
127 (53),Sep 3 (2),STL,@,CHC,L,1-4,GF,0, ,0,0,0,0,0,
129 (1),Sep 4 (2),STL,@,PIT,L,0-2,CG,0,8.0,0,1,0,1,0,
130,Sep 6 (1),STL,@,PIT,L,2-3,CG,0,8.1,2,2,1,5,1,
131,Sep 6 (2),STL,@,PIT,L,3-6,GS,0, ,0,2,0,2,0,
136 (4),Sep 12,STL,@,PHI,L,3-4,GF,0, ,2,0,0,2,0,
137,Sep 13 (1),STL,@,PHI,W,7-4,GF,0, ,1,0,0,1,0,
138,Sep 13 (2),STL,@,PHI,L,4-5,CG,0,8.0,0,0,0,0,0,
139,Sep 14,STL,@,PHI,W,5-3,CG,0,9.0,2,0,0,2,0,
141 (1),Sep 18,STL,@,BSN,L,0-2,CG,0,8.0,2,0,0,2,0,
143 (1),Sep 20,STL,@,BRO,L,2-4,CG,0,8.0,2,0,0,2,0,
145 (1),Sep 22,STL,@,BRO,L,1-11,CG,0,8.0,2,0,0,2,0,
147 (1),Sep 23 (2),STL,@,NYG,L,0-3,GF,0, ,1,0,0,1,0,
150 (2),Sep 26,STL,@,NYG,L,1-6,CG,0,8.0,2,0,1,3,0,
