1,142 (141),Sep 8,PHI,,NYM,L,3-11,CG,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000,.250,.000,.250,6,.31,0.017,-0.64,CF
2,145 (2),Sep 10 (2),PHI,,FLA,L,1-2,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.143,.250,.143,.393,6,2.09,-0.130,-0.40,CF
3,147 (1),Sep 12,PHI,,FLA,W,6-1,CG,4,4,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.273,.333,.545,.879,5,.35,0.100,0.81,RF
4,148,Sep 13,PHI,,PIT,L,3-5,GS-8,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.250,.400,.650,7,1.45,-0.137,-1.05,CF
5,149,Sep 14,PHI,,PIT,W,4-1,CG,4,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,.316,.350,.579,.929,6,.44,0.033,0.56,CF
6,151 (1),Sep 17,PHI,@,ATL,L,1-2,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.273,.304,.500,.804,7,1.16,-0.093,-0.63,CF
7,153 (1),Sep 19,PHI,@,ATL,L,0-6,7-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.261,.292,.478,.770,9,.14,-0.004,-0.24,RF
8,155 (1),Sep 21 (2),PHI,@,CIN,W,5-4,GS-11,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,.250,.276,.429,.704,8,.93,-0.119,-0.87,CF
9,157 (1),Sep 24,PHI,,ATL,W,5-3,GS-6,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.226,.250,.387,.637,7,1.64,-0.137,-1.74,CF
10,158,Sep 25,PHI,,ATL,L,1-7,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.229,.250,.371,.621,8,.54,-0.011,-0.04,CF
