126,2 (1),Apr 5,PHI,@,ARI,L,3-11,GS-1,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,P
127,7 (4),Apr 10,PHI,,NYM,W,9-7,GS-5,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,.000,.000,.000,.000,9,1.16,0.060,0.61,P
128,16 (8),Apr 22,PHI,@,FLA,L,2-4,GS-7,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.333,.333,.333,.667,9,.92,0.007,0.06,P
129,21 (4),Apr 27,PHI,,ARI,W,5-4,GS-7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,.400,9,.66,-0.035,-0.38,P
130,26 (4),May 3,PHI,,CIN,W,5-2,GS-7,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,.200,.333,.200,.533,9,1.08,0.003,0.17,P
131,36 (9),May 14,PHI,,ATL,L,2-11,GS-3,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.200,.333,.200,.533,9,,,,P
132,41 (4),May 20,PHI,,COL,L,3-4,GS-6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.286,.167,.452,9,.47,-0.013,-0.12,P
133,46 (4),May 26,PHI,@,LAD,L,4-11,GS-6,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.111,.200,.111,.311,9,1.03,-0.084,-0.87,P
134,51 (4),May 31,PHI,@,SFG,L,4-10,GS-6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.091,.167,.091,.258,9,.71,-0.036,-0.41,P
135,68 (16),Jun 20,PHI,@,NYM,W,3-2,GS-7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.077,.143,.077,.220,9,1.44,-0.075,-0.71,P
136,73 (4),Jun 25,PHI,@,MON,L,1-3,GS-7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.067,.125,.067,.192,9,1.57,-0.092,-0.92,P
137,78 (4),Jul 1,PHI,,PIT,W,4-3,GS-7,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.118,.167,.118,.284,9,.79,-0.056,-0.60,P
138,83 (4),Jul 6,PHI,@,MIL,L,2-4,GS-7,3,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.150,.190,.150,.340,9,.74,0.040,0.41,P
139,95 (11),Jul 21,PHI,@,PIT,L,2-9,GS-5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.150,.227,.150,.377,9,.37,0.016,0.28,P
140,98 (2),Jul 25,PHI,,CHC,L,7-8,6-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.150,.227,.150,.377,7,,,,P
141,99,Jul 26,PHI,,CHC,L,9-14,9-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.150,.227,.150,.377,9,,,,P
